"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"Which hook is typically used for API calls in React?","useState","useEffect","useRef","useMemo","B","useEffect is used to perform side effects like data fetching after rendering."
"Which method is commonly used to fetch data from a REST API?","fetch()","alert()","console.log()","useState()","A","fetch() is a built-in JavaScript method used to make HTTP requests."
"Which third-party library is popular for making HTTP requests in React?","Redux","React Router","Axios","Formik","C","Axios is a promise-based HTTP client commonly used in React apps."
"What is the typical structure of an Axios GET call?","axios.get(url).then().catch()","axios.fetch()","axios.getData()","axios.useEffect()","A","axios.get() returns a promise, followed by .then() and .catch() for handling responses and errors."
"Where should API calls typically be placed in React functional components?","Inside render","Outside the component","Inside useEffect","Inside return()","C","useEffect is designed to handle side effects like API calls after component mount."
"What is the correct way to handle loading state during an API call?","useRef","useMemo","useState with loading variable","useCallback","C","A loading state is commonly managed using useState."
"Which response status code indicates a successful GET request?","200","400","404","500","A","Status code 200 means the request succeeded."
"What is the purpose of try-catch in an async function?","To style elements","To handle errors gracefully","To run useState","To update DOM","B","try-catch is used to catch and handle errors from async operations like API calls."
"How can you abort an ongoing API request?","Using Promise.all","Using useReducer","Using AbortController","Using setTimeout","C","AbortController is used to cancel fetch requests."
"What does Axios return in the response?","Only JSON","An object containing status, headers, and data","Only HTML","Only status","B","Axios returns a response object with multiple properties including status and data."
"Which hook can be used to memoize fetched API data?","useMemo","useEffect","useRef","useContext","A","useMemo is used to memoize expensive computations like processing fetched data."
"Which tool is NOT commonly used for API testing in React?","Jest","Axios-mock-adapter","Postman","Redux","D","Redux is for state management, not specifically for API testing."
"What React library allows data fetching and caching?","React Router","React Query","Formik","Axios","B","React Query manages data fetching and caching automatically."
"What is the advantage of using React Query?","Renders static components","Reduces the need for useEffect","Handles component styling","Used for animations","B","React Query abstracts and simplifies data fetching logic."
"Which status code means 'Not Found'?","200","201","404","500","C","404 indicates that the requested resource was not found."
"Which part of useEffect is used to clean up subscriptions or abort requests?","setup","dependency array","return cleanup function","await statement","C","Returning a function from useEffect is used for cleanup."
"How do you POST data using Axios?","axios.post(url, data)","axios.send(url, body)","axios.submit()","axios.request(url)","A","POST method in Axios is written as axios.post(url, data)."
"How can you transform API data after fetching?","useRef","useEffect","Array methods like map/filter","window.load","C","Data can be transformed using array methods like map and filter."
"What will happen if no dependency array is passed to useEffect?","It runs once","It never runs","It runs on every render","It causes syntax error","C","Without a dependency array, useEffect runs on every render."
"Which keyword is used to wait for a promise?","wait","pause","await","fetch","C","await is used to pause execution until a promise is resolved."
