"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is Azure DevOps primarily used for?","Cloud storage service","Project management and CI/CD","Email service","Operating system","B","Azure DevOps is a suite of development tools for managing software development, CI/CD, and project workflows."
"Which of the following is NOT a service offered by Azure DevOps?","Azure Repos","Azure Pipelines","Azure Functions","Azure Boards","C","Azure Functions is part of Azure services but not included in Azure DevOps tools."
"Which Azure DevOps service is used for tracking work?","Azure Repos","Azure Boards","Azure Pipelines","Azure Artifacts","B","Azure Boards helps manage work items, user stories, and tasks in a DevOps project."
"What does CI/CD stand for?","Centralized Infrastructure / Container Deployment","Code Injection / Code Duplication","Continuous Integration / Continuous Deployment","Computer Integration / Code Delivery","C","CI/CD stands for Continuous Integration and Continuous Deployment."
"Which tool within Azure DevOps handles code versioning?","Azure Boards","Azure Repos","Azure Artifacts","Azure Test Plans","B","Azure Repos provides Git repositories or Team Foundation Version Control (TFVC) for source control."
"Which Azure DevOps feature manages build and release pipelines?","Azure Repos","Azure Boards","Azure Pipelines","Azure Artifacts","C","Azure Pipelines is used to build, test, and deploy code using CI/CD workflows."
"Can Azure DevOps integrate with GitHub?","No","Yes","Only with premium plans","Only for public repositories","B","Azure DevOps can be integrated with GitHub to trigger builds and track commits."
"Which role is responsible for managing the CI/CD pipeline?","QA Analyst","DevOps Engineer","UI Designer","Database Admin","B","DevOps Engineers typically manage CI/CD pipelines and ensure smooth deployment workflows."
"Azure DevOps was formerly known as:","Visual Studio Online","Azure Cloud Studio","Microsoft Build Tools","TFS Express","A","Azure DevOps was previously called Visual Studio Online."
"Which feature allows team collaboration on planning and tracking?","Azure Artifacts","Azure Boards","Azure Pipelines","Azure CLI","B","Azure Boards helps teams collaborate using agile tools like backlogs, boards, and sprints."
"Which tool is used in Azure DevOps to manage code changes and branching?","Azure Pipelines","Azure Repos","Azure Boards","Azure Monitor","B","Azure Repos supports Git for code management including branching and pull requests."
"Which Azure DevOps component provides package management services?","Azure Boards","Azure Artifacts","Azure Pipelines","Azure CLI","B","Azure Artifacts allows you to create and share Maven, npm, NuGet, and Python packages."
"What is the purpose of Azure Test Plans?","To create web apps","To perform unit testing","To manage test cases and test execution","To monitor server health","C","Azure Test Plans provide tools for manual and exploratory testing."
"Is Azure DevOps available as a cloud service?","No","Yes, only for enterprise users","Yes","Only in Visual Studio","C","Azure DevOps Services is available as a cloud-based SaaS platform."
"What is the main benefit of using Azure DevOps for CI/CD?","Manual build execution","Static workflows","Automated build and deployment processes","Monolithic design","C","CI/CD in Azure DevOps enables automation of build, test, and deployment steps."
"What type of projects can Azure DevOps support?","Only web development","Only mobile applications","Any software project","Only C# apps","C","Azure DevOps supports a wide range of project types including mobile, web, and desktop apps."
"What authentication options are available in Azure DevOps?","Only local accounts","Azure AD and Microsoft accounts","GitHub only","LDAP only","B","Azure DevOps supports authentication using Azure Active Directory and Microsoft accounts."
"Which of the following is true about Azure DevOps organization?","An organization hosts one repository","An organization contains projects with services","Organizations are only for billing","Organizations are not required","B","An Azure DevOps organization can contain multiple projects with pipelines, boards, repos, and more."
"Which built-in tool helps visualize project tasks in Azure DevOps?","Dashboard","Git Graph","Kanban board","Build Chart","C","Azure Boards includes a Kanban board for managing tasks and progress."
"Azure DevOps is ideal for which type of development methodology?","Waterfall","Agile and DevOps","Prototype model","RAD only","B","Azure DevOps is built to support Agile development and DevOps practices."
