"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is React.memo used for?","To memoize hook functions","To prevent unnecessary re-renders of functional components","To store values in memory","To cache state variables","B","React.memo is a higher-order component used to prevent re-renders if props haven’t changed."
"What does React.memo return?","A state object","A callback function","A memoized component","A useEffect hook","C","React.memo returns a memoized version of the component."
"Which components benefit the most from React.memo?","Components with heavy logic or rendering","Global components","Context consumers","Class components","A","React.memo is best for components that are expensive to render and rely on the same props."
"Which hook is similar in purpose to React.memo?","useEffect","useMemo","useRef","useReducer","B","useMemo is used to memoize values; React.memo is used to memoize components."
"What triggers re-render of a React.memo component?","Unchanged props","State updates only","Changes in props or parent force update","useRef change","C","React.memo compares props and re-renders only if they change."
"Can React.memo be used with class components?","Yes","Only with hooks","No, only functional components","With PureComponent only","C","React.memo is specifically for functional components."
"Which comparison is used by default in React.memo?","Deep equality","Shallow equality","Reference equality","No comparison","B","React.memo uses shallow comparison of props by default."
"How can you customize prop comparison in React.memo?","By passing a second function","Using useCallback","Using useEffect","By binding props manually","A","React.memo accepts a second argument, a custom comparison function."
"What does useMemo do?","Avoids unnecessary re-renders of DOM","Memoizes component props","Caches computed value between renders","Skips useEffect calls","C","useMemo memoizes the result of a calculation until dependencies change."
"How does React.memo improve performance?","Reduces bundle size","Speeds up fetch API","Skips re-rendering unchanged components","Improves image loading","C","It reduces re-renders by comparing props and avoiding render if they haven’t changed."
"Which of the following can be memoized with useMemo?","JSX components","Return values of expensive functions","Event handlers","DOM nodes","B","useMemo is ideal for expensive function results you want to cache."
"How do you prevent function recreation in child props?","useMemo","useReducer","useCallback","React.memo","C","useCallback memoizes the function so it doesn’t change between renders."
"What is a side-effect of overusing React.memo?","Memory leaks","Worse performance due to extra comparisons","Incorrect state","Broken props","B","Overusing React.memo on simple components can add unnecessary comparison overhead."
"Which hook helps avoid re-renders with memoized callbacks?","useReducer","useMemo","useCallback","useEffect","C","useCallback returns a memoized version of the callback function."
"What happens when the parent component re-renders?","All children re-render","React.memo components re-render","React.memo components skip re-render unless props changed","Nothing changes","C","React.memo allows skipping re-render if props are the same."
"Is React.memo useful for small, static components?","Always","Never","Sometimes, if used correctly","Only in class components","C","It can help, but the overhead might not be worth it for very simple components."
"Can you wrap a component with both React.memo and forwardRef?","No","Yes, React.memo(forwardRef(Component))","Only in class components","Yes, forwardRef(memo(Component))","B","You can compose both React.memo and forwardRef like React.memo(forwardRef(...))."
"What should you memoize for maximum efficiency?","Everything","All functions","Expensive components and functions","Static styles","C","Memoization is most effective for computationally heavy or frequently reused values."
"React.memo improves performance by:","Reducing API calls","Caching JSX trees","Skipping re-rendering based on props","Avoiding component mounting","C","It skips re-rendering if props remain unchanged (shallow comparison)."
"What is a real-world use case for React.memo?","Theme toggler component","Navbar with static props","Frequently updated counter display","Live chat window","B","A static component like a navbar that rarely receives new props is a good memoization candidate."
