"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What are props in React?","Internal variables","External CSS files","Inputs passed to components","JavaScript functions","C","Props are inputs passed from parent to child components."
"How are props accessed in class components?","this.variables","this.props","props()","get.props","B","In class components, props are accessed using this.props."
"Are props mutable?","Yes","No","Only in hooks","Depends on state","B","Props are read-only and should not be mutated."
"In functional components, props are passed as?","State","Attributes","Arguments","Hooks","C","Functional components receive props as function arguments."
"Which of the following is a correct prop usage?","<Message content='Hello' />","<Message(content='Hello') />","<Message.content='Hello'>","<Message content: 'Hello' />","A","Props are passed as attributes in JSX."
"What happens if you pass a non-string prop value?","It is ignored","Causes error","Use curly braces {}","Must be a string","C","Non-string values must be passed using curly braces."
"What does prop drilling refer to?","Accessing DOM via props","Passing props through multiple levels","Props with nested values","Testing props","B","Prop drilling means passing props through many layers unnecessarily."
"Which prop validates prop types?","validateProp","typeOf","PropTypes","PropCheck","C","PropTypes is used to validate prop types."
"What happens if a required prop is missing?","It renders null","It throws a syntax error","It may log a warning","Nothing","C","If using PropTypes, React logs a warning in the console."
"Which is a valid PropTypes definition?","name: string","name: PropTypes.string","name = string","name.type = 'string'","B","PropTypes.string defines a string type prop."
"How do you pass an array as prop?","<Comp list='[1,2,3]' />","<Comp list={1,2,3} />","<Comp list={[1,2,3]} />","<Comp list='array' />","C","Use curly braces to pass non-string values like arrays."
"How can you set default props?","Using useEffect","Using setProps()","Using defaultProps","Props cannot have defaults","C","defaultProps allows setting fallback values for props."
"How are props different from state?","Props are mutable, state is not","Props are internal","Props are read-only, state is mutable","They are the same","C","Props are immutable, state is managed internally and can change."
"Can props be functions?","No","Yes","Only in class components","Only with useCallback","B","Functions can be passed as props to trigger actions."
"Where are props defined?","In child components","In parent components","In React core","In App.js only","B","Props are passed from parent to child components."
"Can you pass JSX as a prop?","No","Yes, using curly braces","Only in arrays","Only in class components","B","JSX can be passed as a prop by enclosing it in {}."
"Can props be used for conditional rendering?","No","Yes","Only with useEffect","Only in forms","B","Props can be used in logic to conditionally render components."
"Which lifecycle method receives props initially?","componentDidMount","componentWillReceiveProps","constructor","render","C","constructor receives initial props as parameters in class components."
"How do you access props in a function?","this.props","props","args","component.props","B","In functional components, props are received as the first argument."
"Can props be nested objects?","No","Only strings allowed","Yes","Only numbers and strings","C","You can pass nested object structures as props."
