QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
What does JWT stand for?,Java Web Token,JavaScript Web Token,JSON Web Token,JWT Web Token,C,JWT stands for JSON Web Token, a compact way to securely transmit information between parties as a JSON object.
What are the three parts of a JWT token?,Header, Payload, Footer,Header, Payload, Signature,Metadata, Payload, Signature,Algorithm, Payload, Expiry,B,A JWT consists of three parts: Header, Payload, and Signature.
Which part of a JWT is encoded but not encrypted?,Header,Payload,Signature,Token,B,The payload in a JWT is Base64 encoded but not encrypted, so its content can be read by anyone.
What is the purpose of the JWT signature?,To compress the token,To encrypt the payload,To verify the token’s authenticity,To generate expiration time,C,The signature ensures the JWT has not been tampered with and verifies its authenticity using a secret or private key.
Which algorithm is commonly used to sign JWT tokens?,SHA256,HS256,RS512,HMAC512,B,HS256 (HMAC with SHA-256) is a common algorithm used for signing JWTs using a shared secret.
Which claim in a JWT token defines its expiration time?,sub,iat,exp,iss,C,The 'exp' claim indicates the expiration time after which the token is no longer valid.
What type of key is used in symmetric JWT signing?,Public key,Private key,Shared secret,Asymmetric key,C,Symmetric signing uses the same shared secret key to both sign and verify the JWT.
What is the format of a JWT token?,XML,CSV,Base64-encoded string,Plain text,C,JWTs are Base64-encoded strings that include the Header, Payload, and Signature.
Which HTTP header is used to send a JWT in a request?,Content-Type,Auth-Token,X-JWT-Token,Authorization,D,JWTs are typically sent using the Authorization header in HTTP requests.
What is a common value used in the Authorization header with JWT?,Bearer,Token,JWT,Auth,A,The Authorization header typically uses the 'Bearer' schema followed by the JWT token.
What does the sub claim in a JWT represent?, Subject or user ID, Subscription type, Submission time, Service usage, A, The 'sub' (subject) claim is typically used to identify the principal (user ID or subject) of the JWT.
What is the main benefit of using JWT over session-based authentication?, Simpler UI, Easier database integration, Stateless authentication, Better CSS handling, C, JWT enables stateless authentication, removing the need for server-side session storage.
Which HTTP method should not include JWT in its request by default?, GET, PUT, DELETE, OPTIONS, D, OPTIONS requests are often used for preflight checks in CORS and should not include authentication tokens by default.
Is it possible to tamper with the payload of a JWT?, Yes, and it’s safe, Yes, but the signature will become invalid, No, it's encrypted, No, it's compressed, B, Yes, the payload can be modified since it’s not encrypted, but the signature will become invalid and fail verification.
Where should you store JWTs on the client-side for better security?, LocalStorage, SessionStorage, Cookies with HttpOnly and Secure, In hidden HTML fields, C, For better security, JWTs should be stored in cookies with the HttpOnly and Secure flags to prevent XSS attacks.
What does iat stand for in a JWT claim?, Issuer authentication token, Issued at, Internal auth token, Identifier access time, B, The 'iat' (issued at) claim identifies the time at which the JWT was issued.
How can a server invalidate a JWT before it expires (in stateless auth)?, By changing the algorithm, By clearing session variables, By maintaining a denylist/blacklist, It cannot be invalidated, C, Servers can maintain a denylist (blacklist) of tokens that are no longer valid before expiry.
What does the iss claim in a JWT represent?, Issue type, Issuer, Internal session, Inspector, B, The 'iss' (issuer) claim identifies the principal that issued the JWT.
How can JWTs be decoded without a secret?, They can’t be decoded, Use a decrypt function, JWTs are Base64 encoded, so you can decode Header and Payload, Use a private key, C, JWTs are Base64 encoded. You can decode the Header and Payload without a secret, but not verify the Signature.
Which claim should be used to define the intended audience of the JWT?, sub, exp, aud, iat, C, The 'aud' (audience) claim identifies the intended recipient(s) of the JWT.
