"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is the main purpose of YAML in Azure Pipelines?","To store secrets","To define CI/CD pipeline configurations","To monitor Azure resources","To configure Azure Boards","B","YAML is used to define pipelines as code for CI/CD in Azure DevOps."
"What file extension is used for YAML pipelines?",".json",".xml",".yml or .yaml",".ini","C","YAML pipelines use the .yml or .yaml file extension."
"What is a multi-stage pipeline?","A dashboard view","Pipeline with separate environments like build and release","A variable template","An Azure policy","B","Multi-stage pipelines organize builds, tests, and deployments into stages."
"Which key defines pipeline stages in YAML?","pipelines","triggers","stages","jobs","C","The 'stages' keyword is used to define multiple stages in a YAML pipeline."
"How do you specify a trigger for a pipeline in YAML?","trigger:","onCommit:","startWith:","schedule:","A","'trigger:' is used to define events like commits that start the pipeline."
"Which keyword defines a sequence of steps within a job?","stage","run","steps","trigger","C","'steps' is used to define a list of tasks inside a job."
"What is a template in YAML pipelines?","A visual editor","A script that starts the pipeline","A reusable YAML file for pipeline logic","An Azure subscription","C","Templates allow reuse of pipeline logic across multiple pipelines."
"Which block is used for environment variables in YAML?","settings","env","secrets","azureKeyVault","B","'env' defines environment variables in YAML jobs and steps."
"How can you include another YAML template?","using","import","include","template","D","The 'template' keyword is used to include reusable templates in a pipeline."
"Which YAML pipeline strategy runs the same job with different parameters?","parallel","sequential","matrix","split","C","Matrix strategy runs jobs in parallel using different values for a variable."
"Which command-line tool validates a YAML pipeline file?","az pipelines validate","yaml-check","devops verify","git yaml lint","A","'az pipelines validate' is used to validate pipeline definitions."
"Which block is used to reference secrets securely?","variables:","parameters:","secrets:","env:","C","The 'secrets' block allows secure usage of sensitive information."
"What does 'dependsOn' specify in YAML?","Pipeline creator","Agent pool","Stage dependencies","Target repository","C","'dependsOn' defines execution order of stages or jobs."
"Can YAML pipelines be edited in Azure DevOps UI?","No","Yes","Only with admin rights","Only in private repos","B","YAML pipelines can be edited both in Azure DevOps portal and locally."
"What happens when you commit a new azure-pipelines.yml?","Pipeline gets deleted","Azure DevOps triggers the pipeline (if configured)","YAML file gets ignored","Git repo is reset","B","If triggers are defined, commits will start a pipeline run."
"How are parameters used in YAML?","To define custom reusable values","To set user roles","To store logs","To define Azure AD roles","A","Parameters are defined in YAML to reuse dynamic values."
"What is the default value of 'continueOnError'?","true","false","null","not set","B","Steps fail the job by default unless 'continueOnError' is set to true."
"What does 'pool' define in YAML?","User group","Git branch","Agent pool for job execution","Variable list","C","'pool' specifies the agent pool used to run a job or stage."
"Can YAML pipelines support both CI and CD?","Only CI","Only CD","Yes, with multi-stage YAML","Only with PowerShell","C","Multi-stage YAML pipelines allow implementing both CI and CD in a single file."
"What are conditions in YAML used for?","Variable management","Pipeline metadata","To control execution of stages or steps","Schedule deployments","C","Conditions control when a step or job should run, based on expressions or variables."
