"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is the primary benefit of using the Hyperscale tier in Azure SQL Database?","Lower latency for web apps","Support for large databases up to 100 TB","Faster network throughput","Increased transaction log size only","B","Hyperscale tier supports very large databases and provides faster backups, restores, and scale-out operations."
"Which feature in Azure SQL Database automatically tunes indexes and query plans?","Query Store","SQL Agent Jobs","Automatic Tuning","Dynamic Data Masking","C","Automatic Tuning monitors query performance and applies recommendations such as index creation and plan correction."
"Which security feature allows encryption of data in-use in Azure SQL?","TDE (Transparent Data Encryption)","Firewall Rules","Always Encrypted","Auditing","C","Always Encrypted encrypts sensitive data such that it is encrypted throughout query processing."
"Which statement is true about Geo-Replication in Azure SQL?","It allows multi-master replication","It creates synchronous replicas","It supports up to four readable secondary databases","It requires a Managed Instance","C","Geo-replication allows creating up to four asynchronous, readable secondary replicas in different regions."
"What does the Query Store in Azure SQL track?","Firewall changes","Execution plans and runtime statistics","User permissions","Database backups","B","Query Store captures a history of query execution plans and runtime statistics to troubleshoot performance issues."
"Which Azure SQL deployment model provides the closest parity with on-prem SQL Server features?","Single Database","Elastic Pool","Managed Instance","Hyperscale","C","Managed Instance offers nearly 100% compatibility with on-prem SQL Server features like SQL Agent, CLR, and cross-database queries."
"What is the role of Transparent Data Encryption (TDE) in Azure SQL?","Encrypts backups only","Encrypts data at rest automatically","Encrypts during replication","Encrypts user credentials only","B","TDE encrypts the storage of an entire database using a transparent key to protect data at rest."
"Which DMV can be used to identify expensive queries in Azure SQL?","sys.dm_exec_sessions","sys.dm_db_index_physical_stats","sys.dm_exec_query_stats","sys.dm_os_wait_stats","C","sys.dm_exec_query_stats returns performance statistics for cached query plans including execution count and CPU time."
"How is high availability ensured in Business Critical tier of Azure SQL?","By scaling up DTUs","By enabling read scale-out","By using Always On availability group replicas","By assigning more indexes","C","The Business Critical tier uses a built-in Always On Availability Group with replicas for HA and failover within the region."
"What is the purpose of Elastic Pools in Azure SQL?","To scale vertically","To manage multiple databases with shared resources","To encrypt multiple databases","To backup databases in bulk","B","Elastic Pools allow multiple databases to share performance resources, helping optimize cost and resource utilization."
