"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is state in React?","Component styling","A built-in routing system","Internal data storage of a component","External API","C","State is a JavaScript object that holds data which influences the output of a component."
"Which hook is used to manage state in functional components?","useContext","useRef","useState","useReducer","C","useState is the hook used to add state to functional components."
"How is state initialized in a class component?","this.initializeState","this.setState","this.state = {}","init.state()","C","State is initialized in the constructor using this.state = { ... }."
"What is the correct way to update state in class components?","this.state = newState","this.setState(newState)","this.changeState()","this.update()","B","setState() is the correct way to update state and re-render components."
"Does updating state cause a re-render?","Yes","No","Only in class components","Only in function components","A","Yes, updating state triggers a re-render of the component."
"What does useState return?","Only current state","A setter function only","An object with methods","An array with current value and setter","D","useState returns an array with the current state value and a function to update it."
"Can you have multiple useState calls in one component?","No","Yes","Only two","Only for strings","B","You can have multiple useState calls to manage multiple pieces of state."
"Which method is called after a state update in class components?","componentWillUpdate","componentDidUpdate","componentMounted","componentRefreshed","B","componentDidUpdate is called after a component has updated."
"Is state passed from parent to child?","Yes","No","Only in Redux","Via useState","B","State is local to the component. Props are used to pass data."
"What is the initial argument to useState?","null","callback function","initial state value","state name","C","The argument to useState is the initial state value."
"In which function is state initialized in class components?","render()","componentDidMount()","constructor()","componentWillReceiveProps()","C","State is usually initialized in the constructor of a class component."
"What is the preferred way to update an object in state using useState?","Direct mutation","Using setState with spread syntax","Using state.push","None of the above","B","Always create a new object with updated values and pass it to setState."
"Which of the following is true about state?","State can only store strings","State is shared across all components","State updates are asynchronous","State updates DOM immediately","C","State updates in React are batched and asynchronous."
"What hook is used to handle complex state logic?","useState","useReducer","useEffect","useCallback","B","useReducer is useful for managing complex state transitions."
"How do you log state after updating it with useState?","Immediately after setState","Inside useEffect","Inside JSX","You cannot log it","B","Since state updates are asynchronous, use useEffect to log the new value."
"Is it possible to reset state to its initial value?","No","Yes, by calling setter with initial value","Only in class components","Only with redux","B","You can reset state using the setter function from useState."
"What does this.setState() do?","Immediately updates UI","Merges state and triggers re-render","Replaces state object","Does nothing","B","this.setState merges the new state and re-renders the component."
"Which is true about useState?","It works only in class components","It doesn’t cause re-render","It causes component to re-render on update","It replaces all state","C","useState causes re-rendering of the component when state changes."
"Which type of data can state store?","Only strings","Only arrays","Only primitives","Any JavaScript value","D","State can hold strings, numbers, objects, arrays, or any JavaScript data type."
"What does React do when state changes?","Reboots the app","Reloads the page","Re-renders the affected component","Clears the DOM","C","React only re-renders the components whose state or props have changed."
