"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is Azure Virtual Machine (VM) used for?","Hosting applications and workloads","Creating SQL databases","Monitoring network traffic","Managing subscriptions","A","Azure VMs are used to run applications and host workloads in the cloud."
"Which Azure service provides serverless computing?","Azure Functions","Azure VM Scale Sets","Azure App Service","Azure Container Instances","A","Azure Functions is a serverless compute service that lets you run code on-demand."
"Which Azure compute service allows container orchestration?","Azure Kubernetes Service","Azure Logic Apps","Azure Data Factory","Azure Key Vault","A","AKS allows you to deploy and manage containerized applications using Kubernetes."
"What is Azure App Service mainly used for?","Hosting web applications","Deploying VMs","Creating virtual networks","Storing unstructured data","A","Azure App Service is used to host and manage web applications and APIs."
"What is a benefit of using Azure VM Scale Sets?","Manual patching","Single instance only","Automatic scaling of VM instances","Supports only Linux","C","VM Scale Sets allow automatic scaling and load balancing of virtual machines."
"Which compute option is best for running background tasks and automation?","Azure Functions","Azure Virtual Desktop","Azure Firewall","Azure Container Registry","A","Azure Functions is ideal for background processes, timers, and automation scripts."
"Which service offers an environment to build and deploy containers without managing VMs?","Azure Container Instances","Azure Kubernetes Service","Azure Logic Apps","Azure Monitor","A","ACI allows deployment of containers without managing any infrastructure."
"What is the maximum number of data disks supported by a Standard DSv2 VM?","4","8","16","Data disk limits vary by VM size","D","The number of data disks depends on the VM size in Azure."
"Which Azure compute service supports continuous integration and deployment?","Azure DevTest Labs","Azure App Service","Azure SQL","Azure Front Door","B","Azure App Service integrates easily with CI/CD tools like GitHub and Azure DevOps."
"What is the default operating system used for Azure Functions?","Linux","Windows","Custom OS","Depends on configuration","D","Azure Functions support both Windows and Linux based on the configuration."
"Which compute service is best for managing development and test environments?","Azure Batch","Azure DevTest Labs","Azure Arc","Azure Automation","B","DevTest Labs helps developers quickly provision test environments in Azure."
"Which of these compute options allows scheduled job execution on demand?","Azure VM","Azure Functions","Azure Container Instances","Azure Sentinel","B","Azure Functions support scheduled (CRON-based) execution on demand."
"Which Azure compute service allows parallel batch processing of tasks?","Azure Logic Apps","Azure Automation","Azure Batch","Azure Web Apps","C","Azure Batch is used to run large-scale parallel and high-performance computing (HPC) applications."
"Which Azure service helps manage deployment of containers at scale?","Azure Logic Apps","Azure Kubernetes Service","Azure API Management","Azure SQL Database","B","AKS provides Kubernetes-based container orchestration for large-scale deployments."
"Which compute service is best for scenarios requiring short-lived tasks?","Azure Container Instances","Azure Virtual Machines","Azure App Service","Azure DevTest Labs","A","ACI is ideal for short-lived and burst workloads without managing infrastructure."
"What is the main difference between Azure App Service and Azure Functions?","Functions are for static sites only","App Service is serverless","Functions are event-driven and serverless","App Service cannot host APIs","C","Azure Functions is an event-driven serverless compute platform."
"Which Azure compute service supports hybrid cloud management?","Azure DevTest Labs","Azure Arc","Azure Batch","Azure Container Registry","B","Azure Arc enables hybrid and multi-cloud resource management from Azure."
"Which compute service automatically distributes workloads across VMs?","Azure Load Balancer","Azure VM Scale Sets","Azure DevOps","Azure App Insights","B","VM Scale Sets allow you to automatically scale and load balance VM instances."
"Which Azure compute service supports full OS access and configuration?","Azure App Service","Azure Kubernetes Service","Azure Virtual Machines","Azure Functions","C","Azure VMs provide full OS access and are suitable for legacy workloads."
"Which Azure service supports web hosting and supports multiple languages like .NET, Java, Node.js?","Azure Kubernetes Service","Azure App Service","Azure DevOps","Azure Container Instances","B","Azure App Service supports multiple frameworks including .NET, Java, Node.js, Python, etc."
