"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is Cloud Computing?","A type of weather forecasting system","The delivery of computing services over the internet","A local storage system","A type of computer hardware","B","Cloud computing refers to the delivery of computing services over the internet, allowing for on-demand access to resources."
"Which of the following is a characteristic of cloud computing?","On-demand self-service","Limited scalability","Manual provisioning","Fixed pricing","A","Cloud computing offers on-demand self-service, enabling users to provision resources without human intervention."
"Which service model provides hardware resources over the internet?","SaaS","PaaS","IaaS","DaaS","C","Infrastructure as a Service (IaaS) provides virtualized computing resources over the internet."
"Which deployment model offers services to the general public?","Private Cloud","Public Cloud","Hybrid Cloud","Community Cloud","B","Public Cloud services are available to the general public and are owned by organizations selling cloud services."
"Which of the following is an example of a PaaS?","Google App Engine","Amazon EC2","Dropbox","Microsoft Word","A","Google App Engine is a Platform as a Service (PaaS) that allows developers to build and host applications."
"What does SaaS stand for?","Software and a Server","Software as a Service","Service as a Software","Software and a Solution","B","SaaS stands for Software as a Service, delivering software applications over the internet."
"Which cloud deployment model combines public and private clouds?","Community Cloud","Hybrid Cloud","Distributed Cloud","Shared Cloud","B","Hybrid Cloud combines public and private clouds, allowing data and applications to be shared between them."
"Which of the following is NOT a benefit of cloud computing?","Scalability","Flexibility","High upfront costs","Disaster recovery","C","Cloud computing reduces upfront costs by eliminating the need for significant capital expenditure."
"What is virtualization in cloud computing?","Creating physical versions of servers","Creating virtual versions of resources","Eliminating the need for servers","Using only physical storage","B","Virtualization involves creating virtual versions of resources like servers and storage devices."
"Which of the following is a cloud storage service?","Amazon S3","Microsoft Excel","Google Chrome","Mozilla Firefox","A","Amazon S3 is a scalable cloud storage service provided by AWS."
"What is the primary benefit of cloud computing?","Increased hardware costs","Reduced scalability","On-demand resource availability","Fixed resource allocation","C","Cloud computing provides on-demand resource availability, allowing users to scale resources as needed."
"Which of the following is a disadvantage of cloud computing?","Scalability","Data security concerns","Cost-effectiveness","Flexibility","B","Data security concerns are a potential disadvantage due to data being stored off-premises."
"What does elasticity in cloud computing refer to?","Fixed resource allocation","Manual scaling of resources","Automatic scaling of resources","Limited scalability","C","Elasticity allows for automatic scaling of resources based on demand."
"Which of the following is an example of IaaS?","Google Docs","Microsoft Azure Virtual Machines","Salesforce","Dropbox","B","Microsoft Azure Virtual Machines provide Infrastructure as a Service (IaaS) by offering virtualized computing resources."
"What is a private cloud?","A cloud service available to the general public","A cloud infrastructure operated solely for an organization","A combination of public and private clouds","A community-based cloud service","B","A private cloud is a cloud infrastructure operated solely for a single organization."
"Which of the following is a common concern in cloud computing?","Data redundancy","Data security","Data accessibility","Data visualization","B","Data security is a common concern due to potential unauthorized access to sensitive information."
"What is the pay-as-you-go model in cloud computing?","Fixed monthly fees","Paying for resources as they are used","Annual subscription fees","One-time payment for unlimited use","B","The pay-as-you-go model charges users based on their actual resource usage."
"Which of the following is an example of SaaS?","Amazon EC2","Google Drive","Microsoft Azure","OpenStack","B","Google Drive is a Software as a Service (SaaS) offering cloud storage and file management."
"What is multi-tenancy in cloud computing?","Single user access to resources","Multiple users sharing the same resources","Dedicated resources for each user","Isolated environments for each user","B","Multi-tenancy allows multiple users to share the same resources while keeping their data isolated."
"Which organization is known for providing cloud computing services?","NASA","Amazon Web Services (AWS)","Intel","Dell","B","Amazon Web Services (AWS) is a leading provider of cloud computing services."
