"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is the purpose of Azure DevOps?","To manage virtual machines","To monitor storage accounts","To provide a suite of tools for software development and delivery","To manage Azure billing","C","Azure DevOps provides development collaboration tools including CI/CD, repos, boards, and testing."
"Which Azure DevOps component is used for version control?","Azure Artifacts","Azure Boards","Azure Pipelines","Azure Repos","D","Azure Repos provides Git-based version control for source code management."
"What is the function of Azure Pipelines?","Manages team permissions","Implements CI/CD pipelines","Handles API testing","Stores user secrets","B","Azure Pipelines automate build, test, and deployment processes using CI/CD."
"Which of these tools helps manage project work items in Azure DevOps?","Azure Boards","Azure Functions","Azure Repos","Azure Monitor","A","Azure Boards is used to manage work items, tasks, user stories, and sprints."
"What does CI stand for in DevOps?","Cloud Integration","Continuous Integration","Code Inspection","Container Initialization","B","Continuous Integration (CI) is the practice of automating the integration of code changes."
"What does CD stand for in Azure Pipelines?","Continuous Delivery/Deployment","Content Download","Cloud Development","Configuration Deployment","A","CD refers to Continuous Delivery or Deployment of software to production environments."
"What is the purpose of Azure Artifacts?","Manage containers","Monitor pipelines","Host and share packages like NuGet, npm","Create pull requests","C","Azure Artifacts provides integrated package management for code artifacts like NuGet, npm, Maven."
"Which file format is used to define a pipeline in YAML?",".xml",".yml",".json",".conf","B","Azure Pipelines supports pipeline definitions using YAML files (.yml)."
"What is a 'build agent' in Azure DevOps?","A user role","A tool to manage permissions","A machine that runs pipeline jobs","An alert system","C","A build agent is the server or service that runs your build and release jobs."
"How can teams track progress in Azure DevOps?","Azure Security Center","Azure AD","Azure Boards Dashboards","Azure Functions Logs","C","Azure Boards provides dashboards and queries to track project progress."
"Which of the following supports parallel jobs in Azure DevOps?","Azure CLI","Build Agents","Azure Logic Apps","Azure Cosmos DB","B","Multiple build agents allow parallel execution of jobs in Azure Pipelines."
"What is a release pipeline used for?","Writing user stories","Storing container images","Testing features","Deploying applications to various environments","D","Release pipelines automate deployments to different environments like dev, test, and production."
"Which of the following is true about Azure DevOps Projects?","Only supports Linux","Does not support Git integration","Simplifies initial setup for CI/CD and app services","Requires Visual Studio","C","Azure DevOps Projects provide templates and automation to set up a complete CI/CD pipeline quickly."
"What is a Git Pull Request in Azure Repos?","A type of backup","A request to merge code into another branch","A security feature","A test suite","B","A pull request is used to review and merge code changes into a target branch."
"Which tool can be used to trigger Azure Pipelines from external systems?","Azure Monitor","REST API","Azure DNS","Azure Key Vault","B","Azure Pipelines provides REST APIs to integrate and trigger builds from other systems."
"What type of repositories does Azure Repos support?","Git only","TFVC only","Git and TFVC","SVN only","C","Azure Repos supports both Git and Team Foundation Version Control (TFVC)."
"What is the purpose of an 'environment' in release pipelines?","To run code locally","To manage pipeline variables","To deploy code to specific stages like Dev, QA, Prod","To version your repo","C","Environments represent different stages of software deployment such as dev, test, and prod."
"Which permissions model does Azure DevOps use?","IP-based access","Subscription-based access","Role-based access (RBAC)","Usage-based access","C","Azure DevOps uses role-based access control to manage permissions across the platform."
"Where can users find audit logs in Azure DevOps?","Project Settings > Auditing","Azure AD","Azure Boards","Azure Repos > Git History","A","Audit logs are available in Organization Settings under Auditing."
"What is the benefit of pipeline templates in YAML?","Slower performance","More manual work","Code reusability and modular pipelines","Used only for testing","C","Templates help reuse pipeline components, improving consistency and reducing duplication."
