"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is the main purpose of Azure Boards?","Manage build pipelines","Monitor Azure services","Track work items and project planning","Manage deployment slots","C","Azure Boards is used to plan, track, and discuss work across teams using items like epics and tasks."
"Which of the following is a work item type in Azure Boards?","Test Plan","Branch","User Story","Release Note","C","User Story is a common work item type used in agile methodologies within Azure Boards."
"Which tool is used to manage sprints in Azure Boards?","Pipeline Editor","Kanban Board","Sprint View","Artifact Explorer","C","Sprint View allows managing tasks, capacity, and progress during sprints."
"What is a feature of the Kanban board in Azure Boards?","Runs test cases","Defines pipeline stages","Visual task flow for user stories","Publishes NuGet packages","C","The Kanban board provides a visual workflow for managing work items."
"What is the highest-level item in Azure Boards hierarchy?","Issue","Task","Epic","Story","C","An Epic is a large body of work that can be broken down into features or stories."
"What does a Feature in Azure Boards typically consist of?","Tasks only","User Stories","Sprints","Backlog items","B","A Feature is often made up of multiple User Stories."
"Which tool in Azure Boards helps estimate team capacity?","Dashboard","Queries","Delivery Plans","Capacity tool in sprint planning","D","The capacity tool allows setting hours per team member for sprint planning."
"Which work item state indicates active progress?","Closed","New","Active","Resolved","C","Work items marked as Active indicate that the team is currently working on them."
"How can teams track dependencies in Azure Boards?","Using Git logs","Using related links between work items","Using NuGet packages","Using YAML scripts","B","Work items can be linked to represent dependencies using related links."
"What is the function of the backlog in Azure Boards?","Manage logs","Build test cases","Manage upcoming work","Deploy applications","C","The backlog allows product owners and teams to manage and prioritize work items."
"Which view allows visualization of work distribution over time?","Delivery Plans","Pipeline Summary","Build Chart","Service Connections","A","Delivery Plans provide a timeline view of work across multiple teams and sprints."
"Can Azure Boards be integrated with GitHub Issues?","No","Yes","Only for public projects","Only for enterprise users","B","Azure Boards supports integration with GitHub for tracking commits and issues."
"Which query type allows customizing filters on work items?","Pull Request Query","Work Item Query","Dashboard Widget","Test Plan Filter","B","Work Item Queries allow you to create custom filters and views on work item data."
"What role does the product owner play in Azure Boards?","Writes deployment scripts","Owns the Azure portal","Manages the backlog and prioritization","Publishes code to production","C","Product owners manage the backlog and prioritize user stories and features."
"Which tool helps view all assigned work items to a user?","My Queries","DevOps Hub","Repos Overview","Test Suite","A","My Queries or Assigned to Me filters show all tasks assigned to a user."
"What happens when a work item is closed?","It gets deleted","It moves to the active board","It is archived permanently","It becomes read-only and marked complete","D","Closed work items are marked complete and typically cannot be edited."
"Which of these is NOT a default work item type?","Epic","Bug","Test Case","Script File","D","Script File is not a valid work item type in Azure Boards."
"How can work items be moved between states?","Changing the work item ID","Adding comments","Updating the State field","Changing the priority","C","The 'State' field determines the status of the work item and can be updated."
"What is a tag in Azure Boards?","A line of code","A way to add labels for categorization","A Git branch","A release number","B","Tags help in categorizing and filtering work items easily."
"Which work item type typically represents a defect or issue?","Epic","Bug","Task","Test Plan","B","Bugs are used to track defects or issues discovered during development or testing."
