QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
Which command sets your Git username?,git set user.name,git config user.name,git user setname,git define username,B,Use git config user.name to set your Git username.
What does --global mean in git config?,Sets config only for this repo,Applies to all repositories on the system,Applies to remote repos only,Removes configuration,B,Applies to all repositories on the system.
Which command displays all Git config settings?,git show config,git config,git config --list,git list config,C,git config --list shows all Git configuration settings.
Where is global Git config stored?,~/.gitconfig,/etc/git/config,.git/config,project/git.conf,A,Global config is stored in the user’s home directory in ~/.gitconfig.
What file contains repository-specific Git config?,~/.gitconfig,.git/config,global.git,/etc/repo.config,B,Local config for a repo is saved in .git/config within that repo.
How do you set your Git email globally?,git set email global,git config --email user,git config --global user.email,git global email user,C,Use git config --global user.email to set a global email.
Which Git command sets the default text editor?,git config core.editor,git set editor,git editor core,git set texteditor,A,You can set the editor using git config core.editor.
Which config scope overrides others?,System,Global,Local,Network,C,Local settings override global and system configs.
Which command removes a Git config entry?,git config --delete,git config --remove,git config --unset,git unset config,C,Use git config --unset to delete a config entry.
What does git config credential.helper store do?,Sets credential type,Saves credentials to a file,Disables password prompts,Encrypts commit messages,B,It stores credentials securely so you don't have to re-enter them.
What is the purpose of git config?,To manage remote branches,"To configure Git settings like username, editor",To deploy projects,To change Git version,B,git config is used to customize Git behavior and set user preferences.
Which flag do you use with git config for repo-specific settings?,#NAME?,#NAME?,#NAME?,#NAME?,C,Use --local to apply configuration to the current repository only.
How can you set a default merge tool in Git?,git config merge.tool <tool>,git tool set merge,git set merge.default,git define merge.tool,A,You can set the default merge tool using git config merge.tool <tool>.
What does git config --global core.autocrlf true do?,Disables auto-merge,Normalizes line endings to CRLF on checkout,Encrypts logs,Normalizes line endings to CRLF on checkout,D,This setting converts LF to CRLF on checkout to handle line endings.
Which command sets the default push behavior?,git push mode,git config push.default,git set push,git config push.default,D,git config push.default can control push behavior like matching or simple.
What is the purpose of git config user.signingkey?,Sets commit encryption,Sets GPG signing key for commits,Defines remote key,Sets GPG signing key for commits,D,You can configure a GPG key for signing commits using this setting.
How do you view system-wide Git config?,git config --system --list,git show config system,git sysconfig,git config --show,A,git config --system --list shows system-level configuration.
Where is the system Git config usually located?,/etc/gitconfig,~/.gitconfig,./.git/config,C:\Git\System\Config,A,System-wide Git config is typically located in /etc/gitconfig.
"What happens if the same config key is in system, global, and local?",System takes priority,Git errors out,Local config overrides others,Local config overrides others,D,"Local config has the highest priority, overriding global and system values."
Which command sets an alias in Git?,git alias add,git config alias.<name>,git shortcut set,git config alias.<name>,D,You can set command aliases using git config alias.<command>=<actual command>.
