"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is the purpose of Azure Monitor?","User access control","Encrypting disks","Collecting and analyzing telemetry data","Deploying containers","C","Azure Monitor helps you understand how your applications are performing by collecting telemetry data."
"What is Application Insights used for?","Data warehousing","Infrastructure provisioning","Monitoring application performance","Building virtual networks","C","Application Insights provides performance monitoring and diagnostics for live applications."
"What is a Log Analytics workspace?","A VM log file","A container image","A centralized repository for storing and analyzing log data","An IP configuration","C","Log Analytics workspaces store log data collected from Azure resources."
"Which language is used in Azure Monitor log queries?","SQL","KQL","Bash","C#","B","Kusto Query Language (KQL) is used to write log queries in Azure Monitor."
"What is a metric in Azure Monitor?","A time-based numerical value","A deployment template","A pipeline trigger","A virtual machine","A","Metrics are numerical data points collected over time that represent resource behavior."
"What is an alert in Azure Monitor?","An automated backup","A user permission","A notification based on conditions or thresholds","A storage policy","C","Alerts notify users when a certain condition is met, like CPU usage crossing a threshold."
"What is a diagnostic setting?","An ARM template for logs","Configuration to send resource logs to destinations","A YAML schema","An email alert policy","B","Diagnostic settings define where Azure resource logs and metrics are sent (e.g., Log Analytics, Event Hub)."
"Which of the following can be used to create dashboards in Azure Monitor?","Power BI only","CLI only","Azure portal and shared dashboards","Only local tools","C","Dashboards can be built directly in the Azure portal for monitoring multiple resources."
"Which tool allows visualization of collected metric data?","Azure Storage","Azure Defender","Azure Monitor Charts","Azure Policy","C","Charts in Azure Monitor allow you to visualize metric and log data over time."
"What does Azure Activity Log track?","Application errors","Security vulnerabilities","Resource-level changes and actions","VM login attempts only","C","The Activity Log tracks operations on resources like create, update, and delete events."
"Where can logs be exported from Azure Monitor?","Excel only","Event Hub, Storage Account, Log Analytics","Local machine","BLOB via FTP","B","Logs can be sent to Event Hub, Storage, and Log Analytics via diagnostic settings."
"What is a custom log?","Logs from Azure built-in services","Logs from third-party integrations","User-defined logs sent to Log Analytics","Monitoring alerts","C","Custom logs are non-Azure data sources that you define and send to Azure Monitor."
"How can you connect Application Insights to a web app?","Using Azure Monitor Agent","Manually write logs","Enable Application Insights during App Service setup","Install it on a VM","C","Application Insights can be enabled directly when configuring an App Service."
"What is the Azure Monitor Agent?","A container image","A new log storage format","A unified agent for sending telemetry to Azure Monitor","A pricing tier","C","The Azure Monitor Agent (AMA) collects telemetry and sends it to Azure Monitor from VMs and other resources."
"What is a query in Log Analytics used for?","To build dashboards","To retrieve, analyze, and visualize log data","To create alerts","To start VMs","B","Queries are used to extract insights from logs using KQL."
"What is the retention period for logs in Log Analytics by default?","3 days","7 days","30 days","31 days","C","Log Analytics stores data for 30 days by default unless configured otherwise."
"What does a metric alert support that a log alert doesn’t?","Time delay","Resource autoscaling","Near real-time evaluation","Dashboards","C","Metric alerts can be evaluated near real-time and used for quick responses like scaling."
"Which of these is an example of a platform metric?","Error messages","CPU utilization","Custom application logs","Network flow logs","B","Platform metrics are automatically collected from Azure resources, like CPU usage or memory."
"Which service allows you to send alerts to external systems?","Azure Repos","Azure Boards","Action Groups","Azure Container Instances","C","Action Groups can send alerts via email, SMS, webhook, or ITSM to notify external systems."
"Can alerts in Azure Monitor trigger automated actions?","No","Only manually","Yes, through Action Groups and Logic Apps","Only using scripts","C","Alerts can trigger automated workflows or notifications using Logic Apps or Action Groups."
