"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is structured data?","Data with no fixed schema","Data organized in rows and columns","Audio and video files","Data from sensors","B","Structured data is organized in rows and columns, typically stored in relational databases."
"Which Azure service is used for storing massive amounts of unstructured data?","Azure SQL","Azure Blob Storage","Azure Cosmos DB","Azure Files","B","Azure Blob Storage is designed for storing large amounts of unstructured data like text and binary files."
"What is Azure Data Lake Gen2?","A database service","A compute service","A big data storage and analytics service","A security service","C","Azure Data Lake Gen2 is optimized for big data analytics and built on top of Azure Blob Storage."
"What does 'Blob' stand for in Azure Blob Storage?","Binary Large Object","Big Local Object Base","Basic Log of Bytes","Base-Level Operating Bundle","A","Blob stands for Binary Large Object and is used for storing large unstructured data."
"Which data format is considered semi-structured?","CSV","JSON","SQL","MP4","B","JSON is a common semi-structured format used to store data with flexible schema."
"Which type of data is best stored in Azure Files?","Database indexes","Configuration files shared across VMs","Streamed videos","Tabular datasets","B","Azure Files is ideal for storing shared configuration files and data across virtual machines."
"Which of these is not a valid storage tier in Azure Blob Storage?","Hot","Cold","Cool","Frozen","D","Hot, Cool, and Archive are valid storage tiers in Azure Blob. Frozen is not."
"Which type of storage account supports Data Lake Gen2?","General-purpose v1","Blob-only storage","General-purpose v2","Premium file storage","C","Only General-purpose v2 storage accounts support Azure Data Lake Gen2 features."
"What is the function of containers in Azure Blob Storage?","Manage SQL transactions","Provide compute resources","Organize blobs into logical groups","Secure access to data","C","Containers in Azure Blob Storage organize blobs similar to folders in a file system."
"Which storage type supports hierarchical namespaces?","Azure Queue Storage","Azure Data Lake Gen2","Azure File Storage","Azure Table Storage","B","Azure Data Lake Gen2 supports hierarchical namespaces for organizing files into directories."
"What is the default protocol used by Azure Data Lake Gen2?","HTTP","SMB","WebHDFS","NFS","C","Azure Data Lake Gen2 supports WebHDFS and REST APIs for accessing data."
"Which of these formats is typically used for tabular data?","JSON","XML","CSV","YAML","C","CSV (Comma-Separated Values) is widely used for storing and exchanging tabular data."
"How do you upload files to Azure Blob Storage?","Using Azure Monitor","Using Blob triggers","Using tools like Azure Storage Explorer or az CLI","Using Azure Defender","C","Files can be uploaded via Azure Portal, Storage Explorer, or command-line tools like az CLI."
"Which service would you use for real-time ingestion of file-based data in Azure?","Azure Files","Azure Event Grid","Azure Data Lake","Azure Blob Storage","D","Azure Blob Storage can receive data in real-time via Event Grid and other tools."
"Which data format is ideal for large-scale analytics with Data Lake?","CSV","TXT","JSON","Parquet","D","Parquet is a columnar format optimized for big data and analytical workloads."
"Which Azure service helps manage access to Blob Storage securely?","Azure Key Vault","Azure Monitor","Azure Functions","Azure Automation","A","Azure Key Vault stores and manages secrets like keys and passwords used in storage access."
"What does hierarchical namespace allow in Data Lake Gen2?","Flat blob listing","Object detection","Directory-like structures and ACLs","Faster CDN integration","C","Hierarchical namespace allows file system-like directory structures and permission controls."
"Which feature lets you restrict access at container or blob level?","Blob snapshot","Access tiers","Shared Access Signatures (SAS)","Storage queues","C","SAS tokens enable fine-grained control over storage access at blob or container level."
"Which command-line tool is commonly used with Azure Storage?","azcopy","kubectl","git","npm","A","AzCopy is a CLI tool used to upload/download data to/from Azure Storage accounts."
"What is the main benefit of using cool tier storage?","Low latency","High durability","Lower storage cost for infrequently accessed data","Faster write speed","C","Cool tier offers cost-effective storage for infrequently accessed data."
