"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is conditional rendering in React?","Changing background color","Rendering elements based on a condition","Using ternary only","Replacing components","B","Conditional rendering allows you to render components or elements based on logic or conditions."
"Which syntax is used for conditional rendering?","for loop","if-else outside return","Ternary operator","try-catch","C","Ternary operators are commonly used in JSX for conditional rendering."
"Which of the following is correct for inline condition?","{x = 5 ? <A/> : <B/>}","{x === 5 ? <A/> : <B/>}","x ? A : B","x then <A/> else <B/>","B","Ternary in JSX uses condition ? true case : false case."
"How can you render nothing in conditional logic?","return null","return 0","return <div></div>","return {false}","A","Returning null from a component renders nothing."
"Which logical operator can you use to render components conditionally?","||","&&","**","%","B","Logical AND (&&) is used to conditionally render a component if a condition is true."
"Can you use if statements inside JSX?","Yes","No","Only in return","Only in strings","B","JSX expressions do not support if statements directly; they should be used outside of return."
"How do you hide a component based on a prop?","Using CSS","By not rendering it in JSX","useEffect","useRef","B","You can use a condition to avoid rendering the component."
"Which is a drawback of using && for conditional rendering?","Always renders both sides","Doesn’t allow else condition","Slows down render","Errors out","B","The && operator only handles the true case, not the false alternative."
"What does the expression `{isVisible && <Comp />}` do?","Always renders Comp","Renders Comp if isVisible is true","Renders an array","Causes error","B","It only renders Comp if isVisible is true."
"How can you use switch-case for rendering different components?","Inside return","Before return in a helper function or block","Inside onClick","Inside map()","B","switch-case must be used outside return, usually in logic blocks."
"How can you simulate if-else in JSX?","Use switch","Use ternary operator","Use map","Use if directly","B","Ternary operators simulate if-else in JSX."
"Can you combine multiple conditions for rendering?","No","Only in loops","Yes, using logical operators","Yes, using try-catch","C","You can combine conditions using && and || in JSX."
"How do you show fallback content if a value is null?","value || 'fallback'","value && 'fallback'","value ?? 'fallback'","value + 'fallback'","C","Nullish coalescing (??) returns fallback if value is null/undefined."
"What does `{isAdmin ? <AdminPanel /> : null}` do?","Always renders AdminPanel","Renders AdminPanel only if isAdmin is true","Throws error","Always returns null","B","It conditionally renders AdminPanel if isAdmin is true."
"How do you conditionally apply CSS class in React?","setClass()","classToggle","Using ternary in className","props.classList","C","className can be conditionally set using ternary or template literals."
"Can you use map with conditionals?","No","Yes, inside JSX","Only in loops","Only with Redux","B","You can use map to render lists conditionally in JSX."
"What does `{isTrue ? <YesComp /> : <NoComp />}` mean?","Always renders both","Renders YesComp if isTrue, else NoComp","Renders NoComp only","Throws exception","B","This ternary renders YesComp if condition is true, otherwise NoComp."
"What is the benefit of conditional rendering?","Reduces CSS","Improves server performance","Improves UI responsiveness and clarity","Removes props","C","It helps display dynamic content based on application state."
"Which of these is valid for showing loader?","{loading && <Loader />}","{<Loader /> if loading}","{<Loader /> && loading}","{loading: <Loader />}","A","Using &&, the loader is shown only when loading is true."
"How can you render a default element when data is missing?","{data || <Default />}","{data && <Default />}","Always return <Default />","{data ?? <Default />}","D","?? ensures fallback only if the value is null or undefined."
