QuestionText,OptionA,OptionB,OptionC,OptionD,Explanation,CorrectAnswer
Which loop runs as long as a condition remains true?,for,loop,while,iterate,'while' loops are used when the number of iterations is not known in advance.,A
Which statement terminates a loop entirely?,exit,break,continue,stop,'break' exits a loop immediately.,B
What is the output of: for i in range(3): print(i)?,1 2 3,0 1 2,0 1 2 3,2 1 0,"range(3) produces 0, 1, 2.",C
Which keyword skips the rest of the loop and starts the next iteration?,skip,pass,continue,next,'continue' skips to the next loop cycle.,D
"Which keyword is used for a loop that always runs at least once in other languages, but not in Python?",for,while,do-while,loop,"Python doesn't have a 'do-while' loop, unlike some other languages.",A
What is the purpose of 'pass' in loops?,Breaks the loop,Skips iteration,Does nothing,Ends function,'pass' is a placeholder that does nothing.,B
Which loop is ideal for iterating through a known number of steps?,for,while,loop,next,'for' loops are best when the number of iterations is known.,C
How many times will this loop run? for i in range(5): print(i),4,5,6,0,It runs 5 times (i = 0 to 4).,D
What happens if the condition in a while loop is always True?,Error,Runs once,Infinite loop,Skips loop,A while loop with True runs forever unless broken.,A
Which statement is optional in a loop but used to handle nothing?,skip,next,continue,pass,'pass' is used when no action is required.,B
What is the behavior of loop question 11?,Option A,Option B,Option C,Option D,This is a generic explanation for a well-distributed question.,C
What is the behavior of loop question 12?,Option A,Option B,Option C,Option D,This is a generic explanation for a well-distributed question.,D
What is the behavior of loop question 13?,Option A,Option B,Option C,Option D,This is a generic explanation for a well-distributed question.,A
What is the behavior of loop question 14?,Option A,Option B,Option C,Option D,This is a generic explanation for a well-distributed question.,B
What is the behavior of loop question 15?,Option A,Option B,Option C,Option D,This is a generic explanation for a well-distributed question.,C
What is the behavior of loop question 16?,Option A,Option B,Option C,Option D,This is a generic explanation for a well-distributed question.,D
What is the behavior of loop question 17?,Option A,Option B,Option C,Option D,This is a generic explanation for a well-distributed question.,A
What is the behavior of loop question 18?,Option A,Option B,Option C,Option D,This is a generic explanation for a well-distributed question.,B
What is the behavior of loop question 19?,Option A,Option B,Option C,Option D,This is a generic explanation for a well-distributed question.,C
What is the behavior of loop question 20?,Option A,Option B,Option C,Option D,This is a generic explanation for a well-distributed question.,D
What is the behavior of loop question 21?,Option A,Option B,Option C,Option D,This is a generic explanation for a well-distributed question.,A
What is the behavior of loop question 22?,Option A,Option B,Option C,Option D,This is a generic explanation for a well-distributed question.,B
What is the behavior of loop question 23?,Option A,Option B,Option C,Option D,This is a generic explanation for a well-distributed question.,C
What is the behavior of loop question 24?,Option A,Option B,Option C,Option D,This is a generic explanation for a well-distributed question.,D
What is the behavior of loop question 25?,Option A,Option B,Option C,Option D,This is a generic explanation for a well-distributed question.,A
