QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
What does 'git remote add origin' do?,Adds a remote server named origin,Deletes the origin,Pushes files to remote,Lists all files,A,It connects your local repo to a remote server named 'origin'.
Which command lists all remotes?,git show remotes,git list,git remotes,git remote -v,D,git remote -v lists all remotes and their URLs.
Which command fetches changes from a remote?,git push,git sync,git fetch,git clone,C,git fetch retrieves changes from a remote without merging.
How do you remove a remote?,git delete origin,git remove remote origin,git remote rm origin,git forget origin,C,git remote rm <name> removes a remote.
What does 'git pull' do?,Saves changes,Deletes remote branch,Fetches and merges changes,Creates a new branch,C,git pull fetches and merges remote changes into the current branch.
Which command uploads changes to the remote repository?,git remote,git fetch,git push,git clone,C,git push uploads local commits to a remote repository.
What is the default name of the first remote?,main,git,origin,remote,C,'origin' is the default name for the first remote repository.
What does 'git clone' do?,Creates a new commit,Copies a remote repository,Creates a remote branch,Creates a merge conflict,B,git clone creates a copy of a remote repository locally.
What does 'git push -u origin main' do?,Pushes and sets upstream tracking,Deletes remote main branch,Updates only files,Fetches changes,A,It pushes and sets the upstream branch for tracking.
How can you rename a remote?,git rename remote origin upstream,git remote mv,git remote rename origin upstream,git remote rename origin upstream,D,git remote rename <old> <new> renames a remote.
Which command shows the URL of a remote?,git url remote,git remote -v,git get remote,git fetch url,B,git remote -v displays the URL of each configured remote.
How can you verify that a remote URL is correct?,git test remote,git ls-remote,git remote verify,git ping remote,B,git ls-remote lists references in a remote repository.
What does the '-u' flag do in 'git push -u'?,Undoes last push,Updates tracking,Sets upstream tracking,Sets upstream tracking,D,The -u flag sets the remote branch as upstream for the current branch.
Which command sets a new URL for a remote?,git remote update,git set remote url,git remote set-url,git remote set-url,D,git remote set-url <name> <new-url> changes the remote's URL.
How do you fetch from all remotes?,git fetch-all,git remote fetch,git fetch --all,git fetch --all,D,git fetch --all gets updates from all remotes.
Which file stores remote URLs?,.remote,.git/config,.git/config,.git/remotes.conf,B,The .git/config file contains information about remotes.
What does 'git remote show origin' display?,Remote details including fetch/push URLs and branches,Current branch log,Remote details including fetch/push URLs and branches,SSH config,A,"It shows fetch/push URLs, tracked branches, and other remote metadata."
How do you delete a remote branch?,git push origin --delete <branch>,git delete branch remote,git push origin --delete <branch>,git remote rm branch,A,Use git push origin --delete <branch> to remove a remote branch.
Can you have multiple remotes in a Git project?,"Yes, Git supports multiple remotes","Yes, but only one active","Yes, Git supports multiple remotes",Only with SSH,A,"You can configure multiple remotes, such as origin, upstream, etc."
How do you fetch and checkout a remote branch?,git checkout remote branch,git fetch && git checkout origin/branch,git start remote,git clone branch,B,"First fetch, then checkout the remote branch using its name."
