"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"Which Spark action returns the first element in an RDD?","collect()","count()","first()","take()","C","The first() action returns the first element of the RDD."
"What does the collect() action do in Spark?","Filters elements","Returns a single element","Returns all elements of the RDD to the driver","Writes output to a file","C","collect() retrieves all elements of the RDD and sends them to the driver node."
"Which Spark action returns the number of elements in an RDD?","map()","reduce()","count()","flatMap()","C","The count() action returns the number of elements in an RDD."
"Which action writes the RDD content to a text file?","collect()","saveAsTextFile()","first()","reduce()","B","saveAsTextFile() writes the content of RDD to a text file in the distributed file system."
"Which Spark action returns a specified number of elements?","take()","first()","count()","collect()","A","take(n) retrieves the first 'n' elements of the RDD."
"Which action aggregates elements using an associative function?","map()","reduce()","filter()","groupByKey()","B","reduce() combines elements using a binary operator like addition or multiplication."
"What happens if you call collect() on a very large RDD?","Nothing","Only 10 elements returned","Risk of memory overflow at driver","Output is written to file","C","collect() retrieves all RDD data to the driver, which can cause memory overflow for large datasets."
"Which action provides a summary of the data in a DataFrame?","show()","describe()","first()","collect()","B","describe() gives summary statistics like count, mean, std, min, and max."
"Which action returns true if the RDD is empty?","countByKey()","isEmpty()","empty()","filter().count()","B","isEmpty() returns true if the RDD contains no elements."
"Which action can be used to apply a function to each element without returning a value?","map()","foreach()","flatMap()","groupByKey()","B","foreach() is used for side effects and doesn’t return a result to the driver."
"Which action aggregates elements using an associative function? (alt 10)","map()","reduce()","filter()","groupByKey()","B","reduce() combines elements using a binary operator like addition or multiplication."
"What happens if you call collect() on a very large RDD? (alt 11)","Nothing","Only 10 elements returned","Risk of memory overflow at driver","Output is written to file","C","collect() retrieves all RDD data to the driver, which can cause memory overflow for large datasets."
"Which action provides a summary of the data in a DataFrame? (alt 12)","show()","describe()","first()","collect()","B","describe() gives summary statistics like count, mean, std, min, and max."
"Which action returns true if the RDD is empty? (alt 13)","countByKey()","isEmpty()","empty()","filter().count()","B","isEmpty() returns true if the RDD contains no elements."
"Which action can be used to apply a function to each element without returning a value? (alt 14)","map()","foreach()","flatMap()","groupByKey()","B","foreach() is used for side effects and doesn’t return a result to the driver."
"Which action aggregates elements using an associative function? (alt 15)","map()","reduce()","filter()","groupByKey()","B","reduce() combines elements using a binary operator like addition or multiplication."
"What happens if you call collect() on a very large RDD? (alt 16)","Nothing","Only 10 elements returned","Risk of memory overflow at driver","Output is written to file","C","collect() retrieves all RDD data to the driver, which can cause memory overflow for large datasets."
