"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is Dependency Injection (DI) in .NET Core?","A way to manually call services","A pattern for managing configuration files","A design pattern for achieving inversion of control","A way to compile code","C","DI is a pattern that promotes loose coupling by injecting dependencies instead of hardcoding them."
"Where is DI typically configured in .NET Core?","Program.cs","Configure method","ConfigureServices method in Startup.cs","web.config","C","Dependencies are registered in the ConfigureServices method of Startup.cs."
"Which method registers a service with a singleton lifetime?","AddTransient","AddScoped","AddSingleton","RegisterService","C","AddSingleton ensures a single instance is created and shared across the app lifetime."
"Which service lifetime creates a new instance every time it is requested?","Scoped","Transient","Singleton","Persistent","B","Transient services are created every time they are requested."
"Which lifetime is best for lightweight, stateless services?","Singleton","Scoped","Transient","Heavyweight","C","Transient services are ideal for lightweight and stateless operations."
"Which interface is used to retrieve a service in a controller?","IServiceLocator","IServiceProvider","IController","IApplicationBuilder","B","IServiceProvider is used to retrieve registered services in DI."
"What happens if you try to inject a service not registered in DI?","It uses default instance","It throws an exception","It silently fails","It retries with delay","B","The app throws an exception if an unregistered service is injected."
"What does the AddScoped method do?","Creates a singleton object","Creates an instance per request scope","Disables lifecycle management","Runs initialization code","B","Scoped services are created once per request scope."
"Which method resolves all registered services of a specific type?","GetService<T>()","GetServices<T>()","ResolveService<T>()","FindAll<T>()","B","GetServices<T>() resolves all implementations of a type registered in DI."
"How do you inject a service into a controller?","Via method injection","Via static method","Via constructor injection","Via reflection","C","Constructor injection is the standard way of injecting services in .NET Core."
"Can multiple interfaces be registered with the same implementation?","No","Only for singleton services","Yes","Only for scoped services","C","Yes, multiple interfaces can point to the same implementation in DI."
"What is the default DI container used by .NET Core?","Autofac","Ninject","Built-in Microsoft.Extensions.DependencyInjection","Unity","C",".NET Core includes a built-in lightweight dependency injection container."
"What keyword in C# is used to define interfaces?","interface","struct","using","var","A","The 'interface' keyword defines a contract that can be implemented by classes."
"Which method allows conditional registration of a service?","AddConditionally","TryAddScoped","RegisterIfMissing","AddIfNull","B","TryAddScoped registers the service only if it hasn't already been registered."
"Can a singleton service depend on a scoped service?","Yes, always","No, it causes a runtime error","Only if manually resolved","Only in Program.cs","B","A singleton depending on a scoped service leads to potential runtime exceptions due to mismatched lifetimes."
"What namespace is required to use DI features?","Microsoft.AspNetCore.Hosting","Microsoft.Extensions.DependencyInjection","System.Configuration","Microsoft.Net.Http","B","DI is available under Microsoft.Extensions.DependencyInjection."
"What is constructor injection?","Calling a service from a method","Providing a service through the class constructor","Injecting JavaScript functions","Replacing runtime libraries","B","Constructor injection passes dependencies as parameters to the class constructor."
"Which lifetime is best for services that store state per user session?","Singleton","Transient","Scoped","Distributed","C","Scoped services are ideal for per-request or per-session state handling."
"What is IServiceCollection in .NET Core?","A list of controllers","A middleware pipeline","A container for service registrations","A configuration object","C","IServiceCollection represents a container used to register application services."
"Which interface is used to create a custom scoped service manually?","IScopedBuilder","IServiceProvider.CreateScope()","IMiddlewareFactory","IApplicationLifetime","B","CreateScope() is used to manually create a new scope for resolving scoped services."
