QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
What is a Terraform module?,A plugin to manage Terraform state,A reusable container for multiple resources,A script to destroy infrastructure,An alias for provider,B,A module is a self-contained package of Terraform configuration that can be reused.
Where is the root module located in a Terraform project?,In .terraform directory,In variables.tf file,In the main working directory,Inside modules folder,C,The root module is the main working directory where Terraform is run.
Which keyword is used to include a module?,resource,provider,module,include,C,The 'module' block is used to call and configure Terraform modules.
How are module outputs accessed?,module.output_name,output.module_name,${module.module_name.output_name},output:module,C,Module outputs are accessed using the syntax ${module.module_name.output_name}.
Where can modules be sourced from?,Terraform Registry,GitHub,Local directories,All of the above,D,"Modules can be sourced from Terraform Registry, VCS, or local directories."
What file is required inside every custom module?,backend.tf,main.tf,output.tf,vars.tf,B,main.tf is the primary configuration file required in a module.
How are inputs passed to a module?,Using 'input' blocks,Using environment variables,By defining variables inside the module block,In terraform.tfvars only,C,Module inputs are passed using arguments inside the module block.
Which command downloads modules from remote sources?,terraform apply,terraform fetch,terraform get,terraform init,D,'terraform init' automatically downloads remote modules.
What is the purpose of using modules?,To store state remotely,To add environment variables,To reuse configuration and reduce code duplication,To disable validation,C,"Modules promote reusability, organization, and scalability."
Which of the following is NOT a valid module source?,terraform.io,./modules/vm,git::https://github.com/org/module.git,terraform state,D,'terraform state' is not a module source format.
Can modules call other modules?,"Yes, using nested module blocks",No,Only in production mode,Only if defined in main.tf,A,"Modules can call other modules, creating nested modules."
What is a benefit of using the Terraform Registry?,Version locking,Automatic execution,Default providers only,Cost estimation,A,The Terraform Registry provides versioning and reusable modules.
What happens if a module input variable is not provided?,It fails without error,It uses the default if available,Terraform stops completely,The resource is created with null values,B,"If no value is provided, Terraform uses the default value if one is defined."
Can module outputs be used in another module directly?,"Yes, with interpolation syntax",No,Only if exported,Only if inside the same file,A,Outputs can be used via interpolation with ${module.name.output}.
What is the role of outputs in a module?,Hide variables,Provide metadata,Expose values to parent modules,Replace resources,C,Outputs expose useful information for reuse in parent configurations.
Are all files in a module required?,Yes,Only main.tf,Only output.tf and variables.tf,"No, only relevant ones",D,Terraform only requires the files necessary for the module’s function.
How do you version a module from the Terraform Registry?,Specify version in source,Use version.tf,No versioning supported,Tag it manually,A,Use version attribute in module source block to pin module versions.
Can you use the same module more than once in a configuration?,No,"Yes, with different names",Only in different directories,Only with conditions,B,You can use the same module multiple times with different instance names.
What does 'source = ./modules/vm' mean?,Use a GitHub module,Use a module named vm from local path,Use a remote module,Install a new provider,B,It references a module from the local modules/vm path.
Why would you use count with a module?,To initialize it,To create multiple instances of the same module,To list outputs,To destroy it,B,Count is used to instantiate a module multiple times.
