"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"Which of the following is the correct syntax to declare a variable in C#?","int x = 10;","x : int = 10;","int = 10;","int: x = 10;","A","Variables in C# are declared using the syntax: datatype variableName = value;"
"Which of the following is a value type in C#?","String","Array","Int32","Class","C","Int32 is a value type. String and Array are reference types."
"What is the output of: Console.WriteLine(5 + ""5"");","10","55","Compile Error","Runtime Error","B","5 + ""5"" results in string concatenation and outputs ""55""."
"Which access modifier makes a member visible only within its own class?","public","protected","internal","private","D","private access modifier restricts visibility to within the same class."
"Which loop is guaranteed to run at least once?","for","foreach","while","do-while","D","The do-while loop evaluates its condition after executing the loop body."
"Which of these is the correct way to comment multiple lines in C#?","# This is a comment","/* comment */","// comment //","<!-- comment -->","B","/* */ is used for multi-line comments in C#."
"Which of the following is NOT a primitive type in C#?","byte","char","int","string","D","string is a reference type in C#."
"What is the default value of a boolean in C#?","true","false","null","0","B","The default value of a boolean variable is false."
"Which of the following is used to define a constant value?","static","readonly","final","const","D","const is used for compile-time constants in C#."
"Which statement is used to branch decision making?","break","switch","goto","case","B","The switch statement allows branching based on multiple conditions."
"Which operator is used for logical AND in C#?","&","&&","||","!","B","&& is the logical AND operator in C#."
"Which of these converts a string to an integer?","ToString()","Int32.ToInt()","Convert.ToInt32()","int.ParseInt()","C","Convert.ToInt32() converts a string to an integer in C#."
"Which of the following is NOT a loop structure in C#?","for","while","foreach","repeat","D","C# does not have a repeat loop."
"How do you handle errors in C#?","try-catch","goto","error block","handle block","A","try-catch is used to handle exceptions in C#."
"Which keyword is used to return a value from a method?","break","exit","return","continue","C","return keyword exits from the method and returns a value if specified."
"Which of the following denotes a single-line comment?","/* */","//","--","#","B","// is used for single-line comments in C#."
"Which of the following keywords is used to create a method?","define","function","method","void","D","void is used to define a method with no return value in C#."
"Which statement is used to exit from a loop?","stop","exit","break","return","C","break exits from the current loop in C#."
"Which of these is used to read user input from the console?","Console.ReadLine()","Console.Write()","Input.Read()","Scanner.Read()","A","Console.ReadLine() reads a line of input from the user in C#."
"What is the default value of an int in C#?","null","1","0","-1","C","The default value of an int is 0 in C#."
