QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
Which of the following is not a pillar of OOP in C#?,Inheritance,Encapsulation,Compilation,Polymorphism,C,"Compilation is not a pillar of OOP. The four pillars are Abstraction, Encapsulation, Inheritance, and Polymorphism."
What is encapsulation in C#?,Inheriting properties from another class,Binding data and code into a single unit,Hiding internal data from outside access,Overriding a method in the base class,C,"Encapsulation means hiding internal object details and showing only necessary parts."
Which keyword is used to inherit a class in C#?,inherits,using,: (colon),extends,C,"In C#, the colon (:) is used to inherit a class or implement interfaces."
Which access modifier allows access only within the same class?,public,protected,private,internal,C,"The `private` access modifier restricts access to members only within the same class."
What is polymorphism in C#?,The ability of an object to take many forms,Hiding data from the user,Encapsulating code,Inheriting properties,A,"Polymorphism allows methods or objects to behave differently based on context, typically via method overriding or overloading."
In C#, which keyword is used to define a base class method that can be overridden?,override,virtual,new,static,B,"The `virtual` keyword allows a method to be overridden in a derived class using `override`."
What is the purpose of the abstract keyword in C#?,To create a sealed class,To define a method without implementation,To allow multiple inheritance,To instantiate the class directly,B,"The `abstract` keyword defines methods without implementation in base classes."
Which keyword is used to implement an interface in C#?,inherits,: (colon),extends,implements,B,"In C#, the colon (:) is used to implement interfaces and inherit classes."
Which of the following can be overridden in a derived class?,static method,virtual method,constructor,private method,B,"Only virtual methods can be overridden using the override keyword in C#."
What is the purpose of a constructor in a class?,To destroy the object,To initialize the object,To inherit the class,To implement an interface,B,"A constructor initializes an object when it is created and sets default or custom values."
Which of these defines a read-only property?,A property with only a get accessor,A property with only a set accessor,A private method,A constructor,A,"A property with only a get accessor is read-only and cannot be assigned externally."
What is method overloading in C#?,Changing return type,Inheriting a method,Defining multiple methods with the same name but different parameters,Defining a method in interface,C,"Method overloading allows multiple methods with the same name but different parameter lists."
What is the default access modifier for a class in C#?,public,internal,private,protected,B,"By default, classes in C# have the internal access modifier unless specified otherwise."
Which of the following allows multiple inheritance in C#?,Abstract class,Interface,Base class,Static class,B,"C# allows multiple inheritance through interfaces, not classes."
What does the sealed keyword do to a class in C#?,Prevents it from being inherited,Allows multiple inheritance,Makes it abstract,Makes it static,A,The sealed keyword is used to prevent other classes from inheriting from it.
Which C# feature supports runtime polymorphism?,Constructor overloading,Method overriding,Method overloading,Property accessor,B,Method overriding provides runtime polymorphism by redefining virtual methods in derived classes.
Which keyword is used to hide the base class method intentionally?,override,new,static,sealed,B,The new keyword explicitly hides a member inherited from a base class.
An interface can contain:,Fields and constructors,Constructors and method bodies,Only method declarations and properties,Static methods,C,Interfaces can only declare methods and properties but not provide implementation.
What is true about abstract classes in C#?,Cannot contain any methods,Can contain both abstract and concrete methods,Cannot be inherited,Must be static,B,Abstract classes can have both fully implemented and abstract methods.
What is the difference between a class and an object?,A class is a blueprint; an object is an instance of that class,A class is a method; an object is a property,Both are the same,An object defines properties, a class does not,A,A class is a template, and an object is a specific instance of that class created at runtime.
