QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
Which command creates a new Git branch?,git make branch,git branch <name>,git new branch,git create,B,git branch <branch-name> creates a new branch.
How do you switch to a different branch?,git use <branch>,git switch <branch>,git go <branch>,git fetch <branch>,B,git switch <branch-name> changes the current working branch.
What command lists all local branches?,git list branches,git show-branches,git branch,git branches --all,C,git branch lists all local branches.
What is the command to merge a branch?,git join <branch>,git append <branch>,git merge <branch>,git combine <branch>,C,git merge <branch-name> merges changes into the current branch.
Which command deletes a local branch?,git remove <branch>,git delete branch <name>,git branch -d <name>,git erase <branch>,C,git branch -d <name> deletes a local branch.
Which command deletes a branch forcefully?,git branch --delete,git branch -D <name>,git delete -f <name>,git force remove <branch>,B,git branch -D <branch> deletes it regardless of merge status.
What is a merge conflict?,When branches don’t exist,When automatic merge fails due to overlapping changes,When files are missing,When network is down,B,Merge conflicts happen when changes to the same lines cannot be merged automatically.
What does HEAD refer to in Git?,The latest commit globally,The main branch only,The current branch pointer,The oldest commit,C,HEAD points to the latest commit on the currently checked-out branch.
How do you see merged and unmerged branches?,git branch --all,git branch --verbose,git branch --merged / --no-merged,git show merged,C,Use --merged or --no-merged to filter branches by merge status.
What’s the best practice before merging branches?,Push all files,Run git init again,Pull latest changes and test locally,Pull latest changes and test locally,D,It's best to ensure you have the latest changes and test locally before merging.
Which command renames a Git branch?,git rename,git branch -m,git change-branch,git move-branch,B,git branch -m <old-name> <new-name> renames a branch.
Which option shows remote branches along with local ones?,git branch -a,git branch -a,git show branches,git branches -remote,A,git branch -a shows all local and remote branches.
How do you create a new branch and switch to it?,git new & use,git init branch,git checkout -b <name>,git checkout -b <name>,D,git checkout -b creates and switches to the new branch in one step.
How can you abort a merge conflict?,git abort,git merge stop,git reset --hard HEAD,git reset --hard HEAD,D,"git reset --hard HEAD resets the index and working tree, effectively canceling the merge."
What does 'git rebase' do?,Moves base of one branch onto another,Moves base of one branch onto another,Merges remote into main,Updates the tag list,A,git rebase re-applies commits on top of another base tip.
What happens after merging a branch?,The original branch is deleted,Both branches are reset,Changes are combined into the current branch,Changes are combined into the current branch,D,git merge combines changes into the current checked-out branch.
What does 'git checkout <commit>' do?,Switches to a different commit (detached HEAD),Creates a pull request,Switches to a different commit (detached HEAD),Deletes changes,A,Checking out a specific commit puts you in detached HEAD state.
What is a fast-forward merge?,A merge with no new commits,A merge that creates a conflict,A merge that can be resolved by reset,A merge without divergent history,D,"Fast-forward merges happen when there is no divergence, just a linear history."
Which flag forces branch deletion even if not merged?,#NAME?,#NAME?,#NAME?,#NAME?,A,git branch -D <branch> forcefully deletes the branch.
What is a detached HEAD in Git?,HEAD is not pointing to any branch,HEAD is deleted,HEAD is in conflict,HEAD refers to the root commit,A,"Detached HEAD means HEAD is pointing to a commit, not a branch."
