QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
Why is it important to use version control with Terraform code?,To track state files,To monitor resources,To keep a history of infrastructure changes,To encrypt secrets,C,Version control helps manage and track changes to Terraform configuration over time.
Which file should typically be excluded from version control?,main.tf,variables.tf,terraform.tfvars,terraform.tfstate,D,terraform.tfstate may contain sensitive data and is not recommended to be versioned.
What is a recommended naming convention for Terraform resources?,camelCase,Title Case,kebab-case,snake_case,D,snake_case is widely used in Terraform for resource naming consistency.
Why should outputs be used in modules?,To store secrets,To hide sensitive values,To expose useful values from modules,To override variables,C,Outputs help share values between modules or with users after execution.
What’s the advantage of using remote backends for state?,Faster deployments,Better collaboration and state locking,Reduced configuration,Support for more providers,B,"Remote backends offer state sharing, locking, and versioning among teams."
Why is it important to pin provider versions?,To speed up execution,To reduce state file size,To prevent breaking changes from newer versions,To skip plan phase,C,Pinning provider versions ensures consistent behavior and avoids unplanned upgrades.
Which of the following helps secure sensitive variables?,Write them in variables.tf,Store them in output.tf,Use environment variables or secret managers,Hardcode into main.tf,C,Sensitive variables should be stored securely using environment variables or secret stores.
What does 'terraform fmt' help with?,Function execution,File formatting and readability,Function mapping,Terraform output,B,'terraform fmt' standardizes the format of your configuration files.
Why is modularization important in Terraform?,Improves provider performance,Reduces need for providers,Enables reuse and better code management,Simplifies versioning,C,"Modularization allows reuse, separation of concerns, and better testing of infrastructure."
Which file is used to define required Terraform version?,terraform.tfvars,main.tf,backend.tf,terraform block in a .tf file,D,Terraform version constraints are specified in the 'terraform' block using required_version.
Why should 'terraform apply' be reviewed with a plan?,To update tfstate,To avoid formatting issues,To preview changes before applying,To destroy resources safely,C,Reviewing the plan prevents unintended infrastructure changes.
What is the benefit of locking state in Terraform?,Increases speed,Improves tagging,Prevents concurrent modifications,Secures secrets,C,State locking avoids race conditions when multiple users apply changes.
Why use workspaces in Terraform?,To control logging,To separate environments,To replace modules,To override variables,B,"Workspaces help manage different environments like dev, staging, and prod."
How should secrets be handled in Terraform?,In hardcoded variables,In .tf files,Through vaults or environment variables,Inside README files,C,"Use vaults, environment variables or secrets manager for sensitive data."
What’s the purpose of 'terraform validate'?,Run formatting,Apply changes,Check syntax and internal consistency,Download providers,C,'terraform validate' checks configuration file syntax and semantics.
Why avoid manual changes in the Azure Portal for Terraform-managed resources?,Azure might charge extra,Terraform can't handle scale sets,It causes configuration drift,Azure doesn’t allow it,C,Manual changes can lead to drift between actual and expected infrastructure.
Why separate variables into a variables.tf file?,To reduce apply time,To increase security,To centralize input configuration,To limit storage,C,It improves clarity and maintainability by separating configuration inputs.
What’s a good use case for modules in Terraform?,Avoiding code reuse,Running commands,Grouping reusable infrastructure,Listing backends,C,"Modules allow for organized, reusable infrastructure across projects."
Why avoid using 'count' with multiple conditional blocks?,Increases execution time,Causes plan failure,Complicates dependency graph,Wastes memory,C,'count' with conditionals can make dependency and plan logic complex.
Why should state file access be restricted?,It improves plan speed,It simplifies apply logic,It contains sensitive data and must be protected,It contains variable defaults,C,State files can contain secrets and should be secured.
