"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is an Azure Virtual Network (VNet)?","A physical network inside Azure data centers","A logical isolation of the Azure cloud dedicated to a subscription","A group of VMs inside a resource group","A type of Azure database","B","An Azure VNet is a logical isolation of the cloud for securely running resources."
"Which component filters network traffic in Azure?","Route Table","NSG (Network Security Group)","Virtual Appliance","Storage Account","B","NSGs contain security rules that allow or deny traffic to resources."
"What is a subnet in Azure Networking?","A type of firewall","A smaller portion of a VNet","A separate data center","A load balancer","B","A subnet divides a VNet into smaller address spaces."
"What does Azure Load Balancer do?","Stores user data","Creates resource groups","Distributes incoming traffic among healthy resources","Manages storage access","C","Azure Load Balancer distributes network traffic to improve performance and availability."
"Which Azure service connects on-premises networks to Azure?","Azure Front Door","Virtual Network Gateway","Azure DNS","Application Gateway","B","Virtual Network Gateway enables encrypted traffic between on-premises and Azure."
"What is the role of a route table in Azure?","Assign IPs to storage accounts","Control traffic routing within VNets","Monitor data usage","Encrypt virtual machines","B","Route tables define traffic flow between subnets and VNets."
"What protocol does Azure VPN Gateway support for site-to-site connections?","SFTP","HTTPS","IPSec/IKE","FTP","C","Azure VPN Gateways use IPSec/IKE for encrypted VPN tunnels."
"Which DNS service resolves domain names in Azure?","Azure Files","Azure DNS","Azure Monitor","Azure CLI","B","Azure DNS hosts domains and resolves names in Azure applications."
"What is Azure ExpressRoute used for?","Web hosting","Internet browsing","Private, dedicated network connection to Azure","Storage encryption","C","ExpressRoute creates a private connection between on-premises and Azure."
"Which service is used to restrict traffic based on IP and port in Azure?","Azure Firewall","Azure AD","Azure Key Vault","Azure Monitor","A","Azure Firewall enforces traffic rules and filtering policies."
"Which service provides Layer 7 load balancing in Azure?","Azure Load Balancer","Azure VPN Gateway","Azure Application Gateway","Azure Front Door","C","Application Gateway works at Layer 7 and supports features like SSL termination and path-based routing."
"What does Azure Front Door do?","Encrypt storage data","Distribute traffic globally and accelerate apps","Create VMs","Monitor virtual networks","B","Azure Front Door optimizes web traffic with global load balancing and routing."
"What is a network interface in Azure?","A user login method","A configuration of user access","An attachment to a VM that allows network communication","A disk storage method","C","A network interface (NIC) connects VMs to a VNet."
"What is an Azure private endpoint?","Public access point to resources","Access to the Azure portal","Private IP for securely connecting to services","Admin console","C","Private Endpoints allow secure access to services using private IPs within VNets."
"Which Azure feature prevents data exfiltration?","NSG","Private Link","Azure DNS","ExpressRoute","B","Azure Private Link ensures services are accessed securely over private endpoints."
"What is a public IP address in Azure?","An IP used only within a VNet","An Azure region IP","An IP that allows internet access to resources","An Azure DNS server","C","Public IPs are assigned to resources that need to be reachable from the internet."
"Which service monitors the performance of networks in Azure?","Azure Automation","Azure Monitor","Network Watcher","App Insights","C","Azure Network Watcher provides tools to monitor and diagnose network conditions."
"Which Azure service allows remote desktop access to VMs?","Azure Firewall","Bastion","NSG","Private Link","B","Azure Bastion provides secure RDP and SSH access to VMs without exposing public IPs."
"What is peering in Azure VNets?","Joining two Azure regions","Linking VNets to allow traffic flow","Disabling subnet access","A key vault feature","B","VNet peering connects two VNets for seamless communication."
"Which tool helps visualize traffic flows in Azure?","Azure DNS","Network Watcher - NSG Flow Logs","Azure App Gateway","Azure DevOps","B","NSG Flow Logs help analyze traffic flow and troubleshoot network issues."
