"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is the main responsibility of a Scrum Master?","Write user stories","Manage the product roadmap","Remove impediments and facilitate Scrum events","Approve budget and schedules","C","The Scrum Master serves the team by facilitating Scrum practices and removing obstacles."
"In Scrum, how long is a typical sprint?","1 day","1–4 weeks","3 months","Until project completion","B","A Scrum sprint usually lasts between one and four weeks and is time-boxed."
"Which artifact represents the work to be completed in a sprint?","Product Backlog","Sprint Backlog","Burndown Chart","Definition of Done","B","The Sprint Backlog contains the tasks that the team commits to completing during the sprint."
"What is a key principle of Kanban?","Time-boxed iterations","Work in progress (WIP) limits","Daily stand-ups","Sprint reviews","B","Kanban emphasizes limiting work in progress to improve flow and reduce bottlenecks."
"What does XP stand for in Agile methodology?","Extreme Planning","Extended Performance","Extreme Programming","Execution Protocol","C","XP stands for Extreme Programming, an Agile method focusing on engineering best practices like TDD and pair programming."
"What is the goal of the Daily Scrum?","Discuss marketing plans","Create user stories","Plan the sprint","Sync team progress and plan the next 24 hours","D","The Daily Scrum allows the team to coordinate and identify blockers for the day."
"Who owns the Product Backlog in Scrum?","Scrum Master","Tester","Product Owner","Project Manager","C","The Product Owner is responsible for maintaining and prioritizing the Product Backlog."
"What does a Burndown Chart visualize?","Deployment status","Code complexity","Remaining work in a sprint","Team's compensation","C","A Burndown Chart shows the amount of remaining work over time during a sprint."
"In Kanban, what does limiting WIP help prevent?","Daily standups","Task switching overhead and bottlenecks","Code duplication","Daily deployment","B","Limiting WIP helps maintain flow and reduce overload on the team."
"Which of these practices is core to XP?","Annual planning","Pair programming","Waterfall testing","Gantt chart usage","B","Pair programming is a foundational XP practice to improve code quality and share knowledge."
"What is the purpose of a Sprint Review?","Retrospect on team happiness","Evaluate team salary","Review completed work with stakeholders","Create Git branches","C","Sprint Reviews involve stakeholders and showcase the completed product increment."
"What defines the end of a sprint?","When all bugs are fixed","When management approves","When the time-box expires","When backlog is empty","C","A sprint ends when the fixed time-box expires, regardless of task completion."
"What is a user story?","Technical document","Deployment plan","Informal description of a software feature","Unit test","C","A user story describes a feature from the end-user perspective, used to define requirements in Agile."
"What is the maximum length of a Scrum sprint as recommended by the Scrum Guide?","2 weeks","4 weeks","6 weeks","8 weeks","B","Scrum Guide recommends that sprints should not be longer than one calendar month."
"What is the term for adjusting work after feedback in Agile?","Burn-in","Adaptation","Regression","Stabilization","B","Adaptation is the act of adjusting direction or work based on feedback in Agile principles."
