QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
Which function is used to open a file in Python?,openfile(),open(),fileopen(),load(),B,The open() function is used to open a file in Python.
What does the 'r' mode signify in open()?,Write mode,Read and Write mode,Read-only mode,Append mode,C,'r' mode opens a file for reading.
"What will open('file.txt', 'w') do if file.txt does not exist?",Throws an error,Reads the file,Creates a new file for writing,Deletes the file,C,"If the file does not exist, it creates a new file in write mode."
What does the 'a' mode do when opening a file?,Appends to the file,Reads the file,Truncates the file,Deletes the file,A,'a' mode opens a file for appending content at the end.
Which method is used to read the entire content of a file?,file.get(),file.input(),file.read(),file.scan(),C,read() reads the entire file content as a string.
How can you read one line from a file?,read(),readline(),read(1),readnext(),B,readline() reads the next line from the file.
Which file mode allows both reading and writing?,'r','w','rw','r+',D,'r+' opens a file for both reading and writing.
What happens if you open a file in 'w' mode that already exists?,Appends to the file,Reads from the file,Truncates the file,Renames the file,C,'w' mode truncates the file if it already exists.
What is the use of the close() method?,Saves the file,Closes the file and releases resources,Deletes the file,Exits the program,B,close() closes the file and releases system resources.
Which keyword is used to automatically close a file?,try,finally,with,end,C,'with' automatically handles file closing using a context manager.
How do you write a list of lines to a file?,file.addlines(),file.insert(),file.writelines(),file.append(),C,writelines() writes a list of strings to a file.
Which method reads a file line by line into a list?,read(),readlist(),readlines(),scanlines(),C,readlines() returns a list where each item is a line from the file.
What is the default mode in the open() function?,'a','r','w','x',B,'r' (read) is the default mode if not specified.
What does the 'x' mode do in file handling?,Reads a file,Appends to a file,"Creates a file, fails if it exists",Deletes a file,C,'x' creates a new file and throws an error if it already exists.
Which module allows you to handle CSV files?,csv,os,sys,file,A,The csv module supports reading and writing CSV files.
Which file method returns True if the file is closed?,isclose(),file.closed,closed(),is_closed(),B,The 'closed' attribute of a file object returns True if the file is closed.
What does file.tell() return?,File name,Line number,Current position of the file pointer,End of file status,C,tell() returns the current position of the file pointer.
How do you move the file pointer to the beginning of the file?,reset(),file.start(),file.rewind(),file.seek(0),D,seek(0) moves the pointer to the beginning of the file.
What happens if you try to read a file after it's closed?,Returns empty string,Raises ValueError,Reads till EOF,Automatically reopens,B,Reading from a closed file raises a ValueError.
Which method writes a single line to a file?,write(),writeline(),appendline(),writeone(),A,write() writes a single string to the file.
What does the 'b' in mode 'rb' or 'wb' stand for?,backup,beginning,binary,base64,C,'b' indicates binary mode for reading or writing non-text files.
Which of the following reads a file line-by-line without loading the whole file?,read(),readlines(),for line in file,linebyline(),C,'for line in file' is memory efficient for reading lines.
What is the result of calling read() after reaching EOF?,Repeats content,Returns None,Returns empty string,Raises error,C,read() returns an empty string when EOF is reached.
Which exception is commonly raised when opening a non-existent file in 'r' mode?,FileError,ReadError,FileNotFoundError,IOError,C,FileNotFoundError occurs when opening a non-existent file in 'r' mode.
Which open() mode allows both binary and write access?,'wb','rb','bw','wb+',D,'wb+' allows both binary and write access.
