QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
Which command is used to start a new container?,docker create,docker start,docker run,docker boot,C,docker run creates and starts a new container in one step.
Which command lists all containers including stopped ones?,docker ps -a,docker list all,docker view,docker inspect,A,docker ps -a lists both running and stopped containers.
What command stops a running Docker container?,docker remove,docker shutdown,docker stop,docker pause,C,docker stop gracefully shuts down a running container.
Which command removes a stopped container?,docker stop,docker ps,docker delete,docker rm,D,docker rm removes a container that is not running.
What command is used to execute a command inside a running container?,docker do,docker exec,docker bash,docker run again,B,docker exec lets you run a command in a running container.
Which command shows logs from a running container?,docker output,docker status,docker logs,docker console,C,docker logs shows the STDOUT and STDERR from a container.
How can you stop all running containers?,docker stop $(docker ps -q),docker shutdown all,docker pause all,docker close,A,This command stops all containers by using command substitution.
What does the -d flag in docker run do?,Deletes container after run,Detaches container to run in background,Debug mode,Duplicates volume,B,The -d flag runs the container in detached (background) mode.
How do you remove all stopped containers at once?,docker rm all,docker rm $(docker ps -a -q),docker clear,docker flush,B,You can use command substitution to delete all containers.
Which flag is used with docker run to run interactively?,#NAME?,#NAME?,#NAME?,#NAME?,C,The '-it' flag is used to run containers interactively with a pseudo-TTY.
What does the '-it' flag do in docker run?,Runs the container silently,Mounts external volumes,Keeps STDIN open and allocates a TTY,Assigns an IP address,C,The '-it' flag makes the container interactive by attaching a terminal session.
Which command builds a Docker image from a Dockerfile?,docker install,docker compile,docker build,docker create,C,docker build creates an image from the instructions in a Dockerfile.
Where is a Dockerfile typically located?,Inside the running container,In a remote GitHub repo,In the project root directory,In Docker settings,C,Dockerfiles are generally placed in the root of the project directory.
What is the default name of the file used to build Docker images?,DockerConfig,docker.setup,Dockerfile,config.yml,C,The default file name recognized by the docker build command is Dockerfile.
Which Docker command is used to list all local images?,docker list images,docker images,docker show,docker view images,B,docker images lists all images stored locally on the machine.
Which file is used to define multi-container applications?,Dockerfile,docker.yaml,docker-compose.yml,multi-docker.yml,C,docker-compose.yml defines and runs multi-container Docker apps.
What command removes a Docker image?,docker rmi,docker delete image,docker rm image,docker stop image,A,docker rmi is used to delete Docker images from the local machine.
What is the purpose of the VOLUME instruction in a Dockerfile?,Change network settings,Expose a port,Mount a persistent storage volume,Tag the image,C,VOLUME creates a mount point with persistent storage in a container.
Which command logs in to a Docker registry?,docker start login,docker login,docker connect,docker auth,B,docker login authenticates a user to a Docker registry.
What is the role of a Docker network?,To assign RAM,To schedule jobs,To enable communication between containers,To store logs,C,Docker networks allow containers to communicate with each other securely.
