"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is the primary purpose of Hadoop?","Web application development","Big data storage and processing","Graphics rendering","Mobile app analytics","B","Hadoop is an open-source framework used for storing and processing large-scale datasets efficiently."
"Which component of Hadoop stores the actual data?","NameNode","MapReduce","DataNode","YARN","C","DataNodes are responsible for storing the actual data blocks in HDFS."
"What is the function of the NameNode in HDFS?","Stores user data","Manages metadata and file system namespace","Executes map tasks","Connects to external APIs","B","NameNode manages metadata and keeps track of the file system hierarchy in HDFS."
"Which of the following is a batch processing system?","Apache Storm","Apache Flink","Hadoop MapReduce","Apache Kafka","C","MapReduce is a batch processing model used in Hadoop for large data sets."
"Which Hadoop component handles resource management?","Pig","Hive","YARN","Sqoop","C","YARN (Yet Another Resource Negotiator) manages cluster resources and job scheduling in Hadoop."
"What type of data does Hadoop primarily handle?","Small structured datasets","Audio data only","Massive volumes of structured and unstructured data","Encrypted traffic","C","Hadoop is designed to handle very large structured and unstructured datasets."
"What is the key feature of HDFS?","Centralized memory model","Relational indexing","Distributed storage across commodity hardware","Fixed schemas","C","HDFS provides distributed data storage across multiple nodes using inexpensive hardware."
"Which language does HiveQL resemble?","Python","Java","SQL","Scala","C","Hive uses HiveQL, a query language similar to SQL, for querying large datasets in Hadoop."
"Which component is responsible for executing the reduce task in Hadoop?","TaskTracker","DataNode","ReduceNode","ReduceTask","D","The ReduceTask processes the output from map tasks and aggregates results."
"What is the default block size in HDFS (Hadoop 2.x)?","32 MB","64 MB","128 MB","512 MB","C","Hadoop 2.x uses 128 MB as the default block size."
"What is a major difference between batch and stream processing?","Batch is real-time, stream is delayed","Batch needs internet access","Stream processes data as it arrives, batch waits for the whole set","Stream only supports audio","C","Stream processing handles data in real time; batch waits until all data is available."
"Which tool is used to move data from relational databases to Hadoop?","HBase","Zookeeper","Sqoop","Spark","C","Sqoop is designed for transferring data between RDBMSs and Hadoop."
"Which Hadoop ecosystem tool is best suited for scripting and data transformation?","Pig","HBase","ZooKeeper","Oozie","A","Pig uses a scripting language called Pig Latin for data transformation tasks."
"What is a typical use case for MapReduce?","Sending email","Real-time monitoring","Batch processing of large log files","Video rendering","C","MapReduce is ideal for processing large volumes of data in batch mode, such as analyzing logs."
"What is the role of the JobTracker in Hadoop 1.x?","Track data replication","Manage memory","Monitor job status and task assignment","Convert files to ORC","C","JobTracker manages the execution of MapReduce jobs across the cluster in Hadoop 1.x."
"What is Apache HBase?","A streaming engine","A NoSQL database on Hadoop","A SQL server","An ETL pipeline tool","B","HBase is a column-oriented NoSQL database that runs on top of HDFS."
"What type of database is Cassandra considered to be?","Column-family NoSQL database","Document database","Key-value store","Relational database","A","Cassandra is a NoSQL database based on the column-family data model."
"Which storage format is columnar and supports compression in Hadoop?","CSV","JSON","Parquet","TXT","C","Parquet is a columnar storage format that provides efficient compression and encoding."
"What does the map function do in MapReduce?","Deletes old files","Splits and transforms input data into key-value pairs","Joins tables","Rewrites HDFS blocks","B","The map function processes input and emits intermediate key-value pairs."
"What is Apache Spark primarily used for?","Single-server analytics","Real-time and batch data processing","Web development","Cloud backups","B","Spark is a powerful engine for large-scale batch and real-time data processing."
"What is the output of the reduce phase in MapReduce?","Metadata","New input splits","Aggregated results based on keys","Scripts","C","The reduce phase processes and aggregates intermediate data by keys."
"What does the term 'data locality' refer to in Hadoop?","Sending data to the cloud","Running computation close to the data","Transferring logs to a data center","Filtering JSON objects","B","Data locality means running computation where data resides to reduce network usage."
"Which big data processing framework supports micro-batching?","MapReduce","Apache Storm","Apache Spark Streaming","HDFS","C","Spark Streaming supports micro-batching for near-real-time data processing."
"Which of the following is an example of unstructured data?","CSV table","Excel spreadsheet","Log files","SQL database","C","Log files typically contain unstructured or semi-structured data."
"What is Apache Flink used for?","Data ingestion","Long-term storage","Low-latency stream processing","Managing Hadoop nodes","C","Apache Flink is used for high-throughput, low-latency stream processing."
"Which open-source software is used to coordinate distributed services in Hadoop?","Spark","Hive","ZooKeeper","Storm","C","ZooKeeper is used to coordinate distributed applications like Hadoop services."
"What is the name of Hadoop’s file system?","ExtFS","GFS","HDFS","HBase","C","HDFS stands for Hadoop Distributed File System."
"What is the main purpose of data replication in HDFS?","Reduce memory usage","Improve search speed","Ensure data fault tolerance and availability","Save disk space","C","Replication ensures that data remains accessible even when some nodes fail."
"Which company originally developed Hadoop?","Google","Microsoft","Yahoo","IBM","C","Hadoop was created by Doug Cutting and Mike Cafarella, and was later supported by Yahoo."
"Which is a popular use case of big data in e-commerce?","Developing games","Packaging products","Recommendation systems","Firewall configuration","C","Big data is commonly used in recommendation engines to improve customer experience in e-commerce."
"What is a NameNode in HDFS?","Stores application logs","Stores raw data","Manages file system namespace and metadata","Schedules MapReduce jobs","C","NameNode keeps track of metadata and directory structure in HDFS."
"Which format is commonly used for exchanging semi-structured data in big data systems?","XLSX","PDF","JSON","JPG","C","JSON is commonly used to exchange semi-structured data between systems."
"Which of the following is NOT a Hadoop ecosystem component?","Hive","Pig","Flume","MySQL","D","MySQL is a relational database, not part of the Hadoop ecosystem."
"Which system allows near real-time processing of streaming data?","MapReduce","Apache Spark Structured Streaming","Sqoop","Hive","B","Spark Structured Streaming processes streaming data with low latency in near real time."
"What does Flume do in Hadoop ecosystem?","Run MapReduce jobs","Schedule jobs","Ingest streaming data into HDFS","Serve HTML pages","C","Flume is used to ingest and transport log and event data into HDFS."
"Which is more suitable for real-time analytics?","Batch processing","Stream processing","Data warehousing","File archiving","B","Stream processing is used when real-time data insights are needed."
"Which command-line tool is used to interact with HDFS?","hadoop fs","hive shell","sqoop import","pig -x","A","'hadoop fs' is the command used to perform file system operations in HDFS."
"What does YARN stand for?","Yet Another Recursive Notation","Yet Another Resource Negotiator","Your Active Resource Node","Yearly Application Runtime Network","B","YARN stands for Yet Another Resource Negotiator, and it manages Hadoop cluster resources."
"What is a data lake?","A structured database","A graphical dashboard","A centralized repository that stores all structured and unstructured data","An archive of system logs","C","A data lake is a centralized storage that can hold all types of data without structure."
"Which type of data does HDFS handle most efficiently?","Large files split into blocks","Very small transactional records","Encrypted files","Compressed zip folders","A","HDFS is designed for large files that are stored as blocks distributed across the cluster."
