QuestionText, OptionA, OptionB, OptionC, OptionD, CorrectAnswer, Explanation
"Which command is used to create a new ASP.NET Core Web API project using the CLI?", "dotnet new mvc", "dotnet new webapi", "dotnet create api", "dotnet api new", "B", "The correct command to scaffold a new ASP.NET Core Web API project is dotnet new webapi."
"In ASP.NET Core Web API, what is the default port when running via Kestrel locally?", "80", "443", "3000", "5000", "D", "By default, Kestrel runs on port 5000 for HTTP and 5001 for HTTPS."
"Which file contains the application’s startup logic in an ASP.NET Core Web API project?", "Program.cs", "appsettings.json", "Startup.cs", "Web.config", "C", "The Startup.cs file is used to configure services and the app's request pipeline."
"What is the default HTTP verb used by [HttpGet] attribute?", "GET", "POST", "PUT", "DELETE", "A", "The [HttpGet] attribute handles HTTP GET requests by default."
"Which method in Startup.cs is used to add services to the dependency injection container?", "ConfigureApp()", "ConfigureServices()", "Main()", "UseServices()", "B", "ConfigureServices() is used to register services to the DI container in ASP.NET Core."
"What is the main purpose of a controller in ASP.NET Core Web API?", "To store views", "To design the UI", "To handle HTTP requests and responses", "To connect directly to the database", "C", "Controllers process incoming HTTP requests and generate appropriate responses in Web APIs."
"Which attribute is used to define a route for an API controller method?", "[Route]", "[Path]", "[Http]", "[Map]", "A", "The [Route] attribute is used to define routing templates for controller actions."
"Which method in Startup.cs configures the HTTP request pipeline?", "Main()", "Configure()", "Build()", "Init()", "B", "Configure() is used to define how the app will respond to HTTP requests by setting up middleware components."
"What is the return type of most controller methods in Web API?", "Task", "ViewResult", "IActionResult", "IResponse", "C", "Most Web API methods return IActionResult to support a variety of HTTP responses."
"What is dependency injection (DI) in ASP.NET Core?", "A logging mechanism", "A way to inject objects at runtime", "A way to create HTML views", "A file upload technique", "B", "Dependency Injection is used to provide objects that an object depends on (its dependencies)."
Which middleware is used to enable routing in ASP.NET Core?,UseEndpoints(),UseRouting(),Both a and b,UseStaticFiles(),C,"Both UseRouting() and UseEndpoints() are required to fully configure routing in ASP.NET Core."
How do you enable CORS (Cross-Origin Resource Sharing) in ASP.NET Core?,By editing web.config,By modifying controller attributes,By using services.AddCors() and app.UseCors(),CORS is enabled by default,C,"To enable CORS, use services.AddCors() in ConfigureServices and app.UseCors() in Configure."
Which JSON serializer is used by default in ASP.NET Core 3.0+ Web API?,Newtonsoft.Json,System.Text.Json,JSON.NET,JavaScriptSerializer,B,"ASP.NET Core 3.0 and later use System.Text.Json as the default JSON serializer."
How do you test a Web API endpoint locally?,Use the console,Open it in File Explorer,Use Postman or Swagger,Test it in Word,C,"Tools like Postman and Swagger are commonly used to test Web API endpoints locally."
What does [ApiController] attribute do in ASP.NET Core?,Turns off API routing,Enables automatic model validation and response formatting,Converts controller to MVC,Enables Razor Pages,B,"The [ApiController] attribute enables features like automatic model validation and consistent response formatting."
Which file is typically used to store configuration values like connection strings?,launchSettings.json,appsettings.json,Startup.cs,Program.cs,B,"Connection strings and other configurations are typically stored in appsettings.json."
Which method is used to start the Web API app in .NET 6+ minimal hosting model?,Build(),Create(),WebApplication.CreateBuilder(args),StartApp(),C,"The WebApplication.CreateBuilder(args) method initializes the app in the .NET 6+ minimal hosting model."
How can you secure a Web API endpoint?,Use [AllowAnonymous],Use [Authorize] attribute,Use [HttpSecure],Disable routing,B,"Use the [Authorize] attribute to restrict access to authenticated users only."
Which NuGet package is commonly used for Swagger/OpenAPI integration in Web API?,Microsoft.OpenApi,Swashbuckle.AspNetCore,Swagger.Json,Microsoft.AspNetCore.Swagger,B,"Swashbuckle.AspNetCore is the most commonly used NuGet package to integrate Swagger UI in Web API projects."
Which tool helps visualize and interact with Web API endpoints during development?,Visual Studio Code,IIS Express,Git Bash,Swagger UI,D,"Swagger UI offers an interactive interface to test and visualize Web API endpoints."
