"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is the primary purpose of Azure DevOps?","Manage virtual machines","Host databases for analytics","Provide development lifecycle tools like repos, CI/CD, and boards","Manage billing and subscription usage","C","Azure DevOps is a suite of services for software development including code repositories, build pipelines, releases, and work tracking."
"Which Azure DevOps service is used for tracking tasks, user stories, and bugs?","Azure Pipelines","Azure Boards","Azure Repos","Azure Artifacts","B","Azure Boards provides work item tracking and agile tools like backlogs, Kanban boards, and sprint planning."
"What type of file is typically used to define build steps in a YAML pipeline?","build.xml","build.json","azure-pipelines.yml","pipeline.config","C","In Azure Pipelines, YAML-based pipelines are defined in a file named azure-pipelines.yml by convention."
"Which Azure DevOps service provides source control capabilities?","Azure Boards","Azure Pipelines","Azure Test Plans","Azure Repos","D","Azure Repos provides Git-based and TFVC-based source control systems for managing code and collaboration."
"What is the purpose of Azure Pipelines?","Store test results","Manage users and roles","Automate builds and deployments using CI/CD","Secure cloud networks","C","Azure Pipelines is used to implement continuous integration and continuous deployment (CI/CD) processes."
"What is the primary purpose of Azure DevOps? (Scenario 1)","Manage virtual machines","Host databases for analytics","Provide development lifecycle tools like repos, CI/CD, and boards","Manage billing and subscription usage","C","Azure DevOps is a suite of services for software development including code repositories, build pipelines, releases, and work tracking."
"Which Azure DevOps service is used for tracking tasks, user stories, and bugs? (Scenario 1)","Azure Pipelines","Azure Boards","Azure Repos","Azure Artifacts","B","Azure Boards provides work item tracking and agile tools like backlogs, Kanban boards, and sprint planning."
"What type of file is typically used to define build steps in a YAML pipeline? (Scenario 1)","build.xml","build.json","azure-pipelines.yml","pipeline.config","C","In Azure Pipelines, YAML-based pipelines are defined in a file named azure-pipelines.yml by convention."
"Which Azure DevOps service provides source control capabilities? (Scenario 1)","Azure Boards","Azure Pipelines","Azure Test Plans","Azure Repos","D","Azure Repos provides Git-based and TFVC-based source control systems for managing code and collaboration."
"What is the purpose of Azure Pipelines? (Scenario 1)","Store test results","Manage users and roles","Automate builds and deployments using CI/CD","Secure cloud networks","C","Azure Pipelines is used to implement continuous integration and continuous deployment (CI/CD) processes."
"What is the primary purpose of Azure DevOps? (Scenario 2)","Manage virtual machines","Host databases for analytics","Provide development lifecycle tools like repos, CI/CD, and boards","Manage billing and subscription usage","C","Azure DevOps is a suite of services for software development including code repositories, build pipelines, releases, and work tracking."
"Which Azure DevOps service is used for tracking tasks, user stories, and bugs? (Scenario 2)","Azure Pipelines","Azure Boards","Azure Repos","Azure Artifacts","B","Azure Boards provides work item tracking and agile tools like backlogs, Kanban boards, and sprint planning."
"What type of file is typically used to define build steps in a YAML pipeline? (Scenario 2)","build.xml","build.json","azure-pipelines.yml","pipeline.config","C","In Azure Pipelines, YAML-based pipelines are defined in a file named azure-pipelines.yml by convention."
"Which Azure DevOps service provides source control capabilities? (Scenario 2)","Azure Boards","Azure Pipelines","Azure Test Plans","Azure Repos","D","Azure Repos provides Git-based and TFVC-based source control systems for managing code and collaboration."
"What is the purpose of Azure Pipelines? (Scenario 2)","Store test results","Manage users and roles","Automate builds and deployments using CI/CD","Secure cloud networks","C","Azure Pipelines is used to implement continuous integration and continuous deployment (CI/CD) processes."
"What is the primary purpose of Azure DevOps? (Scenario 3)","Manage virtual machines","Host databases for analytics","Provide development lifecycle tools like repos, CI/CD, and boards","Manage billing and subscription usage","C","Azure DevOps is a suite of services for software development including code repositories, build pipelines, releases, and work tracking."
"Which Azure DevOps service is used for tracking tasks, user stories, and bugs? (Scenario 3)","Azure Pipelines","Azure Boards","Azure Repos","Azure Artifacts","B","Azure Boards provides work item tracking and agile tools like backlogs, Kanban boards, and sprint planning."
"What type of file is typically used to define build steps in a YAML pipeline? (Scenario 3)","build.xml","build.json","azure-pipelines.yml","pipeline.config","C","In Azure Pipelines, YAML-based pipelines are defined in a file named azure-pipelines.yml by convention."
"Which Azure DevOps service provides source control capabilities? (Scenario 3)","Azure Boards","Azure Pipelines","Azure Test Plans","Azure Repos","D","Azure Repos provides Git-based and TFVC-based source control systems for managing code and collaboration."
"What is the purpose of Azure Pipelines? (Scenario 3)","Store test results","Manage users and roles","Automate builds and deployments using CI/CD","Secure cloud networks","C","Azure Pipelines is used to implement continuous integration and continuous deployment (CI/CD) processes."
"What is the primary purpose of Azure DevOps? (Scenario 4)","Manage virtual machines","Host databases for analytics","Provide development lifecycle tools like repos, CI/CD, and boards","Manage billing and subscription usage","C","Azure DevOps is a suite of services for software development including code repositories, build pipelines, releases, and work tracking."
"Which Azure DevOps service is used for tracking tasks, user stories, and bugs? (Scenario 4)","Azure Pipelines","Azure Boards","Azure Repos","Azure Artifacts","B","Azure Boards provides work item tracking and agile tools like backlogs, Kanban boards, and sprint planning."
"What type of file is typically used to define build steps in a YAML pipeline? (Scenario 4)","build.xml","build.json","azure-pipelines.yml","pipeline.config","C","In Azure Pipelines, YAML-based pipelines are defined in a file named azure-pipelines.yml by convention."
"Which Azure DevOps service provides source control capabilities? (Scenario 4)","Azure Boards","Azure Pipelines","Azure Test Plans","Azure Repos","D","Azure Repos provides Git-based and TFVC-based source control systems for managing code and collaboration."
"What is the purpose of Azure Pipelines? (Scenario 4)","Store test results","Manage users and roles","Automate builds and deployments using CI/CD","Secure cloud networks","C","Azure Pipelines is used to implement continuous integration and continuous deployment (CI/CD) processes."
"What is the primary purpose of Azure DevOps? (Scenario 5)","Manage virtual machines","Host databases for analytics","Provide development lifecycle tools like repos, CI/CD, and boards","Manage billing and subscription usage","C","Azure DevOps is a suite of services for software development including code repositories, build pipelines, releases, and work tracking."
"Which Azure DevOps service is used for tracking tasks, user stories, and bugs? (Scenario 5)","Azure Pipelines","Azure Boards","Azure Repos","Azure Artifacts","B","Azure Boards provides work item tracking and agile tools like backlogs, Kanban boards, and sprint planning."
"What type of file is typically used to define build steps in a YAML pipeline? (Scenario 5)","build.xml","build.json","azure-pipelines.yml","pipeline.config","C","In Azure Pipelines, YAML-based pipelines are defined in a file named azure-pipelines.yml by convention."
"Which Azure DevOps service provides source control capabilities? (Scenario 5)","Azure Boards","Azure Pipelines","Azure Test Plans","Azure Repos","D","Azure Repos provides Git-based and TFVC-based source control systems for managing code and collaboration."
"What is the purpose of Azure Pipelines? (Scenario 5)","Store test results","Manage users and roles","Automate builds and deployments using CI/CD","Secure cloud networks","C","Azure Pipelines is used to implement continuous integration and continuous deployment (CI/CD) processes."
"What is the primary purpose of Azure DevOps? (Scenario 6)","Manage virtual machines","Host databases for analytics","Provide development lifecycle tools like repos, CI/CD, and boards","Manage billing and subscription usage","C","Azure DevOps is a suite of services for software development including code repositories, build pipelines, releases, and work tracking."
"Which Azure DevOps service is used for tracking tasks, user stories, and bugs? (Scenario 6)","Azure Pipelines","Azure Boards","Azure Repos","Azure Artifacts","B","Azure Boards provides work item tracking and agile tools like backlogs, Kanban boards, and sprint planning."
"What type of file is typically used to define build steps in a YAML pipeline? (Scenario 6)","build.xml","build.json","azure-pipelines.yml","pipeline.config","C","In Azure Pipelines, YAML-based pipelines are defined in a file named azure-pipelines.yml by convention."
"Which Azure DevOps service provides source control capabilities? (Scenario 6)","Azure Boards","Azure Pipelines","Azure Test Plans","Azure Repos","D","Azure Repos provides Git-based and TFVC-based source control systems for managing code and collaboration."
"What is the purpose of Azure Pipelines? (Scenario 6)","Store test results","Manage users and roles","Automate builds and deployments using CI/CD","Secure cloud networks","C","Azure Pipelines is used to implement continuous integration and continuous deployment (CI/CD) processes."
"What is the primary purpose of Azure DevOps? (Scenario 7)","Manage virtual machines","Host databases for analytics","Provide development lifecycle tools like repos, CI/CD, and boards","Manage billing and subscription usage","C","Azure DevOps is a suite of services for software development including code repositories, build pipelines, releases, and work tracking."
"Which Azure DevOps service is used for tracking tasks, user stories, and bugs? (Scenario 7)","Azure Pipelines","Azure Boards","Azure Repos","Azure Artifacts","B","Azure Boards provides work item tracking and agile tools like backlogs, Kanban boards, and sprint planning."
"What type of file is typically used to define build steps in a YAML pipeline? (Scenario 7)","build.xml","build.json","azure-pipelines.yml","pipeline.config","C","In Azure Pipelines, YAML-based pipelines are defined in a file named azure-pipelines.yml by convention."
"Which Azure DevOps service provides source control capabilities? (Scenario 7)","Azure Boards","Azure Pipelines","Azure Test Plans","Azure Repos","D","Azure Repos provides Git-based and TFVC-based source control systems for managing code and collaboration."
"What is the purpose of Azure Pipelines? (Scenario 7)","Store test results","Manage users and roles","Automate builds and deployments using CI/CD","Secure cloud networks","C","Azure Pipelines is used to implement continuous integration and continuous deployment (CI/CD) processes."
"What is the primary purpose of Azure DevOps? (Scenario 8)","Manage virtual machines","Host databases for analytics","Provide development lifecycle tools like repos, CI/CD, and boards","Manage billing and subscription usage","C","Azure DevOps is a suite of services for software development including code repositories, build pipelines, releases, and work tracking."
"Which Azure DevOps service is used for tracking tasks, user stories, and bugs? (Scenario 8)","Azure Pipelines","Azure Boards","Azure Repos","Azure Artifacts","B","Azure Boards provides work item tracking and agile tools like backlogs, Kanban boards, and sprint planning."
"What type of file is typically used to define build steps in a YAML pipeline? (Scenario 8)","build.xml","build.json","azure-pipelines.yml","pipeline.config","C","In Azure Pipelines, YAML-based pipelines are defined in a file named azure-pipelines.yml by convention."
"Which Azure DevOps service provides source control capabilities? (Scenario 8)","Azure Boards","Azure Pipelines","Azure Test Plans","Azure Repos","D","Azure Repos provides Git-based and TFVC-based source control systems for managing code and collaboration."
"What is the purpose of Azure Pipelines? (Scenario 8)","Store test results","Manage users and roles","Automate builds and deployments using CI/CD","Secure cloud networks","C","Azure Pipelines is used to implement continuous integration and continuous deployment (CI/CD) processes."
"What is the primary purpose of Azure DevOps? (Scenario 9)","Manage virtual machines","Host databases for analytics","Provide development lifecycle tools like repos, CI/CD, and boards","Manage billing and subscription usage","C","Azure DevOps is a suite of services for software development including code repositories, build pipelines, releases, and work tracking."
"Which Azure DevOps service is used for tracking tasks, user stories, and bugs? (Scenario 9)","Azure Pipelines","Azure Boards","Azure Repos","Azure Artifacts","B","Azure Boards provides work item tracking and agile tools like backlogs, Kanban boards, and sprint planning."
"What type of file is typically used to define build steps in a YAML pipeline? (Scenario 9)","build.xml","build.json","azure-pipelines.yml","pipeline.config","C","In Azure Pipelines, YAML-based pipelines are defined in a file named azure-pipelines.yml by convention."
"Which Azure DevOps service provides source control capabilities? (Scenario 9)","Azure Boards","Azure Pipelines","Azure Test Plans","Azure Repos","D","Azure Repos provides Git-based and TFVC-based source control systems for managing code and collaboration."
"What is the purpose of Azure Pipelines? (Scenario 9)","Store test results","Manage users and roles","Automate builds and deployments using CI/CD","Secure cloud networks","C","Azure Pipelines is used to implement continuous integration and continuous deployment (CI/CD) processes."
