"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What does IaC stand for?","Internet as Code","Infrastructure as Code","Instance as Code","Instance and Configuration","B","IaC stands for Infrastructure as Code, which automates infrastructure setup using code."
"Which language is commonly used with Terraform?","Python","JavaScript","HCL","Ruby","C","HCL (HashiCorp Configuration Language) is used to write Terraform scripts."
"What is the benefit of using Infrastructure as Code?","Manual configuration","Better spreadsheets","Automated and consistent deployments","Longer deployment time","C","IaC provides automation and consistency for infrastructure deployment."
"What is a declarative approach in IaC?","Coding based on user input","Defining end state without specifying steps","Writing dynamic scripts","Monitoring live logs","B","A declarative approach defines the desired state, and the system handles how to reach it."
"Which of these is a declarative IaC tool?","Ansible","Chef","Terraform","Puppet","C","Terraform is a declarative tool that describes the infrastructure in code."
"What is the purpose of 'terraform init'?","To destroy the infrastructure","To initialize a new configuration","To upload data","To close a session","B","'terraform init' initializes a Terraform working directory with necessary plugins."
"What does 'terraform plan' do?","Apply changes","Validate code","Show the execution plan","Delete the workspace","C","'terraform plan' shows what actions Terraform will take without applying them."
"What does 'terraform apply' do?","Simulates the plan","Executes and deploys the plan","Reverts changes","Formats the code","B","'terraform apply' applies the configuration to create/update resources."
"What is idempotency in IaC?","Repeated executions cause unpredictable changes","Manual steps are required","Repeated executions have the same result","Every run creates a new resource","C","Idempotency means that running the same code multiple times has the same effect."
"Where are Terraform state files typically stored?","In Azure Repos","In .gitignore","Locally or in remote backends","In Terraform Cloud only","C","Terraform state files track deployed resources and can be stored locally or remotely."
"Which service manages resources in Azure using JSON?","Terraform","Bicep","ARM Templates","Chef","C","Azure Resource Manager (ARM) templates use JSON to define resources declaratively."
"Which IaC tool uses YAML format?","Terraform","Puppet","Bicep","Ansible","D","Ansible uses YAML for configuration and automation."
"Which tool is best known for cloud-agnostic infrastructure provisioning?","ARM Templates","CloudFormation","Terraform","Azure Blueprints","C","Terraform supports multiple cloud providers with the same syntax."
"What does 'terraform destroy' do?","Deletes the Terraform CLI","Destroys all managed infrastructure","Reboots the resources","Uploads a config","B","'terraform destroy' removes all infrastructure defined in the Terraform code."
"What are modules in Terraform?","Reusable chunks of configuration","Terraform environments","State file versions","Backend containers","A","Modules are reusable blocks of Terraform configuration code."
"What is the purpose of providers in Terraform?","To deploy front-end apps","To monitor network traffic","To define resources for a specific platform","To debug errors","C","Providers allow Terraform to manage resources for a specific cloud or platform."
"What is a resource block in Terraform?","A network policy","A condition for errors","Defines an infrastructure component","A variable configuration","C","A resource block is used to define a component like VM, storage, etc."
"What is a variable in Terraform?","A static configuration","A dynamic parameter","A remote backend","A resource instance","B","Variables are used to customize and pass values to modules or configurations."
"Which command validates Terraform code syntax?","terraform validate","terraform apply","terraform test","terraform syntax","A","'terraform validate' checks the configuration files for syntax correctness."
"Which command formats Terraform code?","terraform align","terraform fmt","terraform format","terraform structure","B","'terraform fmt' formats Terraform files into the standard style."
