QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
What is Docker Compose used for?,Managing networks,Building Docker images,Defining and running multi-container applications,Scaling physical servers,C,Docker Compose is used to manage multi-container applications using a YAML file.
What is the default name of the Docker Compose file?,compose.yml,docker-compose.yaml,docker-compose.json,docker-run.yml,B,The default Compose file is named docker-compose.yaml or docker-compose.yml.
Which command starts containers defined in docker-compose.yml?,docker compose run,docker-compose start,docker-compose up,docker compose push,C,docker-compose up creates and starts containers as defined in the compose file.
Which section in docker-compose.yml specifies container image?,build,image,container,exec,B,The 'image' section defines the image to use for the container.
What does the 'build' key do in Docker Compose?,Runs a build command inside the container,Specifies a build context and Dockerfile,Creates volumes,Runs an entrypoint script,B,The build key is used to define how an image should be built using Dockerfile.
How do you stop and remove all containers created by docker-compose?,docker-compose down,docker-compose reset,docker-compose kill,docker-compose stop,A,"docker-compose down stops and removes containers, networks, and volumes."
How are environment variables defined in Compose files?,With config.json,In the environment section,Only in shell,Using .yml prefix,B,Environment variables can be specified in the 'environment' section of a service.
Which command lists all Compose projects running?,docker ps,docker-compose list,docker-compose ps,docker-compose run --status,C,docker-compose ps lists the status of containers in a Compose project.
Can you define volumes in Docker Compose?,"No, only in CLI","Yes, under the volumes section",Only with root access,Only on Windows,B,Volumes are defined in Compose using the 'volumes' section.
What does the 'depends_on' directive do?,Builds dependencies,Creates nested networks,Controls startup order of services,Assigns image priorities,C,'depends_on' helps set the order of container start-up in a Compose application.
Which command is used to rebuild images in Docker Compose?,docker-compose reinstall,docker-compose up --rebuild,docker-compose up --build,docker-compose refresh,C,The --build flag ensures images are rebuilt when starting containers.
Where can you define default values for environment variables in Compose?,.env file,Dockerfile,settings.json,entrypoint.sh,A,.env allows storing default environment variable values used in docker-compose.yml.
What is the use of the 'ports' key in Compose?,Stores container logs,Maps host ports to container ports,Encrypts traffic,Assigns DNS,B,The 'ports' key defines port mappings between host and container.
Which command validates the syntax of docker-compose.yml?,docker-compose lint,docker-compose validate,docker-compose check,docker-compose config,D,docker-compose config helps validate and view the config from YAML.
What does docker-compose override file allow?,Manual CLI control,Custom runtime commands,Environment-specific configurations,Secrets management,C,Override files let you customize base configuration per environment.
How do you scale services in Docker Compose?,docker-compose resize,docker-compose scale,docker-compose up --scale,docker-compose grow,C,scale lets you run multiple instances of a service.
Where are service logs viewed in Docker Compose?,docker-compose monitor,docker-compose logs,compose_ui.log,compose_logwatch,B,docker-compose logs shows logs for all or specific services.
What does the 'command' key do in Compose?,Specifies container OS,Defines what command to run in the container,Allocates CPU,Triggers entrypoint,B,'command' overrides the default command defined in the Docker image.
Which option makes Compose restart containers on failure?,restart_policy,restart: always,retry_on_fail,auto_start,B,restart: always or on-failure allows automatic restarts of containers.
What happens if a container in Compose fails to build?,It retries 3 times,It continues with other services,It fails the entire build,It creates an empty image,C,A failed build in any service will cause the whole Compose process to fail.
