QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
What is a Docker image?,A running app,A snapshot of a virtual machine,"A lightweight, standalone, executable package",A networking component,C,A Docker image is a standalone package that includes everything needed to run a piece of software.
How do you build a Docker image from a Dockerfile?,docker start,docker compile,docker build,docker run,C,docker build is used to create an image from a Dockerfile.
Which command pulls an image from Docker Hub?,docker install,docker fetch,docker pull,docker clone,C,docker pull downloads an image from Docker Hub or another registry.
What is a container in Docker?,A type of image,An isolated process created from an image,A folder for scripts,An orchestration engine,B,A container is a running instance of an image providing an isolated environment.
What does the docker tag command do?,Marks containers for deletion,Applies metadata to a volume,Applies a name and version to an image,Lists container logs,C,docker tag is used to tag an image with a specific name and version.
How do you remove a Docker image?,docker rm,docker delete,docker rmi,docker remove,C,docker rmi is used to remove an image from the local Docker host.
What does the docker ps command show by default?,All containers,Docker events,Only running containers,All images,C,docker ps shows only currently running containers by default.
How do you rename a Docker image?,docker rename,docker image rename,docker tag,docker modify,C,docker tag can be used to rename an image by tagging it with a new name.
What is the default registry used by docker pull?,GitHub,Bitbucket,Docker Hub,AWS ECR,C,"If not specified, docker pull pulls from Docker Hub by default."
Which command lists all images on the local machine?,docker ps,docker images,docker ls,docker list,B,docker images shows all locally available Docker images.
What is the difference between a container and an image?,"Containers are templates, images are instances","Images run apps, containers store them","Images are static, containers are running instances",No difference,C,"Images are read-only blueprints; containers are live, runnable instances."
What does 'docker inspect' do?,Launches a container,Returns detailed info on Docker objects,Deletes logs,Exports environment vars,B,docker inspect returns low-level info about Docker images or containers.
Which file defines the build instructions for a Docker image?,build.yml,compose.yml,Dockerfile,imagefile,C,A Dockerfile contains instructions for building a Docker image.
What does the 'docker history' command show?,Image creation timeline,Container logs,Command history,User login data,A,docker history displays layers and commands used to build an image.
What is the benefit of using smaller base images like alpine?,They are slower,Consume more RAM,Reduce image size and attack surface,Disable volumes,C,"Alpine reduces image size, making deployments faster and safer."
What does 'docker save' do?,Creates a backup of a volume,Saves container output,Exports an image as a tar file,Encrypts logs,C,docker save exports an image to a tarball which can be transported or stored.
How do you run a container with a custom name?,docker run --name mycontainer,docker build --name mycontainer,docker image --tag mycontainer,docker ps --rename,A,Use the --name flag with docker run to assign a name to your container.
Which command deletes dangling images?,docker clean,docker image prune,docker delete unused,docker gc,B,docker image prune removes unused (dangling) images to save space.
What is the function of ENTRYPOINT in a Docker image?,Lists all files,Defines the default binary to run,Tags the image,Links volumes,B,ENTRYPOINT defines the default executable for containers from the image.
What is layering in Docker images?,Network layers,Layered memory caching,Stacked file system layers for reusability,Encrypted storage,C,Images use a layered file system where each instruction adds a new layer.
