QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
What does DBFS stand for in Databricks?,Databricks Basic File Server,Databricks Batch File Storage,Databricks File System,Distributed Binary File Store,C,"DBFS stands for Databricks File System, a distributed file system on top of cloud object storage."
What is the default mount path for DBFS in Databricks?,/root/dbfs,/databricks/storage,/mnt,/dbfs,D,Files in DBFS can be accessed from /dbfs in notebooks and jobs.
Which of the following commands is used to list files in DBFS?,%list,dbutils.fs.ls(),printdir(),os.list(),B,The dbutils.fs.ls() command lists contents of a directory in DBFS.
What is a mount in DBFS?,A security token,A container for keys,A mapped connection to external storage,A file compression method,C,Mounts map external storage paths (like Azure Blob) to DBFS paths.
What is the primary purpose of DBFS?,Authentication,Cluster configuration,Storing and accessing data files,Pipeline definition,C,DBFS provides file system storage accessible across clusters and jobs.
Which command removes a file from DBFS?,rm,dbutils.fs.rm(),delete(),fs.remove(),B,Use dbutils.fs.rm('/dbfs/path') to delete files or directories.
Which command can create directories in DBFS?,mkdirs,os.makedirs(),dbutils.fs.mkdirs(),fileutils.dir(),C,dbutils.fs.mkdirs() is used to create new directories in DBFS.
Which external storage can be mounted to DBFS?,Databricks SQL,Azure Blob Storage or ADLS,GitHub,Databricks Notebooks,B,Azure Blob Storage and Azure Data Lake can be mounted to DBFS.
How are files uploaded to DBFS from the UI?,Through Repos,Using Workspace settings,Using the 'Data' tab upload feature,Through Job runs,C,You can upload data via the Data tab in the Databricks workspace UI.
What is the limitation of using /dbfs path in local scripts?,Only works on Windows,Cannot be used outside of notebooks or cluster nodes,It’s case-sensitive,Only usable in classic UI,B,The /dbfs path is accessible only from within Databricks clusters or notebooks.
What is the purpose of the /mnt directory in Databricks?,Stores notebooks,Holds system logs,Used for mounting external storage,Hosts cluster configurations,C,The /mnt directory is commonly used to mount external cloud storage like Azure or AWS.
Which file format is NOT natively supported for reading in DBFS?,CSV,JSON,Parquet,EXE,D,EXE is not a data format supported for reading in DBFS.
What is the recommended way to read a file from DBFS in a notebook?,with open('/mnt/file.txt'),dbutils.read('/dbfs/file.txt'),spark.read.text('/dbfs/file.txt'),os.open('/mnt/file.txt'),C,spark.read.text is the preferred method to read text files using Spark from DBFS.
Which utility allows manipulation of DBFS via notebooks?,os,pandas,dbutils.fs,shutil,C,"dbutils.fs provides commands like ls, rm, cp for working with DBFS."
How can you move a file in DBFS?,dbutils.fs.move(),dbutils.fs.mv(),os.rename(),shutil.mv(),B,dbutils.fs.mv() is used to move or rename files and directories in DBFS.
Which command is used to copy a file in DBFS?,dbutils.fs.cp(),dbutils.fs.copy(),shutil.copy(),os.cp(),A,dbutils.fs.cp() copies files or directories within DBFS.
What permission is required to mount external storage to DBFS?,Viewer,Admin,Can Manage Cluster,Can Attach To Cluster,B,Admin privileges are required to mount external storage in DBFS.
What is the size limit for a single file in DBFS?,10 MB,100 MB,2 GB,"No explicit limit, depends on cloud provider",D,There’s no fixed size limit by Databricks; it depends on the underlying cloud storage.
How can you persist a DataFrame as a file in DBFS?,df.save('/mnt/data'),df.store('/mnt/data'),df.write.save('/mnt/data'),df.push('/mnt/data'),C,DataFrames are saved in DBFS using df.write APIs.
What happens if you try to mount a path that is already mounted?,It creates a duplicate,It throws an error,It replaces the mount,It is ignored silently,B,Trying to remount an existing mount point results in an error.
