QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
What is a cluster in Databricks?,A data table,A group of users,A notebook,A set of computation resources for running notebooks and jobs,D,A cluster is a set of VMs that Databricks uses to run jobs and notebooks.
What are the two main types of clusters in Databricks?,Manual and Automatic,Single-node and Multi-node,Development and Production,Interactive and Job clusters,D,Databricks offers Interactive (for notebooks) and Job (for automated jobs) clusters.
What is an interactive cluster used for?,Managing user roles,Running notebooks interactively,Building mobile apps,Running CI/CD pipelines,B,Interactive clusters support ad-hoc data analysis via notebooks.
What is the benefit of autoscaling in Databricks clusters?,Increased latency,Locks resources for each job,Automatically adjusts the number of workers based on workload,Manual intervention for each job,C,Autoscaling allows the cluster to dynamically scale up or down based on job needs.
What does the auto termination setting in clusters do?,Reboots the notebook,Runs a final script,Terminates the cluster after inactivity to save cost,Deletes the workspace,C,Auto termination shuts down idle clusters to save cost.
Which of the following is a valid cluster mode?,Developer,Standard,Distributed,Multi-tiered,B,Standard mode is one of the common modes used for general-purpose workloads.
What is a cluster pool in Databricks?,A pool of libraries,A pool of idle VMs that reduce cluster start time,A pool of secrets,A pool of notebooks,B,Cluster pools help reduce start times by maintaining idle VMs.
What is the purpose of a driver node?,Coordinates the execution of Spark jobs,Uploads notebooks,Handles UI rendering,Monitors secrets,A,The driver node manages the SparkContext and job execution.
Which library installation mode is supported by clusters?,Email-based installation,Cluster-scoped and workspace-scoped,Notebook install only,Secrets injection,B,Databricks allows both cluster-scoped and workspace-scoped library installations.
What does a cluster's 'init script' do?,Automatically commits code,Launches a web server,Validates notebooks,Runs setup commands during cluster start,D,Init scripts run on cluster startup to customize the environment.
What is the default storage for Databricks clusters?,On-premise HDD,Google Drive,Azure Blob / S3 / DBFS,Hadoop FS,C,"Databricks uses cloud-native storage like DBFS, Azure Blob, or S3."
What happens if a cluster driver node fails?,Nothing,All jobs stop immediately,A new driver is automatically provisioned,The cluster deletes itself,C,Databricks handles failures by restarting or recreating failed nodes automatically.
What is the primary use of job clusters?,Running production or scheduled jobs,Editing notebooks,Continuous development,Managing permissions,A,Job clusters are used for running automated and scheduled jobs.
How can cluster configuration be automated in Databricks?,Using JSON cluster specs via REST API,Direct Excel import,Shell script only,Manual configuration each time,A,Databricks supports automated cluster configuration via JSON specs and REST APIs.
What is a cluster event log used for?,Listing job names,Monitoring cluster lifecycle events,Saving notebooks,Tracking user login,B,"Event logs give insights into cluster creation, scaling, and shutdown."
Which language is not typically used in Databricks clusters?,Scala,R,Python,PHP,D,"Databricks supports Scala, Python, SQL, and R, but not PHP."
Which role has permission to terminate any cluster in the workspace?,Admin,Developer,Reader,Viewer,A,Admin roles have full control over cluster operations.
What is the function of Spark Executors in a Databricks cluster?,Upload libraries,Coordinate notebook UI,Execute tasks and return results,Manage permissions,C,Executors process tasks and return results to the driver.
How does cluster scaling affect performance?,Reduces RAM,Decreases job accuracy,Hides logs,Improves parallelism and job speed,D,Scaling enhances parallelism and reduces execution time.
What feature allows job clusters to start faster in Databricks?,Job prioritization,Cluster Pools,Caching,Reboot delay,B,Cluster Pools maintain idle VMs ready for quick job cluster startup.
