"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is a Resource Group in Azure?","A data encryption tool","A physical server cluster","A container that holds related resources for an Azure solution","A type of virtual machine","C","A Resource Group is a container that holds related resources such as virtual machines, storage accounts, and databases."
"Which Azure service provides scalable cloud storage for unstructured data?","Azure Virtual Network","Azure Storage Account","Azure Kubernetes Service","Azure SQL Database","B","Azure Storage Account provides scalable cloud storage for unstructured data like blobs, files, queues, and tables."
"What is the primary use of Azure Virtual Machines?","Database hosting only","Creating static web pages","Hosting applications and services","Managing subscriptions","C","Azure VMs are used to host applications, run workloads, and provide computing power in the cloud."
"What is Azure Active Directory (Azure AD)?","A storage solution","A billing tool","A cloud-based identity and access management service","A web application firewall","C","Azure AD provides identity and access management capabilities for users, apps, and devices in the cloud."
"Which Azure service allows you to create and manage virtual networks?","Azure Load Balancer","Azure VNet","Azure Key Vault","Azure App Gateway","B","Azure Virtual Network (VNet) lets you create isolated networks in Azure and securely connect to other resources."
"What is the smallest unit of deployment in Azure?","Region","Subscription","Resource","Tenant","C","A resource is the smallest deployable item in Azure such as a VM, database, or NIC."
"What is the purpose of an Azure subscription?","Host storage accounts","Define access for users","Provide a billing boundary for resources","Assign network settings","C","A subscription in Azure acts as a billing container for resources and services."
"Which Azure service allows you to securely store API keys, passwords, and certificates?","Azure Container Registry","Azure Key Vault","Azure Functions","Azure App Config","B","Azure Key Vault stores and manages sensitive information like keys, secrets, and certificates securely."
"What is the role of Azure Load Balancer?","Store blobs","Distribute incoming network traffic","Provision users","Monitor apps","B","Azure Load Balancer distributes network traffic across multiple resources to ensure high availability."
"Which Azure service lets you build and deploy serverless applications?","Azure Web Apps","Azure Logic Apps","Azure Functions","Azure Kubernetes Service","C","Azure Functions allow you to run event-driven code without provisioning infrastructure."
"What is a benefit of using Azure Resource Manager (ARM) templates?","Manual deployment","Slower provisioning","Automated and repeatable infrastructure deployment","Requires Azure CLI only","C","ARM templates enable consistent and repeatable deployment of Azure resources using declarative syntax."
"Which service can help estimate Azure costs?","Azure Advisor","Azure Monitor","Azure Pricing Calculator","Azure DevTest Labs","C","The Azure Pricing Calculator allows you to estimate the cost of using Azure services."
"What is the difference between a region and an availability zone?","Regions are data centers, availability zones are subscriptions","Availability zones are smaller, isolated locations within a region","They are the same","Availability zones are only for US","B","Availability zones are isolated locations within a region that provide high availability and fault tolerance."
"Which Azure identity service supports single sign-on and multifactor authentication?","Azure Key Vault","Azure AD","Azure Blob Storage","Azure Monitor","B","Azure AD supports SSO and MFA for users to securely access cloud resources."
"What is Azure Marketplace used for?","Viewing invoices","Deploying solutions from Microsoft and partners","Running PowerShell scripts","Viewing dashboards","B","Azure Marketplace provides prebuilt solutions, VMs, and apps from Microsoft and third-party vendors."
"What service in Azure monitors metrics, logs, and diagnostics?","Azure Monitor","Azure Blob Storage","Azure Resource Graph","Azure CDN","A","Azure Monitor collects and analyzes telemetry data from resources and applications."
"What does Azure App Service provide?","Virtual desktops","Managed web hosting platform for building web apps","Event storage","Firewall as a service","B","Azure App Service is a managed platform for building and hosting web apps and APIs."
"What is Azure CLI?","A web app","A GUI portal","A command-line tool to manage Azure resources","A networking service","C","Azure CLI is a cross-platform command-line tool to interact with Azure services."
"Which Azure tool provides cost-saving recommendations?","Azure DevOps","Azure Security Center","Azure Advisor","Azure AD Connect","C","Azure Advisor analyzes resource usage and gives best-practice recommendations for performance, security, and cost."
"What does Azure DNS do?","Manages security groups","Stores documents","Hosts DNS domains and resolves names","Encrypts traffic","C","Azure DNS hosts and resolves domain names in Azure."
"How is Azure billed?","Monthly only","Hourly only","Pay-as-you-go model","Annual subscription only","C","Azure follows a pay-as-you-go model where you pay for what you use."
"What is the Azure service used to create private network connections between on-premises and Azure?","Azure VPN Gateway","Azure App Gateway","Azure ExpressRoute","Azure Traffic Manager","C","Azure ExpressRoute establishes private, high-speed connections between Azure and your on-premises infrastructure."
"Which Azure compute service automatically scales based on load?","Azure VM","Azure App Service","Azure Functions","Azure Container Instances","B","Azure App Service can scale horizontally based on load and traffic patterns."
"What is a tenant in Azure?","A web app","A subscription ID","A dedicated instance of Azure AD","A container image","C","A tenant is a dedicated instance of Azure AD that represents your organization."
"What is the purpose of Network Security Groups (NSGs) in Azure?","Create VMs","Allow login authentication","Filter traffic to and from Azure resources","Monitor logs","C","NSGs control inbound and outbound traffic to resources based on security rules."
"What Azure service allows automated deployment of code and infrastructure?","Azure Automation","Azure Scheduler","Azure DevOps","Azure Data Lake","C","Azure DevOps provides tools for CI/CD pipelines, repositories, and automated deployments."
"What is a virtual machine scale set (VMSS)?","A set of billing reports","A method for backup","A group of VMs that automatically scale to meet demand","A network policy","C","VMSS allows deployment of identical VMs that scale in or out based on load."
"What is Azure Blob Storage best used for?","Storing relational data","Hosting VMs","Storing unstructured data like images and files","Logging events","C","Blob Storage is optimized for storing massive amounts of unstructured data."
"What service integrates on-prem Active Directory with Azure AD?","Azure Key Vault","Azure AD Connect","Azure DNS","Azure Traffic Manager","B","Azure AD Connect synchronizes on-premises directories with Azure AD."
"What is the role of Azure Resource Locks?","Prevent admin login","Prevent accidental modification or deletion of resources","Speed up deployment","Resize VM storage","B","Locks restrict modifications or deletions of critical Azure resources."
"Which Azure tool helps you manage multiple subscriptions and resource groups in a hierarchy?","Azure Blueprints","Management Groups","Azure AD Connect","Azure App Insights","B","Management Groups help you organize and apply policies to multiple subscriptions."
"What is Azure Bicep?","A data analytics tool","A billing calculator","A domain-specific language for deploying resources in Azure","A pricing model","C","Bicep is an ARM template language for declarative resource provisioning."
"Which Azure service supports hosting containerized applications?","Azure Data Factory","Azure Container Instances","Azure Monitor","Azure DNS","B","ACI allows you to run Docker containers without managing servers."
"What is a benefit of Azure Availability Zones?","Enable internet access","Reduce subscription cost","Protect against data center failures","Speed up ARM templates","C","Availability Zones improve resiliency by isolating resources within a region."
"What is Azure Site Recovery used for?","Scaling apps","Managing keys","Disaster recovery and replication","Web hosting","C","Site Recovery replicates workloads to ensure business continuity during failures."
"What is the function of Azure Policy?","Monitor storage costs","Automate billing","Enforce governance rules across Azure resources","Log user events","C","Azure Policy ensures resources are deployed and maintained in compliance with your organization's rules."
"What type of storage is best for frequently accessed data in Azure Blob Storage?","Archive Tier","Cool Tier","Premium SSD","Hot Tier","D","Hot Tier is optimized for data that is accessed frequently."
