"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What does CI/CD stand for?","Cloud Integration / Code Deployment","Continuous Integration / Continuous Deployment","Code Injection / Continuous Debugging","Code Integration / Central Delivery","B","CI/CD stands for Continuous Integration and Continuous Deployment, used for automating the software release process."
"What is Azure DevOps used for in CI/CD?","Hosting virtual machines","Designing websites","Source control, pipelines, and deployments","Monitoring resources","C","Azure DevOps provides tools for managing code repositories, build pipelines, and application deployments."
"What is a build pipeline?","A security mechanism","A series of automated steps for compiling and testing code","A user role","A branch naming convention","B","Build pipelines automate compilation, testing, and validation before deployment."
"Which service in Azure DevOps handles CI/CD?","Boards","Repos","Pipelines","Artifacts","C","Azure Pipelines is the service responsible for build and release pipelines."
"What is a YAML pipeline?","Manual task execution","A container script","A pipeline defined using a YAML configuration file","A Docker template","C","YAML pipelines are text-based definitions of CI/CD workflows written in YAML format."
"What does 'trigger' mean in a pipeline?","A condition that stops the pipeline","An error log","An event that starts the pipeline","A Git conflict","C","A trigger is an event such as a code push that initiates a pipeline run."
"What is the function of the 'stages' section in a pipeline?","To define variable scopes","To set the deployment region","To break CI/CD into logical segments like build, test, and deploy","To configure Git access","C","Stages help organize and structure pipeline execution into phases."
"What is an 'agent' in Azure Pipelines?","A team lead","A monitoring tool","A machine that runs the job defined in the pipeline","A deployment strategy","C","An agent is a VM or container that executes the steps in your pipeline."
"Which of the following is used for version control in Azure DevOps?","Artifacts","Boards","Repos","Tasks","C","Azure Repos provides Git-based or TFVC-based version control for code repositories."
"What does 'release pipeline' refer to?","Email notifications","Testing strategy","Automated deployment process","Git commit history","C","Release pipelines define how applications are deployed to test, staging, and production environments."
"What is the use of approvals in release pipelines?","To run unit tests","To manage billing","To pause deployment until authorized","To log out of DevOps","C","Approvals enforce manual checks before progressing to the next stage of deployment."
"What does 'environment' mean in a pipeline context?","A local folder","A DevOps user","A group of target machines or services","A syntax error","C","Environments represent where the app is deployed, such as dev, test, or prod environments."
"Which command-line tool can interact with Azure DevOps?","Azure CLI","GitHub CLI","PowerShell","Azure DevOps CLI (az devops)","D","Azure DevOps CLI (az devops) allows management of pipelines and artifacts from the terminal."
"How can a pipeline be triggered automatically in YAML?","By emailing the pipeline","Using the trigger keyword with branches","Calling Git APIs","Using Azure Functions","B","The 'trigger' keyword in YAML enables pipeline execution on branch changes."
"What is a task in a pipeline?","A manual process","A DevOps permission setting","A single step like build, test, or publish","A Git submodule","C","Tasks are discrete units of work in a pipeline, like restoring packages or deploying resources."
"What is the role of 'variables' in a pipeline?","To handle GitHub merge conflicts","To monitor app performance","To parameterize and reuse values","To secure user sessions","C","Variables allow you to store values for reuse across multiple pipeline steps."
"What are self-hosted agents?","Scripts to configure pipelines","Manually triggered pipelines","Agents hosted on your own infrastructure","Docker images provided by Microsoft","C","Self-hosted agents run on your own servers, offering control and customization."
"Which of the following tools integrates easily with Azure Pipelines?","Notepad","Xcode","GitHub","Paint","C","GitHub integrates directly with Azure Pipelines for source control and trigger management."
"What does artifact refer to in Azure DevOps?","A broken test","Pipeline failure message","A compiled output such as a build or package","Environment variable","C","Artifacts are outputs of the build process that can be deployed in release pipelines."
"Which permission is needed to modify a pipeline?","Edit build pipeline","Queue build","Access GitHub","Edit logs","A","The 'Edit build pipeline' permission is required to modify a YAML or Classic pipeline."
