QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
What is .NET Core?,"An open-source, cross-platform framework",A hardware virtualization tool,A proprietary Microsoft-only platform,A Java-based framework,A,".NET Core is a free, open-source, cross-platform framework developed by Microsoft."
Which command initializes a new .NET Core console application?,dotnet console new,dotnet init,dotnet new console,dotnet build,C,The command 'dotnet new console' creates a new console application project.
What file defines dependencies and project settings in a .NET Core project?,Startup.cs,*.csproj,Program.cs,global.json,B,"The .csproj file contains metadata about the project, including dependencies and target framework."
Which runtime supports running .NET Core applications?,Java Virtual Machine,.NET Core runtime,.NET CLR,Mono,B,.NET Core runtime executes applications built with the .NET Core framework.
Which of the following is NOT a valid .NET Core CLI command?,dotnet deploy,dotnet run,dotnet build,dotnet test,A,'dotnet deploy' is not a valid command in the .NET Core CLI toolset.
What is the role of Program.cs in a console project?,It configures database access,It stores settings,It defines the Main method,It initializes routing,C,Program.cs is the entry point and contains the Main method where execution starts.
Which platform is NOT supported by .NET Core?,Linux,Windows,Android (natively),macOS,C,".NET Core supports Windows, Linux, and macOS, but not Android natively (use Xamarin or MAUI)."
Which file contains environment-specific configuration values in .NET Core?,Startup.cs,Program.cs,launchSettings.json,appsettings.json,D,appsettings.json contains configuration like connection strings and app-specific values.
What does the command 'dotnet restore' do?,Builds the project,Installs project dependencies,Deletes previous builds,Runs the project,B,dotnet restore installs NuGet packages and dependencies defined in the project file.
What is the default output folder for build artifacts in .NET Core?,build/,bin/,obj/,/output,B,Build artifacts are placed in the bin/ directory by default.
Which of the following describes .NET SDK?,A package for runtime only,A package to manage SQL,Tools and libraries needed to build .NET apps,An operating system,C,"The .NET SDK includes compilers, CLI tools, and libraries for development."
What is the use of global.json in .NET Core projects?,Manage HTTP headers,Specify the .NET SDK version,Define secrets,Control runtime execution,B,global.json is used to define the SDK version used for building the project.
Which command lists the installed SDKs?,dotnet info,dotnet sdk,dotnet show,dotnet list sdks,D,'dotnet list sdks' displays the installed .NET SDK versions.
Which version introduced unified platform name '.NET 5'?,.NET Core 3.1,.NET Framework 4.8,.NET 5,.NET Core 2.1,C,".NET 5 was introduced as the successor to .NET Core 3.1, unifying the platform."
How can you run a .NET Core project without compiling manually?,dotnet publish,dotnet start,dotnet compile,dotnet run,D,'dotnet run' compiles and executes the project in one step.
Which of the following is used to package and share .NET libraries?,NuGet,Entity Framework,Swagger,Kestrel,A,NuGet is the package manager for .NET that allows sharing and using libraries.
What is the default web server for ASP.NET Core?,IIS,Apache,Tomcat,Kestrel,D,Kestrel is the cross-platform web server used by default in ASP.NET Core applications.
Which file controls the launch configuration in development?,launchSettings.json,web.config,global.json,Program.cs,A,launchSettings.json contains settings for running the app in development environments.
How are environment variables accessed in .NET Core?,System.IO.Env,System.EnvVars,Environment.GetEnvironmentVariable(),ConfigurationManager,C,You can access environment variables using Environment.GetEnvironmentVariable().
Which command creates a new ASP.NET Core Web API project?,dotnet webapi new,dotnet create webapi,dotnet init api,dotnet new webapi,D,'dotnet new webapi' scaffolds a new ASP.NET Core Web API project.
