"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is the primary role of the Integration Runtime (IR) in Azure Data Factory?","To monitor pipeline executions","To store datasets permanently","To execute data flows and perform data movement","To create datasets and linked services","C","Integration Runtime provides the compute infrastructure used by Azure Data Factory to move data between data stores and process data with data flows."
"Which activity in ADF is best suited for executing SQL statements in Azure SQL Database?","Lookup Activity","Stored Procedure Activity","Script Activity","Web Activity","C","The Script Activity is used to run SQL scripts on Azure SQL Database, which can include complex T-SQL statements."
"What is a Linked Service in Azure Data Factory?","A pre-defined pipeline template","A dataset parameter","A connector to external data sources or compute environments","A storage location for temporary data","C","A Linked Service defines the connection information for external data sources or compute services, such as authentication and endpoint URLs."
"Which PowerShell cmdlet is used to create a new Azure Data Factory?","New-AzDataFactoryV2","Create-AzDataFactory","Start-AzDataFactoryPipeline","Deploy-AzDataFactory","A","New-AzDataFactoryV2 is used to create a new Azure Data Factory instance using PowerShell."
"Which type of trigger in Azure Data Factory executes pipelines on a recurring schedule?","Event trigger","Schedule trigger","Manual trigger","Tumbling window trigger","B","Schedule triggers execute pipelines based on a defined recurrence, such as daily or hourly schedules."
"What does a Dataset in Azure Data Factory represent?","A connection string to a data store","A reusable data schema pointing to data stored in a data source","A stored data table inside Data Factory","An activity used to copy data","B","A Dataset in ADF represents a data structure pointing to or referencing data within a data store defined by a Linked Service."
"What happens if a pipeline activity fails in ADF and there is no retry policy set?","The activity retries automatically 3 times","The pipeline stops with failure status","The pipeline is automatically skipped","The activity continues with warning","B","Without a retry policy, if an activity fails, the pipeline will stop and mark the run as failed."
"In ADF UI, where do you define global parameters?","Inside the pipeline settings","Under the 'Manage' tab in 'Global Parameters'","Within datasets only","Global parameters are not supported","B","Global Parameters can be created and managed under the 'Manage' tab, and they are accessible across all pipelines in the factory."
"Which activity is used in ADF to validate if a file exists in a blob container?","Lookup Activity","Get Metadata Activity","Web Activity","Until Activity","B","Get Metadata Activity retrieves information like existence, size, and structure of files or folders, and is suitable for validating file presence."
"What is the use of 'Parameters' in pipelines?","To store logs of executions","To create custom storage accounts","To dynamically control values like file name, table name, etc.","To publish changes to the pipeline","C","Parameters are used to pass dynamic values into pipelines, activities, datasets, and linked services to create reusable and flexible pipelines."
"Which activity in Azure Data Factory allows conditional branching based on expressions?","Switch Activity","Filter Activity","Set Variable Activity","Get Metadata Activity","A","Switch Activity evaluates an expression and branches execution based on its result, similar to switch-case logic in programming."
"Which of the following can be used to orchestrate pipeline execution in response to a file landing in Azure Blob Storage?","Schedule Trigger","Manual Trigger","Event Trigger","Debug Trigger","C","Event Triggers respond to Azure events such as blob creation or deletion, allowing automated pipeline execution."
"What is the purpose of the 'Until' activity in a pipeline?","To execute child activities until a condition evaluates to true","To transform data inside datasets","To wait for data arrival in Azure Blob","To send email notifications","A","The Until activity is a loop that executes contained activities until a specified condition becomes true."
"Which transformation in Data Flows allows for aggregating values by key?","Join","Select","Aggregate","Derived Column","C","Aggregate transformation in Data Flows groups data by specified keys and computes aggregate functions like sum, avg, etc."
"Which PowerShell cmdlet is used to trigger a pipeline run?","Invoke-AzDataFactoryV2Pipeline","Start-AzDataFactoryV2Trigger","Invoke-AzDataFactoryV2PipelineRun","Start-AzDataFactoryPipelineRun","C","Invoke-AzDataFactoryV2PipelineRun starts the execution of a pipeline in Azure Data Factory via PowerShell."
"How are parameters different from variables in ADF pipelines?","Parameters are dynamic, variables are static","Parameters are assigned during execution, variables are set at design time","Parameters are passed in and immutable, variables are mutable within pipeline execution","Parameters can store JSON but variables cannot","C","Parameters are read-only values passed into pipelines, while variables can be changed during pipeline execution."
"What does the Copy Activity in ADF do?","Moves metadata between databases","Performs in-memory transformation of data","Copies data from a source to a sink (destination)","Validates JSON data schema","C","Copy Activity is the core component used to move data from a source dataset to a destination (sink) dataset."
"Which setting in the Copy Activity allows you to specify the number of concurrent copies?","Sink Dataset","Parallel Copies","Staging Options","Retry Policy","B","The Parallel Copies option allows for performance tuning by specifying the number of concurrent threads to use for copying data."
"Which Azure service is typically used in ADF pipelines for orchestrating data transformations using SQL queries?","Azure Key Vault","Azure SQL Database","Azure Synapse Analytics","Azure Event Grid","C","Azure Synapse Analytics is often used for transforming large datasets via SQL queries orchestrated by ADF pipelines."
"Which activity helps you call REST APIs within Azure Data Factory?","Web Activity","Lookup Activity","Execute Pipeline Activity","ForEach Activity","A","Web Activity allows ADF pipelines to make HTTP calls to external or internal REST endpoints as part of pipeline execution."
"What is the role of a Data Flow in Azure Data Factory?","Manage pipeline versions","Control CI/CD deployment","Design and execute scalable data transformation logic","Monitor blob storage events","C","Data Flows in ADF allow visually designed transformation logic which runs on Spark clusters for scalable processing."
"Which activity would you use to repeatedly execute a set of actions for each item in a collection?","If Condition","Until","Switch","ForEach","D","The ForEach activity iterates over an array of items and executes inner activities for each element."
"How does the Lookup Activity function in ADF?","Triggers pipelines remotely","Retrieves single or tabular results from datasets or queries","Encrypts parameter values","Sends alerts on pipeline failure","B","Lookup Activity can be used to return the output from a SQL query or data file and pass it to subsequent activities."
"What does setting 'Auto Resolve Integration Runtime' in a Copy Activity imply?","Copy runs on a self-hosted server","ADF uses a user-specified IR only","ADF selects an appropriate Microsoft-managed IR automatically","ADF triggers another pipeline to determine IR","C","Auto Resolve IR allows ADF to automatically select a Microsoft-hosted IR closest to source/destination."
"Where in ADF UI can you manage Git configuration settings?","Author Tab > Manage Source Control","Manage Tab > Git Configuration","Monitor Tab > Settings","Home Tab > Deployment","B","Git integration is configured under the 'Manage' tab where repository details, branches, and collaboration settings are defined."
"What happens if you publish in ADF without saving changes?","Changes are auto-committed and published","Only saved items are published","All changes are lost","Pipeline execution starts immediately","B","Publishing in ADF applies only to saved changes. Unsaved changes are not deployed to the live Data Factory."
"How can you secure sensitive connection strings in ADF?","Store them in datasets directly","Use expressions to hide values","Store them in Azure Key Vault and reference via linked services","Hide in activity descriptions","C","Storing secrets in Azure Key Vault enhances security and avoids hardcoding sensitive data within ADF configurations."
"Which PowerShell module is needed to manage ADF v2 using scripts?","Az.Storage","AzureRM.DataFactory","Az.DataFactory","Az.KeyVault","C","The 'Az.DataFactory' module provides cmdlets to manage all aspects of Azure Data Factory v2, including pipelines, triggers, and IRs."
"In the Copy Activity, what does the 'Staging' setting enable?","Temporarily stores failed records","Enables use of intermediate Azure Blob/SQL location","Enables retry logic","Supports row-level security","B","Staging helps when source and sink are not directly compatible by using an intermediate storage layer to buffer data."
"Which transformation lets you rename or remove columns in Mapping Data Flows?","Derived Column","Select","Sink","Surrogate Key","B","The Select transformation allows changing column names, selecting or deselecting fields, and altering column order in the flow."
"What is the purpose of 'Debug' mode in Azure Data Factory UI?","Publish the pipeline to production","Run the pipeline with live data","Test pipeline logic without publishing changes","Schedule pipeline execution","C","Debug mode allows you to test and validate pipeline logic with test data or parameters before publishing."
"What feature allows breaking down large copy operations into manageable units?","Partition Option","Retry Policy","Batch Pipeline","Script Activity","A","Partition Options in Copy Activity allow dividing large datasets into smaller partitions for parallel copying."
"What type of Integration Runtime is required to copy data from an on-prem SQL Server to Azure Blob Storage?","Auto Resolve IR","Azure IR","Self-hosted IR","Git IR","C","Self-hosted IR is needed to access on-premises data sources and securely move data to Azure."
"What does 'Sink' refer to in Azure Data Factory terminology?","Temporary storage for data during copy","The destination where the data is written","A source for incoming data","A service that transforms metadata","B","Sink refers to the destination dataset or location where data is written in a Copy Activity."
