QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
What does the acronym CRUD stand for?,Create, Read, Update, Delete,Copy, Remove, Undo, Download,Connect, Run, Upload, Deploy,Code, Reuse, Update, Debug,A,CRUD stands for Create, Read, Update, Delete—basic operations for persistent storage.
Which HTTP verb is typically used for the ‘Create’ operation in a REST API?,GET,POST,PUT,DELETE,B,POST is used to send data to the server to create a new resource.
Which HTTP verb is used to retrieve data from a server?,POST,PUT,GET,DELETE,C,GET is used to retrieve information from the server.
Which method is used to update data in RESTful services?,GET,POST,PUT,FETCH,C,PUT is used for updating resources in REST APIs.
Which HTTP method is used for deleting a resource in a Web API?,REMOVE,GET,POST,DELETE,D,DELETE is the correct method to remove a resource.
What does the 'ModelState.IsValid' check do in ASP.NET Core?,Validates client-side JavaScript,Validates incoming model data,Checks if controller exists,Compiles the Razor views,B,ModelState.IsValid ensures the model passed into the controller meets validation rules.
Which data annotation ensures that a property must be provided?,[Optional],[Length],[Required],[NotNull],C,[Required] ensures that a property has a non-null, non-empty value.
What data annotation is used to specify a valid email address format?,[ValidateEmail],[Email],[EmailAddress],[RegexEmail],C,[EmailAddress] ensures the value conforms to email format.
In a CRUD app, which operation typically displays a form for creating new data?,Read,Create,Update,Delete,B,The 'Create' operation typically displays a form for data entry.
Which of the following is NOT a valid data annotation in ASP.NET Core?,[Range],[StringLength],[MinLength],[StringFormat],D,[StringFormat] is not a valid annotation in ASP.NET Core.
In Entity Framework, what method is used to persist changes to the database?, SaveData(), SaveChanges(), Submit(), ApplyChanges(), B, SaveChanges() is used in Entity Framework to persist changes to the database.
What attribute can you use to customize validation error messages in ASP.NET?, [Error("...")], [ValidationMessage("...")], [Required(ErrorMessage = "...")], [Message], C, You can use ErrorMessage within validation attributes like [Required] to set a custom error message.
Which annotation is used to validate a numeric range?, [Range(min, max)], [Numeric(min, max)], [Length(min, max)], [ValueLimit], A, [Range] ensures a value falls within a specified numeric range.
Which HTTP verb is often used for partial updates of a resource?, PATCH, PUT, POST, UPDATE, A, PATCH is commonly used for partial updates in REST APIs.
Which class is commonly used in ASP.NET Core for server-side model validation?, ModelValidator, DataValidator, ValidationContext, ValidatorEngine, C, ValidationContext provides context information for validating models in ASP.NET Core.
Which attribute specifies that a value must match a regular expression?, [Pattern], [Match], [RegexMatch], [RegularExpression], D, [RegularExpression] is used to validate input against a regex pattern.
What does CRUD operation 'Read' correspond to in SQL?, SELECT, INSERT, DELETE, UPDATE, A, The SQL equivalent of the Read operation is SELECT.
Which of these is a common mistake when performing an 'Update' operation?, Not using a POST method, Not using a valid primary key, Using a form instead of JSON, Including a view, B, A missing or invalid primary key can prevent correct record updates.
What is the main benefit of data validation in web applications?, Faster queries, Cleaner UI, Preventing invalid data entry, Auto-generating HTML, C, Validation helps maintain data integrity by preventing invalid input.
Which of the following is true about [Compare] attribute in ASP.NET?, Compares two models, Compares two controllers, Compares two property values, Compares a value with regex, C, [Compare] is used to ensure two properties in a model have the same value, such as Password and ConfirmPassword.
