QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
What is Git?,A programming language,A text editor,A distributed version control system,A cloud hosting service,C,Git is a distributed version control system used to track changes in source code.
Which command initializes a new Git repository?,git start,git new,git init,git create,C,git init initializes a new local Git repository.
What is the purpose of a Git repository?,To store HTML files only,To track and manage changes to files,To host websites,To secure databases,B,A Git repository tracks versions and history of file changes.
Which Git area stores files before committing?,Working directory,Remote,Staging area,Temp folder,C,The staging area (index) is where changes are added before committing.
What is the Git command to check the current status of a repository?,git check,git diff,git state,git status,D,git status shows the state of the working directory and staging area.
Which of the following is a remote Git hosting service?,Docker,GitHub,BitLocker,Visual Studio,B,GitHub is a remote Git hosting platform.
What is the default branch name in older Git versions?,develop,release,main,master,D,Older Git versions used 'master' as the default branch name.
What is a commit in Git?,An undo operation,A way to delete history,A snapshot of the repository at a given time,A GitHub plugin,C,A commit captures a snapshot of the project’s currently staged changes.
Which command shows the commit history?,git history,git list,git show,git log,D,git log displays the commit history of the current branch.
Which file is used to ignore files in a Git repository?,config.yml,ignore.txt,.gitignore,.config,C,.gitignore tells Git which files/folders to exclude from version control.
Which command adds changes to the staging area in Git?,git insert,git stage,git add,git save,C,git add stages modified files so they can be included in the next commit.
What does 'git clone' do?,Creates a new branch,Copies a repository from a remote to local,Deletes remote repo,Saves Git settings,B,git clone copies an entire repository from a remote source to your local system.
Which command creates a new branch?,git fork,git branch <name>,git create branch,git add branch,B,Use 'git branch <branchname>' to create a new branch locally.
Which Git command uploads local commits to a remote repository?,git upload,git send,git push,git deploy,C,git push transfers your local commits to a remote repository.
What does 'git pull' do?,Deletes old branches,Retrieves changes from remote and merges them,Creates a new local copy,Pushes commits,B,git pull fetches and integrates changes from a remote repository.
Which command compares working directory with the staging area?,git compare,git diff,git check,git inspect,B,git diff shows the difference between working directory and staging area.
What is the function of 'git merge'?,Delete a branch,Create a pull request,Integrate changes from one branch into another,Stage changes,C,git merge integrates changes from one branch into the current branch.
What is the use of 'git remote -v'?,Verifies files,Lists all tags,Shows remote repositories and URLs,Views recent commits,C,git remote -v lists remotes and their fetch/push URLs.
What is a Git tag used for?,Commenting,Logging errors,Marking specific points in history,Ignoring files,C,Tags are used to mark release points or significant commits in Git history.
What is the purpose of 'git config'?,View files,Configure Git settings like username,Restart Git,Update remote,B,git config is used to set Git configuration like user name and email.
