QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
What is the primary purpose of an Azure Storage Account?,To store virtual machines,To store data objects like blobs, files, and queues,To manage Azure subscriptions,"To monitor Azure resources,B,Azure Storage Accounts store various types of data like blobs, tables, queues, and files."
Which of the following is NOT a type of Azure Storage?,Blob Storage,File Storage,Queue Storage,Database Storage,D,Azure Storage does not include Database Storage as a native type.
What is the maximum size of a single blob in Azure Blob Storage?,1 TB,4.75 TB,200 GB,500 GB,B,Azure supports block blobs up to 4.75 TB using chunked uploads.
Which of the following is used to store unstructured data in Azure?,Azure Blob Storage,Azure Table Storage,Azure Queue Storage,Azure File Storage,A,Blob Storage is optimized for storing unstructured data like media files or documents.
What is the default replication strategy for an Azure Storage Account?,Locally Redundant Storage (LRS),Geo-Redundant Storage (GRS),Zone-Redundant Storage (ZRS),Read-Access GRS,A,LRS replicates data three times within a single data center.
Which Azure Storage type is best suited for storing large amounts of text or binary data?,Table Storage,Blob Storage,Queue Storage,File Storage,B,Blob Storage is ideal for large-scale text or binary files.
What is the purpose of Azure Table Storage?,To store structured NoSQL data,To store unstructured binary data,To store messages,To store VM disks,A,Table Storage is a NoSQL store for structured key-value data.
Which of the following is a valid use case for Azure Queue Storage?,Storing large files,Storing metadata,Decoupling application components,Hosting a website,C,Queue Storage is designed for message passing between components.
What is the maximum size of a message in Azure Queue Storage?,64 KB,128 KB,256 KB,512 KB,A,Each Azure Queue message can be up to 64 KB.
Which of the following is true about Azure File Storage?,It supports SMB protocol,It is used for storing NoSQL data,It is used for storing messages,It cannot be mounted on Windows systems,A,Azure File Storage supports SMB for mounting across OS platforms.
What is the purpose of Azure Data Lake Storage?,To store relational data,To store large-scale analytics data,To store VM images,To store application logs,B,Data Lake Storage is optimized for big data analytics workloads.
Which of the following is NOT a feature of Azure Blob Storage?,Append blobs for logging,Block blobs for large files,Page blobs for VM disks,Relational database storage,D,Relational features are not supported by Blob Storage.
What is the purpose of Azure Storage Explorer?,To monitor Azure resources,To manage and access Azure Storage data,To deploy VMs,To configure subscriptions,B,"Storage Explorer is a GUI tool to manage blob, file, table, and queue data."
Which of the following is a benefit of Geo-Redundant Storage (GRS)?,Data is replicated in a single data center,Data is replicated across regions,Data is only accessible from primary,Data is not replicated,B,GRS provides regional disaster recovery through replication.
What is the maximum retention period for Azure Blob Storage soft delete?,7 days,30 days,365 days,Unlimited,C,Blob soft delete supports retention up to 365 days.
Which of the following is true about Azure Managed Disks?,Stored in Blob Storage,Require manual scaling,Not encrypted by default,Cannot be used with VMs,A,Azure Managed Disks are backed by page blobs in Blob Storage.
What is the purpose of Azure Storage Access Keys?,To encrypt data,To provide access to storage resources,To monitor usage,To configure replication,B,Storage access keys provide full control over the storage account.
Which of the following is a valid Azure Blob Storage tier?,Hot, Cold, Archive,Basic, Standard," Premium,Free, Paid, Enterprise,Local, Regional, Global,A,Blob tiers include Hot, Cool, and Archive for access frequency needs."
What is the purpose of Azure Blob Lifecycle Management?,Manage VM lifecycles,Automate blob tier transitions,Monitor performance,Configure security,B,Lifecycle policies automatically move blobs between tiers to optimize cost.
Which of the following is true about Azure Storage Account encryption?,Enabled by default,Must be manually enabled,Only for blobs,Does not support customer keys,A,Encryption is on by default and supports both platform and customer-managed keys.
