"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is the main purpose of Azure Security Center?","To deploy resources in Azure","To create dashboards","To provide unified security management and threat protection","To manage storage accounts","C","Azure Security Center helps prevent, detect, and respond to threats with increased visibility and control."
"Which Azure service helps manage encryption keys?","Azure Monitor","Azure AD","Azure Key Vault","Azure Backup","C","Azure Key Vault is used to securely store and manage sensitive information like encryption keys and secrets."
"What is Just-In-Time (JIT) VM access used for?","Backing up VMs","Reducing network latency","Providing access to VMs only when needed","Scaling VMs automatically","C","JIT VM access reduces exposure to attacks by allowing access to VMs only when required."
"Which of the following provides a secure method of managing secrets in Azure?","Azure Blob Storage","Azure Files","Azure Key Vault","Azure Functions","C","Azure Key Vault securely manages keys, secrets, and certificates."
"What is Microsoft Defender for Cloud?","An antivirus software","A firewall configuration tool","A tool that provides threat protection for workloads running in Azure","A role assignment feature","C","Microsoft Defender for Cloud provides threat protection across hybrid cloud workloads."
"What is Azure Policy used for in security management?","To analyze logs","To monitor performance","To enforce governance and compliance rules","To reset passwords","C","Azure Policy enforces organizational standards and assesses compliance."
"What is the purpose of Azure Blueprints?","To build mobile apps","To replicate resources across regions","To define repeatable sets of Azure resources","To store virtual machines","C","Azure Blueprints define a repeatable set of governance tools and resources."
"What type of encryption is enabled by default in Azure Storage?","Manual Encryption","Server-side encryption","Client-side encryption","No encryption","B","Azure Storage is encrypted using server-side encryption by default."
"What does Azure DDoS Protection help protect against?","Malware","Unauthorized login","Denial-of-service attacks","Backup failure","C","Azure DDoS Protection safeguards applications by mitigating large-scale DDoS attacks."
"What is the role of a Security Principal in Azure?","Manage VM images","Run web apps","Represent users, groups, or apps for access control","Create storage containers","C","Security principals are objects like users, groups, and services that can be assigned access."
"Which Azure service allows you to define who can manage secrets and certificates?","Azure Firewall","Azure Policy","Azure Key Vault","Azure RBAC","C","Azure Key Vault uses access policies and RBAC to control who can manage secrets."
"What does Microsoft Defender for Endpoint integrate with for centralized management?","Azure DNS","Azure Monitor","Microsoft Defender for Cloud","Azure AD","C","Microsoft Defender for Endpoint integrates with Defender for Cloud to provide extended threat protection."
"What is the purpose of security alerts in Azure Security Center?","To notify users of backup success","To provide audit logs","To identify suspicious activity and threats","To measure traffic","C","Security alerts notify users about threats and suspicious activity in their Azure environment."
"Which Azure service can be used to scan container images for vulnerabilities?","Azure App Service","Azure Security Center","Azure DevTest Labs","Azure App Gateway","B","Azure Security Center can scan container images stored in ACR for vulnerabilities."
"What is the default security boundary in Azure?","Resource Group","Subscription","Region","Virtual Machine","B","A subscription is the default boundary for applying security and governance policies."
"Which of the following best describes a managed identity in Azure?","A user-created login","A username with MFA enabled","An automatically managed identity for accessing Azure resources","A network ID","C","Managed identities provide Azure services with an automatically managed identity to access other services."
"What is an Azure security baseline?","Backup retention rule","Standard configuration for compliance","Resource provisioning policy","A pricing model","B","Security baselines are predefined sets of security configurations aligned to best practices."
"Which service aggregates security logs from multiple sources?","Azure Files","Azure Bastion","Microsoft Sentinel","Azure DevOps","C","Microsoft Sentinel collects and analyzes logs from various sources for threat detection."
"What is the purpose of the Secure Score in Azure?","Shows billing usage","Indicates VM performance","Measures security posture and recommends improvements","Measures website speed","C","Secure Score provides a summary of your current security situation and recommendations to improve."
"Which service helps ensure regulatory compliance in Azure?","Azure DNS","Azure Lighthouse","Compliance Manager","Azure Logic Apps","C","Compliance Manager helps you track compliance with regulatory standards in Azure."
