QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
What does the 'terraform plan' command do?,Applies the infrastructure changes,Shows what changes Terraform will make,Destroys the infrastructure,Initializes the backend,B,The 'terraform plan' command shows the execution plan and what actions Terraform will perform.
Which command is used to create infrastructure defined in the configuration files?,terraform init,terraform destroy,terraform apply,terraform validate,C,'terraform apply' executes the actions in the plan to build the infrastructure.
What is the purpose of 'terraform destroy'?,Validates the configuration files,Deletes all managed infrastructure,Updates the modules,Uploads state file to remote,B,'terraform destroy' removes all the infrastructure managed by Terraform.
What does 'terraform validate' check?,Security flaws,Syntax errors in Terraform files,Cost estimation,Resource usage,B,'terraform validate' checks whether the configuration is syntactically valid.
Which command formats Terraform files according to standard style?,terraform clean,terraform format,terraform fmt,terraform tidy,C,'terraform fmt' rewrites Terraform configuration files to a canonical format and style.
What is the function of 'terraform taint'?,Marks a resource to be destroyed and recreated,Deletes unused resources,Locks the backend,Encrypts state file,A,'terraform taint' marks a resource for recreation during the next apply.
Which command upgrades provider plugins?,terraform upgrade,terraform update,terraform init -upgrade,terraform install,C,'terraform init -upgrade' upgrades modules and plugins.
What does the 'terraform output' command do?,Displays the state file,Shows variable values,Displays outputs defined in configuration,Lists provider versions,C,'terraform output' displays the output values from the last apply.
Which file is generated after a successful plan?,plan.json,terraform.state,tfplan,terraform.log,C,The default name for a saved plan file is 'tfplan'.
What command is used to apply a saved plan file?,terraform execute tfplan,terraform apply tfplan,terraform push tfplan,terraform deploy tfplan,B,'terraform apply tfplan' applies the actions stored in the plan file.
Which command shows the current Terraform version?,terraform version,terraform show,terraform get version,terraform v,A,'terraform version' displays the installed Terraform version.
What does the 'terraform show' command display?,Available providers,Terraform installation path,Terraform state or plan in human-readable format,State backend settings,C,'terraform show' gives a readable output of Terraform state or plan.
What is the purpose of 'terraform graph'?,Visualize resource costs,Generate a dependency graph in DOT format,Log backend activity,Monitor apply execution,B,'terraform graph' creates a visual representation of resource dependencies.
What does 'terraform providers' list?,All available modules,Currently used providers and their sources,Backend plugins,All installed CLI tools,B,'terraform providers' lists providers required by the configuration.
How can you see the dependency order of resources?,terraform state,terraform validate,terraform graph,terraform order,C,'terraform graph' visually shows resource dependencies.
What is the result of 'terraform console'?,Starts a read-only CLI,Interactive shell for evaluating expressions,Validates resources,Runs backend commands,B,'terraform console' launches an interactive shell for testing expressions.
What does 'terraform force-unlock' do?,Force deletes the state file,Forces resource destruction,Manually removes state lock,Unlocks credentials,C,'terraform force-unlock' manually removes a state lock if stuck.
Which command is used to inspect Terraform state?,terraform show,terraform read,terraform log,terraform inspect,A,'terraform show' can be used to inspect the contents of the state file.
What command downloads modules mentioned in the configuration?,terraform update,terraform install,terraform get,terraform init --modules,C,'terraform get' downloads and installs modules needed by the config.
What is the use of 'terraform workspace'?,Manage cloud accounts,Create isolated environments using separate state files,Switch between CLI versions,Generate billing reports,B,'terraform workspace' is used to manage different states (workspaces).
