QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
Which file helps automate infrastructure testing in Terraform?,test.tf,main.tf,terragrunt.hcl,terraform_test.sh,D,Custom scripts like terraform_test.sh are used to automate testing.
Where should custom Terraform modules typically be placed?,in /tmp,in the .terraform directory,in a modules/ directory,in variables.tf,C,Custom modules are commonly organized inside a 'modules/' directory.
What is typically included in the 'provider' block?,Variables,Resource tags,Provider name and credentials,Output values,C,The provider block specifies credentials and configuration for a cloud provider.
How do you define a resource with count in Terraform?,Use repeat keyword,Use count keyword in resource block,Use count variable in main.tf,Use count module,B,count keyword is used inside a resource block to create multiple instances.
How can you organize a large Terraform project?,Place everything in one file,Use modules to break configuration into logical units,Use a single directory for all environments,Use remote exec provisioner,B,Modules allow reusable and organized blocks of configuration.
What is the function of terraform.lock.hcl?,Tracks modules used in the configuration,Locks provider versions for consistent installs,Contains sensitive environment variables,Stores backend configuration,B,terraform.lock.hcl ensures that the exact same provider versions are used across machines.
Which naming convention is suitable for modules?,Title Case,snake_case,PascalCase,camelCase,B,snake_case is widely used for consistency in Terraform module naming.
What is a recommended structure for separating environments?,Use separate workspaces,Hardcode values,Combine in one configuration,Use the default workspace only,A,Workspaces allow separation of state and configurations across environments.
How can sensitive output be hidden in CLI output?,Add sensitive = true in output,Use encrypted variables,Define in main.tf,Add logging level to debug,A,The sensitive = true flag in output hides the value in CLI.
How do you refer to output values from a module?,module.output,output.module,module.<name>.output_name,var.output_name,C,You access module outputs using module.<module_name>.<output_name> syntax.
What is the role of data sources in Terraform?,To destroy resources,To get info from existing resources,To initialize the state,To version providers,B,Data sources fetch information from existing infrastructure for use in configuration.
What file specifies required providers and versions?,terraform.tf,providers.tf,requirements.tf,terraform.tfvars,B,providers.tf defines the required providers and version constraints.
What file should include cloud region and project settings?,outputs.tf,main.tf,terraform.tfvars,variables.tf,C,"terraform.tfvars can include values such as region, project name, etc."
What file holds backend configuration to use Azure blob for state?,provider.tf,azure_backend.tf,backend.tf,state.tf,C,backend.tf holds the configuration for using Azure Blob Storage as the backend.
What does 'locals' block do in Terraform?,Defines modules,Declares constants and computed values,Sets provider region,Applies tags,B,The 'locals' block defines computed values that can be reused.
What is the purpose of .terraform.lock.hcl?,Lock module outputs,Store the configuration version,Prevent provider version drift,Hide backend configurations,C,.terraform.lock.hcl ensures consistent provider versions during deployments.
Which command shows all the modules and resources in the configuration?,terraform list,terraform graph,terraform show,terraform plan,B,terraform graph visualizes dependencies between Terraform resources and modules.
Which block defines variable constraints like type and default in Terraform?,resource,output,variable,locals,C,The 'variable' block is used to define input variables and their properties.
Where is the backend configuration typically defined?,backend.tf,outputs.tf,terraform.tfvars,variables.tf,A,backend.tf is often used to configure remote state backends.
Which file stores default values for variables in Terraform?,main.tf,terraform.tfvars,outputs.tf,providers.tf,B,terraform.tfvars allows assignment of default values to input variables.
