"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What are components in React?","Pieces of HTML","Reusable pieces of UI","CSS files","JavaScript loops","B","Components are independent, reusable bits of code that serve as the building blocks of a React application."
"Which keyword defines a class component in React?","component","function","class","module","C","Class components are defined using the 'class' keyword in JavaScript."
"Which method is mandatory in a class component?","start()","render()","display()","output()","B","The render() method is required and returns the JSX that should be rendered."
"What is a functional component in React?","Component written using class","Component written using function","Component with only styling","Component written in CSS","B","Functional components are JavaScript functions that return JSX."
"How are components named in React?","camelCase","snake_case","PascalCase","lowercase","C","React component names must begin with a capital letter, typically PascalCase."
"What are props in components?","Private data","Internal state","Arguments passed to components","Local CSS classes","C","Props are inputs to components, passed in like arguments in functions."
"Which hook is used in functional components for state?","useValue","useEffect","useState","useClass","C","useState is used to add state to functional components."
"How do you export a component?","send Component;","return Component;","export default Component;","deliver Component;","C","You export a component with 'export default ComponentName;'"
"Can components be nested in React?","No","Yes","Only in class-based components","Only in HTML files","B","Yes, React components can be nested to build complex UIs."
"Which of the following is a valid way to use a component?","<component />","<Component />","<component()>","Component{}","B","React components must start with a capital letter and be used like <Component />."
"What happens if a component returns null?","It throws an error","It crashes the app","It renders nothing","It logs to console","C","Returning null in a component tells React to render nothing."
"What does the render method return?","A string","An HTML document","JSX","A component","C","render() returns JSX that represents UI elements."
"Can functional components have lifecycle methods?","Yes","No","Only in class components","Only with Redux","A","With React hooks, functional components can simulate lifecycle methods."
"Which method in class components is called after props change?","componentDidMount","componentWillUnmount","componentDidUpdate","constructor","C","componentDidUpdate runs after the component updates from changed props or state."
"What is the main advantage of functional components?","Faster execution","Less code and easier testing","Can use loops","Better CSS handling","B","Functional components are simpler and easier to test."
"Which of these is a pure component?","One that always returns null","A component without JSX","Component with no side effects and same output for same props","Styled components","C","Pure components avoid side effects and return the same result for the same inputs."
"Where is the best place to initialize state in class components?","Inside render","In componentDidMount","In the constructor","In the propTypes","C","State is initialized in the constructor method of class components."
"Which package is required for building components in React?","react-dom","react","redux","vue","B","The 'react' package contains tools to create components."
"What is 'this.props' used for?","To access internal state","To mutate props","To access passed properties","To bind methods","C","this.props holds the values passed into the component."
"What is a stateless component?","One that uses only props","One that mutates state","One that always returns null","A class component","A","A stateless component relies only on props and does not manage state."
