"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is React Router used for?","Data fetching","Routing and navigation between views","Rendering UI components only","Styling React apps","B","React Router allows dynamic routing and navigation within React applications."
"Which component is used to wrap the entire app with routing support?","Route","Switch","Router","BrowserRouter","D","BrowserRouter is the top-level component that enables routing in web apps."
"Which component is used to define a route?","Link","Switch","Route","NavLink","C","Route defines a path and the component to render when the URL matches."
"Which hook allows accessing route parameters?","usePath","useParams","useLocation","useState","B","useParams returns an object of key-value pairs from the current URL."
"Which component provides navigation links?","Redirect","Route","NavLink or Link","RouterView","C","NavLink and Link are used to navigate without reloading the page."
"Which hook is used to access the current URL?","useMatch","usePath","useLocation","useRoute","C","useLocation provides information about the current URL location object."
"How do you create nested routes?","Using Switch","Adding child Route components inside a parent Route","Using Link inside another Link","Using useState","B","Nested routes are defined by nesting Route components inside a parent component."
"Which attribute specifies the route path?","url","to","path","route","C","The 'path' prop in <Route> defines the route URL."
"Which hook is used for programmatic navigation?","useHistory","useNavigate","usePath","useContext","B","useNavigate is used to programmatically navigate between routes in v6."
"How do you specify a dynamic route segment?",":param","*param","param?","&param","A","Dynamic route segments are prefixed with a colon (e.g., /user/:id)."
"Which component is used to show only one route at a time?","Route","Routes","NavLink","Switch","B","In React Router v6, <Routes> replaces <Switch> to render the first match."
"How do you redirect in React Router v6?","<Redirect>","<Navigate>","<Route redirect>","<RedirectTo>","B","<Navigate> is used for redirection in v6."
"What does the 'exact' prop do in React Router v5?","Ensures component rendering","Matches subpaths only","Matches the route exactly","Ignores trailing slash","C","'exact' ensures the path matches exactly without partial matching."
"How do you get query parameters in React Router?","useQuery()","useLocation().search","useParams().search","useNavigate().query","B","You can extract query params from the search property of useLocation()."
"What does useNavigate().replace() do?","Pushes to history stack","Navigates without saving history","Deletes route","Renders new page","B","replace() replaces the current entry in the history stack."
"How can you apply active styling to a link?","class='active'","useLink()","Using NavLink with activeClassName","inline style always","C","NavLink applies activeClassName automatically when the route is active."
"What is the benefit of client-side routing?","Slower performance","Full page reloads","Seamless navigation without reload","Routing via server","C","Client-side routing prevents page reloads and improves UX."
"Which version introduced the <Routes> component?","v4","v5","v6","v3","C","React Router v6 introduced <Routes> and <Navigate>."
"Which hook provides the current route match?","useRouteMatch","useCurrent","useLocation","useRoutePath","A","useRouteMatch helps determine if the current URL matches a path."
"How do you define a catch-all route?","path='*'","path='/'","path='**'","path='/all'","A","Use path='*' to match all unspecified routes for 404 handling."
