"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is Azure Synapse Analytics?","A NoSQL store","A VM deployment tool","An integrated analytics platform for big data and data warehousing","A streaming platform","C","Azure Synapse combines enterprise data warehousing and Big Data analytics into a single service."
"What is the main purpose of Spark pools in Synapse?","Run virtual machines","Orchestrate CI/CD pipelines","Run distributed Spark jobs for big data processing","Deploy web applications","C","Spark pools allow execution of Spark-based notebooks and jobs for scalable data processing."
"What is the COPY INTO command in Synapse?","Deletes a table","Encrypts data","Inserts data from storage into Synapse SQL tables","Reads logs","C","COPY INTO loads data from files in storage into Synapse SQL tables efficiently."
"What is the benefit of integrating Synapse with ADF?","Manage user accounts","Enable automated data orchestration and transformation","Create resource groups","Deploy machine learning models","B","ADF provides pipeline orchestration, which complements Synapse's data processing capabilities."
"Which tool is used to author Synapse pipelines?","Azure CLI","Azure Portal only","Synapse Studio","Azure Monitor","C","Synapse Studio is the web-based UI for building and managing Synapse pipelines, Spark jobs, and data flows."
"What does a Spark notebook allow in Synapse?","SQL only queries","Monitoring alerts","Interactive big data processing using languages like Scala and Python","VM backup","C","Spark notebooks enable interactive development and execution of data transformations using multiple languages."
"Which type of pool executes T-SQL queries in Synapse?","General-purpose pool","Dedicated SQL pool","Serverless Spark pool","Container pool","B","The Dedicated SQL pool is designed to run high-performance T-SQL queries in Synapse Analytics."
"Which ADF activity executes Synapse notebooks?","ForEach","Web Activity","Notebook Activity","Stored Procedure","C","Notebook activity allows triggering of Spark notebooks from within ADF pipelines."
"What is a shared table in Synapse and Spark pool integration?","A container","A common schema definition","A table accessible by both SQL and Spark engines","A dashboard","C","Shared tables are stored in a format accessible by both Spark and SQL engines in Synapse."
"Which component manages metadata and lineage in Synapse?","Azure DNS","SQL Agent","Synapse Workspace","Azure Purview integration","D","Azure Purview tracks data lineage and metadata and can integrate with Synapse Analytics."
"What is a benefit of using Synapse pipelines over ADF?","Faster FTP","In-built dashboard support","Tighter integration with data lakes and workspaces","Higher blob storage","C","Synapse pipelines are deeply integrated with its workspace and allow seamless data lake usage."
"How can you trigger Synapse pipelines?","Only via Azure CLI","Manually only","Using time, event, or tumbling window triggers","From GitHub alone","C","Synapse supports multiple trigger types for automation, similar to ADF."
"What does workspace separation in Synapse help with?","Increase billing","Create separate pipelines for different Azure accounts","Logical isolation for teams or environments","Restrict users from SQL","C","Workspaces separate resources logically to manage environments and permissions efficiently."
"What is a database template in Synapse?","A backup file","A Power BI dataset","A pre-defined schema for common industry data models","A SQL injection block","C","Database templates help create data structures based on industry-standard models."
"What is the role of Delta tables in Synapse Spark?","To delete old data","To encrypt T-SQL","Enable ACID-compliant operations over data lake","Only export data to CSV","C","Delta tables provide transaction support and schema enforcement on Spark-managed data in Synapse."
"What does running a pipeline from Synapse Studio allow?","Only scheduling backups","Manual API creation","Immediate or scheduled execution of orchestration workflows","Auto-login","C","Pipelines in Synapse Studio can be triggered on demand or scheduled to run data workflows."
"What is the benefit of using ADF with Synapse for streaming data?","Higher disk IOPS","Simplified dashboard creation","Real-time ingestion and transformation","Automated patching","C","ADF can ingest, transform, and load streaming data into Synapse for real-time analytics."
"Which command in Spark saves data as a Delta table?","write.saveAsTable()","write.mode('delta')","write.format('delta').save()","table.create()","C","write.format('delta').save() saves DataFrame as a Delta-formatted table in Spark."
"What does the activity 'Get Metadata' do in Synapse pipelines?","Decrypt data","Extracts schema and file info for decision-making in workflows","Validates tokens","Deletes logs","B","Get Metadata retrieves properties of data like size, structure, and last modified time for conditional logic."
"What does integrating Git in Synapse help with?","Accelerate VM performance","Visualize SQL code","Version control and collaborative pipeline development","Connect to IoT devices","C","Git integration allows tracking changes, collaborative development, and version history in Synapse pipelines."
