QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
What is the purpose of a provider block in Terraform?,To define output values,To specify the infrastructure platform,To create virtual machines,To connect to Git repositories,B,"Providers in Terraform specify the platform (e.g., AWS, Azure) where resources will be created."
Which cloud platform is supported by Terraform?,AWS,Azure,Google Cloud,All of the above,D,"Terraform supports many providers including AWS, Azure, Google Cloud, and more."
How do you specify the version of a provider in Terraform?,"version = ""1.0.0"" inside the resource block","provider_version = ""1.0.0"" inside main.tf",Using 'required_providers' block in terraform block,Add it to variables.tf,C,Provider versions are defined in the 'required_providers' block.
What is a resource block in Terraform?,A way to define output values,A method for loading variables,A block that defines infrastructure components,A special loop,C,The 'resource' block is used to define infrastructure resources such as VMs or storage.
Which of the following is a valid Terraform resource declaration?,resource 'aws_instance' 'example' {...},resource example: aws_instance {...},aws_instance { name = 'example' },create aws_instance example {...},A,Terraform resources follow the format resource 'type' 'name' { ... }.
How can you configure multiple providers in one Terraform project?,Only one provider allowed,Use multiple provider blocks,Write a custom module,Enable multi-mode,B,You can define multiple provider blocks with different aliases.
What is required in a resource block?,At least one variable,An alias,Type and name,A comment,C,Each resource block must have a type and a name.
Where does Terraform download provider plugins from?,GitHub,Terraform Registry,Azure DevOps,NPM,B,Terraform Registry hosts provider plugins.
Which of the following is NOT a valid Terraform provider?,aws,azure,google,terraform,D,'terraform' is not a provider but a tool; providers are for cloud platforms or APIs.
How do you assign an alias to a provider?,alias = 'alias-name' inside the provider block,use alias: alias-name,alias-provider = true,set alias = name,A,Aliases are assigned in the provider block using 'alias ='.
What is the function of the required_providers block?,To install Terraform CLI,To specify providers and versions,To configure remote backend,To declare outputs,B,The required_providers block is used to specify which providers to use and their versions.
Which of the following is an example of a provider block?,provider aws {},terraform aws {},resource aws {},output aws {},A,provider aws {} is the correct syntax for declaring a provider block.
Which attribute in a provider block is used to specify region?,location,geo,region,zone,C,The region attribute defines the geographical region for resources.
Why would you use provider aliases in Terraform?,To add variables,To manage multiple instances of the same provider,To enable loops,To trigger modules,B,Aliases let you configure multiple instances of a single provider.
Which of the following is a correct way to define an Azure provider?,provider 'azure' {},provider azurerm {},provider azurecloud {},provider azcli {},B,azurerm is the correct provider name for Azure.
What does 'depends_on' do in a resource block?,Ignores dependencies,Adds runtime parameters,Explicitly defines resource dependency,Links variables automatically,C,depends_on ensures Terraform creates resources in a specific order.
Which of these resources represents a storage account in Azure?,azurerm_storage_blob,azurerm_storage_container,azurerm_storage_account,azurerm_account,C,azurerm_storage_account is used to define storage accounts.
What happens if a provider is not specified explicitly?,Terraform fails to initialize,Terraform selects a random provider,Terraform auto-selects based on resource type,Terraform asks for user input,C,Terraform can infer provider from the resource type.
Which is the correct structure for using a provider alias in a resource?,alias = aws.us-west-1,provider = aws.us-west-1,provider = aws.alias,provider = aws.us,B,Resources use provider = aws.alias_name to select a specific alias.
Why should you avoid hardcoding credentials in the provider block?,To improve performance,To reduce configuration file size,For security best practices,It’s not allowed by Terraform,C,Storing credentials in code can lead to security vulnerabilities.
