"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is the primary goal of security in Azure DevOps?","Faster build execution","Controlling access to resources and pipelines","Deploying web applications","Organizing Git branches","B","Azure DevOps security is focused on managing user and resource access across projects."
"What is RBAC in Azure DevOps?","Resource Branch Access Control","Role-Based Access Control","Repository Branch Allocation Configuration","Release Build Automation Component","B","RBAC allows assigning permissions to users based on roles like Contributor or Reader."
"Where are security settings configured in Azure DevOps?","Repos","Test Plans","Project Settings","Boards","C","Security roles and permissions are configured under Project Settings."
"What are secure pipeline variables used for?","To log errors","To store secrets like passwords and keys","To control build stages","To monitor pipelines","B","Secure variables hold sensitive information and are hidden in logs."
"What is a Personal Access Token (PAT)?","An email ID","A GitHub alias","A token used for authenticating with Azure DevOps services","Pipeline variable","C","PATs are user-generated tokens for secure API access to Azure DevOps."
"How can you protect a branch in Azure Repos?","Using test cases","With approval workflows","By applying branch policies","Via feedback requests","C","Branch policies enforce reviews and checks before code can be merged."
"What does 'Allow scripts to access OAuth token' setting do?","Disables test plans","Allows pipeline scripts to authenticate","Deletes secrets","Enables auto-deployment","B","This setting lets scripts access OAuth tokens for authorization in pipelines."
"Which permission restricts users from editing pipeline definitions?","View permissions","Queue builds","Edit build pipeline","Delete repository","C","The 'Edit build pipeline' permission controls who can modify pipeline definitions."
"Can secrets be used in YAML pipelines?","Yes, using secret variables","No","Only with Classic Editor","Only in Docker builds","A","YAML pipelines support secret variables which are masked in logs."
"What is the safest way to store secrets for pipelines?","Hardcoded in YAML","Environment variables","Variable groups with secrets","Git config files","C","Secrets are securely stored using variable groups with secret flags enabled."
"What happens if a PAT is compromised?","Azure shuts down","Pipelines fail","Unauthorized access to Azure DevOps APIs is possible","Nothing happens","C","If a PAT is leaked, an attacker can access APIs with the permissions of that token."
"Which Azure service helps manage secrets securely?","Azure Monitor","Azure Key Vault","Azure Boards","Azure SQL","B","Azure Key Vault is used to store and manage secrets securely."
"What is a secure file in Azure Pipelines?","A build script","A protected file uploaded for use in pipelines","A locked branch","A PAT container","B","Secure files are encrypted files available for use in tasks like signing or SSH authentication."
"What can variable groups in Azure Pipelines be linked to?","Azure Repos","Azure Key Vault","Release notes","Pull requests","B","Variable groups can be linked to Azure Key Vault for secure value retrieval."
"Which scope provides the most limited permissions?","Organization level","Project level","Build level","Personal token scope","D","PATs with limited scopes are the most restrictive and secure way to provide access."
"Which security feature prevents unreviewed code from merging?","Pipeline logs","Work item tracking","Branch policies with required reviewers","Build triggers","C","Branch policies enforce reviewer approval before merges."
"How are expired PATs handled?","They renew automatically","They are disabled","They trigger alerts and access is revoked","Nothing happens","C","Expired PATs cause access issues and can be monitored via alerts."
"What is the purpose of auditing in Azure DevOps?","To deploy code","To provide CI/CD analytics","To track user actions and security events","To increase performance","C","Auditing logs user actions and access to help with security compliance."
"What should you do if a secret is accidentally committed?","Push another commit","Ignore it","Revoke the secret immediately and rotate keys","Archive the repository","C","To maintain security, you must immediately revoke the leaked secret and rotate keys."
"Which file should not contain secrets?","azure-pipelines.yml","README.md","Pipeline logs","All of the above","D","Secrets should never be stored in plain text files like YAML or logs."
