QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
Which of the following is a valid way to define a function in Scala?,function myFunc(x: Int) = x * 2,def myFunc(x: Int): Int = { x * 2 },function myFunc(x): Int { return x * 2; },fun myFunc(Int x): Int = x * 2,B,"In Scala, functions are defined using the 'def' keyword followed by the function signature and body."
Which collection in Scala is immutable by default?,ArrayBuffer,ListBuffer,List,Array,C,"Scala's List is immutable by default, while Array and ArrayBuffer are mutable collections."
"What is the output of the expression: List(1, 2, 3).map(_ * 2)?","[1, 2, 3]","List(2, 4, 6)","Map(1 -> 2, 2 -> 4, 3 -> 6)","List(1, 4, 9)",B,"The map function applies the given transformation to each element in the list, resulting in List(2, 4, 6)."
"In Scala, what is the purpose of the 'case class' keyword?",To define a mutable class,To define a singleton class,To define a class with pattern matching and immutability,To define a class with default parameters only,C,"case class in Scala provides built-in immutability, pattern matching, and auto-generated methods like toString and equals."
Which of the following is used to create a singleton object in Scala?,object,singleton,static,new object,A,"Scala uses the 'object' keyword to define singleton objects, which are created once and globally accessible."
Which keyword is used for inheritance in Scala?,extends,inherits,super,base,A,The 'extends' keyword is used in Scala for class inheritance.
Which method can be used to filter elements in a collection?,filter(),reduce(),map(),slice(),A,filter() returns elements satisfying a given predicate.
How do you declare a variable whose value can change?,const,val,var,def,C,'var' declares a mutable variable in Scala.
Which of these is a trait in Scala?,An interface with implementation,A data type,A lambda expression,A control structure,A,Traits are similar to Java interfaces but can include concrete methods.
Which of these collections preserves insertion order?,Set,HashMap,List,Map,C,List maintains the order in which elements are added.
Which keyword is used for inheritance in Scala? (alt 10),extends,inherits,super,base,A,The 'extends' keyword is used in Scala for class inheritance.
Which method can be used to filter elements in a collection? (alt 11),filter(),reduce(),map(),slice(),A,filter() returns elements satisfying a given predicate.
How do you declare a variable whose value can change? (alt 12),const,val,var,def,C,'var' declares a mutable variable in Scala.
Which of these is a trait in Scala? (alt 13),An interface with implementation,A data type,A lambda expression,A control structure,A,Traits are similar to Java interfaces but can include concrete methods.
Which of these collections preserves insertion order? (alt 14),Set,HashMap,List,Map,C,List maintains the order in which elements are added.
Which keyword is used for inheritance in Scala? (alt 15),extends,inherits,super,base,A,The 'extends' keyword is used in Scala for class inheritance.
Which method can be used to filter elements in a collection? (alt 16),filter(),reduce(),map(),slice(),A,filter() returns elements satisfying a given predicate.
How do you declare a variable whose value can change? (alt 17),const,val,var,def,C,'var' declares a mutable variable in Scala.
Which of these is a trait in Scala? (alt 18),An interface with implementation,A data type,A lambda expression,A control structure,A,Traits are similar to Java interfaces but can include concrete methods.
Which of these collections preserves insertion order? (alt 19),Set,HashMap,List,Map,C,List maintains the order in which elements are added.
Which keyword is used for inheritance in Scala? (alt 20),extends,inherits,super,base,A,The 'extends' keyword is used in Scala for class inheritance.
Which method can be used to filter elements in a collection? (alt 21),filter(),reduce(),map(),slice(),A,filter() returns elements satisfying a given predicate.
How do you declare a variable whose value can change? (alt 22),const,val,var,def,C,'var' declares a mutable variable in Scala.
Which of these is a trait in Scala? (alt 23),An interface with implementation,A data type,A lambda expression,A control structure,A,Traits are similar to Java interfaces but can include concrete methods.
Which of these collections preserves insertion order? (alt 24),Set,HashMap,List,Map,C,List maintains the order in which elements are added.
Which keyword is used for inheritance in Scala? (alt 25),extends,inherits,super,base,A,The 'extends' keyword is used in Scala for class inheritance.
Which method can be used to filter elements in a collection? (alt 26),filter(),reduce(),map(),slice(),A,filter() returns elements satisfying a given predicate.
How do you declare a variable whose value can change? (alt 27),const,val,var,def,C,'var' declares a mutable variable in Scala.
Which of these is a trait in Scala? (alt 28),An interface with implementation,A data type,A lambda expression,A control structure,A,Traits are similar to Java interfaces but can include concrete methods.
Which of these collections preserves insertion order? (alt 29),Set,HashMap,List,Map,C,List maintains the order in which elements are added.
Which keyword is used for inheritance in Scala? (alt 30),extends,inherits,super,base,A,The 'extends' keyword is used in Scala for class inheritance.
Which method can be used to filter elements in a collection? (alt 31),filter(),reduce(),map(),slice(),A,filter() returns elements satisfying a given predicate.
How do you declare a variable whose value can change? (alt 32),const,val,var,def,C,'var' declares a mutable variable in Scala.
Which of these is a trait in Scala? (alt 33),An interface with implementation,A data type,A lambda expression,A control structure,A,Traits are similar to Java interfaces but can include concrete methods.
Which of these collections preserves insertion order? (alt 34),Set,HashMap,List,Map,C,List maintains the order in which elements are added.
Which keyword is used for inheritance in Scala? (alt 35),extends,inherits,super,base,A,The 'extends' keyword is used in Scala for class inheritance.
Which method can be used to filter elements in a collection? (alt 36),filter(),reduce(),map(),slice(),A,filter() returns elements satisfying a given predicate.
How do you declare a variable whose value can change? (alt 37),const,val,var,def,C,'var' declares a mutable variable in Scala.
Which of these is a trait in Scala? (alt 38),An interface with implementation,A data type,A lambda expression,A control structure,A,Traits are similar to Java interfaces but can include concrete methods.
Which of these collections preserves insertion order? (alt 39),Set,HashMap,List,Map,C,List maintains the order in which elements are added.
Which keyword is used for inheritance in Scala? (alt 40),extends,inherits,super,base,A,The 'extends' keyword is used in Scala for class inheritance.
Which method can be used to filter elements in a collection? (alt 41),filter(),reduce(),map(),slice(),A,filter() returns elements satisfying a given predicate.
How do you declare a variable whose value can change? (alt 42),const,val,var,def,C,'var' declares a mutable variable in Scala.
Which of these is a trait in Scala? (alt 43),An interface with implementation,A data type,A lambda expression,A control structure,A,Traits are similar to Java interfaces but can include concrete methods.
Which of these collections preserves insertion order? (alt 44),Set,HashMap,List,Map,C,List maintains the order in which elements are added.
Which keyword is used for inheritance in Scala? (alt 45),extends,inherits,super,base,A,The 'extends' keyword is used in Scala for class inheritance.
Which method can be used to filter elements in a collection? (alt 46),filter(),reduce(),map(),slice(),A,filter() returns elements satisfying a given predicate.
How do you declare a variable whose value can change? (alt 47),const,val,var,def,C,'var' declares a mutable variable in Scala.
Which of these is a trait in Scala? (alt 48),An interface with implementation,A data type,A lambda expression,A control structure,A,Traits are similar to Java interfaces but can include concrete methods.
Which of these collections preserves insertion order? (alt 49),Set,HashMap,List,Map,C,List maintains the order in which elements are added.
