"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What does 'lifting state up' mean in React?","Moving state to Redux","Moving state to a parent component","Passing state to backend","Promoting component to class","B","Lifting state up means moving state to a common ancestor component so it can be shared."
"Why would you lift state up in a component tree?","To remove props","To avoid using hooks","To share state between sibling components","To trigger API calls","C","Lifting state to a common parent allows sibling components to share and update the same data."
"Which of the following is a sign you need to lift state?","You need local component CSS","Two components need access to the same state","You have a single input field","You need to fetch API data","B","If two or more components need access to the same data, the state should be lifted to their common parent."
"Where should you place state that multiple components depend on?","In the deepest child","In the outermost component","In the nearest common ancestor","In App.js","C","The ideal place for shared state is the nearest common ancestor of the components."
"How do child components communicate changes to the parent?","Through Redux","Using event listeners","By calling a function passed via props","Direct DOM manipulation","C","Parents pass down functions via props, which children call to trigger state changes."
"Can you lift state from functional components?","No","Only with Redux","Yes, using props and useState","Only using class components","C","You can lift state in both functional and class components using props and hooks like useState."
"When lifting state, where is the data flow directed?","From child to parent only","From parent to child only","From child to sibling","From child to parent and back to child via props","D","Data is sent up via function props and passed back down via props."
"Which pattern is often used with lifting state?","Observer pattern","Render props","Callback props","Singleton pattern","C","Callback props allow child components to send data back to the parent."
"What problem does lifting state solve?","Local state updates","Component styling","Sharing state among multiple components","API integration","C","It helps multiple components use and update the same state."
"Which React concept emphasizes unidirectional data flow?","Redux","Hooks","Lifting state up","Bidirectional binding","C","Lifting state up supports React’s one-way data flow model."
"What do you typically pass down to child components when lifting state?","useState","state and setter function","JSX","API links","B","The parent component provides state and a callback function via props."
"Is state shared automatically between siblings?","Yes","Only with useEffect","Only with Redux","No, must be lifted to a parent","D","Siblings can share state only if it’s lifted to a common ancestor."
"How can you track form changes in sibling inputs?","useMemo","setState in each","Lift state and update via callbacks","input.sync()","C","Track the inputs by lifting state to the parent and updating from child using callback props."
"Which keyword is used to update lifted state?","setState","useLift","setParent","syncState","A","setState (or the setter from useState) is used to update lifted state."
"Which of these is NOT a benefit of lifting state?","State consistency","Avoids duplication","More reusability","Automatic prop validation","D","Prop validation is a different concern and not related to state lifting."
"Can you lift state above multiple nested levels?","No","Yes, to any common ancestor","Only in functional components","Only using Redux","B","State can be lifted to any ancestor component that makes logical sense."
"What React concept often complements lifting state?","Context API","Fragments","Refs","Class inheritance","A","Context can help avoid prop drilling after lifting state to a higher level."
"Which component pattern benefits most from lifting state?","Single-component apps","Sibling components needing coordination","Button-only components","Navbar components","B","Sibling components benefit from shared state held in their common parent."
"What does React recommend for components sharing data?","Use Redux always","Lifting state to the parent","Using global variables","Avoiding props","B","React encourages lifting state to enable shared logic and data."
"How do you trigger an update in the parent from a child?","Changing props","Using Redux","Calling a function passed via props","Re-rendering the child","C","Pass a callback function from parent to child and invoke it to update state."
