QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
What is the primary role of the Bronze layer in a Medallion Architecture?,Serve as the final curated data layer,"Store raw, unprocessed data",Support machine learning model training,Enable reporting dashboards,B,"The Bronze layer typically stores raw, ingested data in its original form for traceability."
What kind of data is generally stored in the Silver layer of a Medallion Architecture?,Aggregated business metrics,Unstructured data files,Cleaned and enriched data,Sensor logs and clickstreams,C,"The Silver layer holds data that has been cleaned, joined, and enriched from the Bronze layer."
Which layer in the Medallion Architecture is typically queried by BI tools?,Bronze,Silver,Gold,Platinum,C,The Gold layer provides aggregated and business-ready data for analytics and reporting.
"What is the advantage of separating data into Bronze, Silver, and Gold layers?",Improves cloud storage speed,Enables fine-grained user access control,Provides modularity and lineage in data processing,Eliminates the need for metadata,C,"The layer-based structure promotes clarity, modularity, and helps in tracking lineage and transformations."
Which technology is commonly used to implement Medallion Architecture on Azure?,Azure Monitor,Power BI,Azure Data Lake + Delta Lake,Azure AD B2C,C,Delta Lake combined with Azure Data Lake provides ACID compliance and scalable storage for Medallion Architecture.
How is data usually moved from Bronze to Silver layer?,Manual upload,ETL or streaming pipeline,Excel import,Browser-based UI,B,ETL or streaming jobs process and clean the raw data from Bronze before storing in Silver.
Which layer is considered most trusted for analytics?,Bronze,Silver,Gold,All layers equally,C,The Gold layer contains highly curated and aggregated data suitable for analytics.
What is a typical storage format in the Bronze layer?,Delta Lake,CSV,Raw Parquet or JSON,Relational tables,C,Bronze layer often stores raw data in Parquet or JSON before applying any transformations.
What should happen before data is promoted to Silver?,Model training,Data wrangling and validation,Dashboard creation,Indexing in search engine,B,"Before entering Silver, data should be cleaned, joined, and validated."
What distinguishes Gold from Silver layer data?,Data is uncompressed,It's used in operational systems,It includes business-level aggregations,It contains raw metrics,C,Gold layer data typically includes key business metrics and aggregations.
How is data usually moved from Bronze to Silver layer? (alt 10),Manual upload,ETL or streaming pipeline,Excel import,Browser-based UI,B,ETL or streaming jobs process and clean the raw data from Bronze before storing in Silver.
Which layer is considered most trusted for analytics? (alt 11),Bronze,Silver,Gold,All layers equally,C,The Gold layer contains highly curated and aggregated data suitable for analytics.
What is a typical storage format in the Bronze layer? (alt 12),Delta Lake,CSV,Raw Parquet or JSON,Relational tables,C,Bronze layer often stores raw data in Parquet or JSON before applying any transformations.
What should happen before data is promoted to Silver? (alt 13),Model training,Data wrangling and validation,Dashboard creation,Indexing in search engine,B,"Before entering Silver, data should be cleaned, joined, and validated."
What distinguishes Gold from Silver layer data? (alt 14),Data is uncompressed,It's used in operational systems,It includes business-level aggregations,It contains raw metrics,C,Gold layer data typically includes key business metrics and aggregations.
How is data usually moved from Bronze to Silver layer? (alt 15),Manual upload,ETL or streaming pipeline,Excel import,Browser-based UI,B,ETL or streaming jobs process and clean the raw data from Bronze before storing in Silver.
Which layer is considered most trusted for analytics? (alt 16),Bronze,Silver,Gold,All layers equally,C,The Gold layer contains highly curated and aggregated data suitable for analytics.
What is a typical storage format in the Bronze layer? (alt 17),Delta Lake,CSV,Raw Parquet or JSON,Relational tables,C,Bronze layer often stores raw data in Parquet or JSON before applying any transformations.
What should happen before data is promoted to Silver? (alt 18),Model training,Data wrangling and validation,Dashboard creation,Indexing in search engine,B,"Before entering Silver, data should be cleaned, joined, and validated."
What distinguishes Gold from Silver layer data? (alt 19),Data is uncompressed,It's used in operational systems,It includes business-level aggregations,It contains raw metrics,C,Gold layer data typically includes key business metrics and aggregations.
How is data usually moved from Bronze to Silver layer? (alt 20),Manual upload,ETL or streaming pipeline,Excel import,Browser-based UI,B,ETL or streaming jobs process and clean the raw data from Bronze before storing in Silver.
Which layer is considered most trusted for analytics? (alt 21),Bronze,Silver,Gold,All layers equally,C,The Gold layer contains highly curated and aggregated data suitable for analytics.
What is a typical storage format in the Bronze layer? (alt 22),Delta Lake,CSV,Raw Parquet or JSON,Relational tables,C,Bronze layer often stores raw data in Parquet or JSON before applying any transformations.
What should happen before data is promoted to Silver? (alt 23),Model training,Data wrangling and validation,Dashboard creation,Indexing in search engine,B,"Before entering Silver, data should be cleaned, joined, and validated."
What distinguishes Gold from Silver layer data? (alt 24),Data is uncompressed,It's used in operational systems,It includes business-level aggregations,It contains raw metrics,C,Gold layer data typically includes key business metrics and aggregations.
How is data usually moved from Bronze to Silver layer? (alt 25),Manual upload,ETL or streaming pipeline,Excel import,Browser-based UI,B,ETL or streaming jobs process and clean the raw data from Bronze before storing in Silver.
Which layer is considered most trusted for analytics? (alt 26),Bronze,Silver,Gold,All layers equally,C,The Gold layer contains highly curated and aggregated data suitable for analytics.
What is a typical storage format in the Bronze layer? (alt 27),Delta Lake,CSV,Raw Parquet or JSON,Relational tables,C,Bronze layer often stores raw data in Parquet or JSON before applying any transformations.
What should happen before data is promoted to Silver? (alt 28),Model training,Data wrangling and validation,Dashboard creation,Indexing in search engine,B,"Before entering Silver, data should be cleaned, joined, and validated."
What distinguishes Gold from Silver layer data? (alt 29),Data is uncompressed,It's used in operational systems,It includes business-level aggregations,It contains raw metrics,C,Gold layer data typically includes key business metrics and aggregations.
How is data usually moved from Bronze to Silver layer? (alt 30),Manual upload,ETL or streaming pipeline,Excel import,Browser-based UI,B,ETL or streaming jobs process and clean the raw data from Bronze before storing in Silver.
Which layer is considered most trusted for analytics? (alt 31),Bronze,Silver,Gold,All layers equally,C,The Gold layer contains highly curated and aggregated data suitable for analytics.
What is a typical storage format in the Bronze layer? (alt 32),Delta Lake,CSV,Raw Parquet or JSON,Relational tables,C,Bronze layer often stores raw data in Parquet or JSON before applying any transformations.
What should happen before data is promoted to Silver? (alt 33),Model training,Data wrangling and validation,Dashboard creation,Indexing in search engine,B,"Before entering Silver, data should be cleaned, joined, and validated."
What distinguishes Gold from Silver layer data? (alt 34),Data is uncompressed,It's used in operational systems,It includes business-level aggregations,It contains raw metrics,C,Gold layer data typically includes key business metrics and aggregations.
How is data usually moved from Bronze to Silver layer? (alt 35),Manual upload,ETL or streaming pipeline,Excel import,Browser-based UI,B,ETL or streaming jobs process and clean the raw data from Bronze before storing in Silver.
Which layer is considered most trusted for analytics? (alt 36),Bronze,Silver,Gold,All layers equally,C,The Gold layer contains highly curated and aggregated data suitable for analytics.
What is a typical storage format in the Bronze layer? (alt 37),Delta Lake,CSV,Raw Parquet or JSON,Relational tables,C,Bronze layer often stores raw data in Parquet or JSON before applying any transformations.
What should happen before data is promoted to Silver? (alt 38),Model training,Data wrangling and validation,Dashboard creation,Indexing in search engine,B,"Before entering Silver, data should be cleaned, joined, and validated."
What distinguishes Gold from Silver layer data? (alt 39),Data is uncompressed,It's used in operational systems,It includes business-level aggregations,It contains raw metrics,C,Gold layer data typically includes key business metrics and aggregations.
How is data usually moved from Bronze to Silver layer? (alt 40),Manual upload,ETL or streaming pipeline,Excel import,Browser-based UI,B,ETL or streaming jobs process and clean the raw data from Bronze before storing in Silver.
Which layer is considered most trusted for analytics? (alt 41),Bronze,Silver,Gold,All layers equally,C,The Gold layer contains highly curated and aggregated data suitable for analytics.
What is a typical storage format in the Bronze layer? (alt 42),Delta Lake,CSV,Raw Parquet or JSON,Relational tables,C,Bronze layer often stores raw data in Parquet or JSON before applying any transformations.
What should happen before data is promoted to Silver? (alt 43),Model training,Data wrangling and validation,Dashboard creation,Indexing in search engine,B,"Before entering Silver, data should be cleaned, joined, and validated."
What distinguishes Gold from Silver layer data? (alt 44),Data is uncompressed,It's used in operational systems,It includes business-level aggregations,It contains raw metrics,C,Gold layer data typically includes key business metrics and aggregations.
How is data usually moved from Bronze to Silver layer? (alt 45),Manual upload,ETL or streaming pipeline,Excel import,Browser-based UI,B,ETL or streaming jobs process and clean the raw data from Bronze before storing in Silver.
Which layer is considered most trusted for analytics? (alt 46),Bronze,Silver,Gold,All layers equally,C,The Gold layer contains highly curated and aggregated data suitable for analytics.
What is a typical storage format in the Bronze layer? (alt 47),Delta Lake,CSV,Raw Parquet or JSON,Relational tables,C,Bronze layer often stores raw data in Parquet or JSON before applying any transformations.
What should happen before data is promoted to Silver? (alt 48),Model training,Data wrangling and validation,Dashboard creation,Indexing in search engine,B,"Before entering Silver, data should be cleaned, joined, and validated."
What distinguishes Gold from Silver layer data? (alt 49),Data is uncompressed,It's used in operational systems,It includes business-level aggregations,It contains raw metrics,C,Gold layer data typically includes key business metrics and aggregations.
