"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is the primary purpose of Azure Analysis Services?","To manage virtual machines","To store raw telemetry","To host semantic data models","To run DevOps pipelines","C","Azure Analysis Services is used to build and host semantic data models for BI reporting."
"Which modeling approach is used in Azure Analysis Services?","Multidimensional","Hierarchical","Tabular","Document-based","C","Azure Analysis Services supports tabular models which use tables and relationships."
"What language is used to create calculated columns and measures?","SQL","M","MDX","DAX","D","DAX (Data Analysis Expressions) is used in AAS to define measures and calculations."
"What storage mode provides real-time querying from the source?","Import","Snapshot","DirectQuery","Offline","C","DirectQuery mode allows AAS to retrieve data in real-time from the data source."
"What file type is used to define tabular models in SSDT?",".bim",".pbix",".sqlproj",".dacpac","A",".bim files store tabular model definitions in SQL Server Data Tools."
"What is the primary purpose of Azure Analysis Services? (v2)","To manage virtual machines","To store raw telemetry","To host semantic data models","To run DevOps pipelines","C","Azure Analysis Services is used to build and host semantic data models for BI reporting."
"Which modeling approach is used in Azure Analysis Services? (v2)","Multidimensional","Hierarchical","Tabular","Document-based","C","Azure Analysis Services supports tabular models which use tables and relationships."
"What language is used to create calculated columns and measures? (v2)","SQL","M","MDX","DAX","D","DAX (Data Analysis Expressions) is used in AAS to define measures and calculations."
"What storage mode provides real-time querying from the source? (v2)","Import","Snapshot","DirectQuery","Offline","C","DirectQuery mode allows AAS to retrieve data in real-time from the data source."
"What file type is used to define tabular models in SSDT? (v2)",".bim",".pbix",".sqlproj",".dacpac","A",".bim files store tabular model definitions in SQL Server Data Tools."
"What is the primary purpose of Azure Analysis Services? (v3)","To manage virtual machines","To store raw telemetry","To host semantic data models","To run DevOps pipelines","C","Azure Analysis Services is used to build and host semantic data models for BI reporting."
"Which modeling approach is used in Azure Analysis Services? (v3)","Multidimensional","Hierarchical","Tabular","Document-based","C","Azure Analysis Services supports tabular models which use tables and relationships."
"What language is used to create calculated columns and measures? (v3)","SQL","M","MDX","DAX","D","DAX (Data Analysis Expressions) is used in AAS to define measures and calculations."
"What storage mode provides real-time querying from the source? (v3)","Import","Snapshot","DirectQuery","Offline","C","DirectQuery mode allows AAS to retrieve data in real-time from the data source."
"What file type is used to define tabular models in SSDT? (v3)",".bim",".pbix",".sqlproj",".dacpac","A",".bim files store tabular model definitions in SQL Server Data Tools."
"What is the primary purpose of Azure Analysis Services? (v4)","To manage virtual machines","To store raw telemetry","To host semantic data models","To run DevOps pipelines","C","Azure Analysis Services is used to build and host semantic data models for BI reporting."
"Which modeling approach is used in Azure Analysis Services? (v4)","Multidimensional","Hierarchical","Tabular","Document-based","C","Azure Analysis Services supports tabular models which use tables and relationships."
"What language is used to create calculated columns and measures? (v4)","SQL","M","MDX","DAX","D","DAX (Data Analysis Expressions) is used in AAS to define measures and calculations."
"What storage mode provides real-time querying from the source? (v4)","Import","Snapshot","DirectQuery","Offline","C","DirectQuery mode allows AAS to retrieve data in real-time from the data source."
"What file type is used to define tabular models in SSDT? (v4)",".bim",".pbix",".sqlproj",".dacpac","A",".bim files store tabular model definitions in SQL Server Data Tools."
"What is the primary purpose of Azure Analysis Services? (v5)","To manage virtual machines","To store raw telemetry","To host semantic data models","To run DevOps pipelines","C","Azure Analysis Services is used to build and host semantic data models for BI reporting."
"Which modeling approach is used in Azure Analysis Services? (v5)","Multidimensional","Hierarchical","Tabular","Document-based","C","Azure Analysis Services supports tabular models which use tables and relationships."
"What language is used to create calculated columns and measures? (v5)","SQL","M","MDX","DAX","D","DAX (Data Analysis Expressions) is used in AAS to define measures and calculations."
"What storage mode provides real-time querying from the source? (v5)","Import","Snapshot","DirectQuery","Offline","C","DirectQuery mode allows AAS to retrieve data in real-time from the data source."
"What file type is used to define tabular models in SSDT? (v5)",".bim",".pbix",".sqlproj",".dacpac","A",".bim files store tabular model definitions in SQL Server Data Tools."
"What is the primary purpose of Azure Analysis Services? (v6)","To manage virtual machines","To store raw telemetry","To host semantic data models","To run DevOps pipelines","C","Azure Analysis Services is used to build and host semantic data models for BI reporting."
"Which modeling approach is used in Azure Analysis Services? (v6)","Multidimensional","Hierarchical","Tabular","Document-based","C","Azure Analysis Services supports tabular models which use tables and relationships."
"What language is used to create calculated columns and measures? (v6)","SQL","M","MDX","DAX","D","DAX (Data Analysis Expressions) is used in AAS to define measures and calculations."
"What storage mode provides real-time querying from the source? (v6)","Import","Snapshot","DirectQuery","Offline","C","DirectQuery mode allows AAS to retrieve data in real-time from the data source."
"What file type is used to define tabular models in SSDT? (v6)",".bim",".pbix",".sqlproj",".dacpac","A",".bim files store tabular model definitions in SQL Server Data Tools."
"What is the primary purpose of Azure Analysis Services? (v7)","To manage virtual machines","To store raw telemetry","To host semantic data models","To run DevOps pipelines","C","Azure Analysis Services is used to build and host semantic data models for BI reporting."
"Which modeling approach is used in Azure Analysis Services? (v7)","Multidimensional","Hierarchical","Tabular","Document-based","C","Azure Analysis Services supports tabular models which use tables and relationships."
"What language is used to create calculated columns and measures? (v7)","SQL","M","MDX","DAX","D","DAX (Data Analysis Expressions) is used in AAS to define measures and calculations."
