QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
What is one of the key isolation mechanisms used by Docker for security?,Hypervisors,System Restore,Namespaces,Firewall rules,C,Namespaces isolate resources like process IDs and file systems for each container.
What tool is used to scan Docker images for vulnerabilities?,Docker Secure,docker-scan,DockerCheck,ScanNow,B,docker scan checks images for known vulnerabilities using Snyk.
Which command is used to enable Docker Content Trust?,DOCKER_SIGN=true,docker secure,DOCKER_CONTENT_TRUST=1,ENABLE_TRUST=1,C,Setting DOCKER_CONTENT_TRUST=1 enforces signed images.
What does the principle of 'least privilege' mean?,Give containers admin access,Avoid running processes in containers,Give containers only necessary permissions,Use root for speed,C,Only assign permissions and access that are absolutely required.
What user should be avoided in Docker containers for security?,guest,nobody,root,docker,C,Running containers as root can expose host system vulnerabilities.
What feature limits the CPU or memory usage of a container?,Namespaces,SELinux,cgroups,Firewall,C,Control groups (cgroups) manage resource allocation for containers.
Which file can define seccomp profiles for containers?,docker-compose.yml,Dockerfile,seccomp.json,firewall.conf,C,seccomp.json can define system calls containers are allowed to make.
What does 'read-only root filesystem' do for security?,Speeds up containers,Prevents container crashes,Disables logging,Prevents writing to root file system,D,"This limits write operations, reducing attack surfaces inside containers."
Which security module is commonly used with Docker on Linux?,Active Directory,SAML,AppArmor,JWT,C,AppArmor provides profile-based restrictions for Docker containers.
Which flag in docker run is used to drop all capabilities?,#NAME?,#NAME?,#NAME?,#NAME?,C,Use --cap-drop=ALL to remove all Linux capabilities from the container.
Which flag in docker run is used to drop all Linux capabilities?,#NAME?,#NAME?,#NAME?,#NAME?,C,Use --cap-drop=ALL in docker run to remove all Linux capabilities from the container.
What is the benefit of using a non-root user inside containers?,Better performance,Faster image builds,Improved security and reduced attack surface,More memory usage,C,Running as non-root reduces the risk if the container is compromised.
Which tool helps create custom security profiles for Docker containers?,SELinux Manager,AppArmor Parser,Docker Bench for Security,Syslog Watch,C,Docker Bench for Security checks common best practices for container hardening.
Which Docker command checks for deprecated or unsafe settings?,docker scan,docker bench,docker verify,docker security-check,B,docker-bench-security checks for Docker host configuration against best practices.
How can network traffic between containers be restricted?,Setting readonly flag,Using AppArmor,Creating separate user-defined bridge networks,Using ENTRYPOINT,C,Custom bridge networks can isolate groups of containers.
Which command is used to run a container with a read-only root filesystem?,docker run --no-write,docker run --read-only,docker secure run,docker protect,B,#NAME?
How does seccomp improve Docker security?,Blocks specific file paths,Filters system calls containers can make,Restricts user access,Encrypts image layers,B,Seccomp filters system calls available to the container to reduce attack surface.
Why should you avoid running SSH inside Docker containers?,It slows down the image,Containers can’t use SSH,It goes against container best practices and increases attack surface,It causes volume errors,C,SSH isn't needed; use 'docker exec' for container access.
Which instruction in Dockerfile helps define a non-root user?,USER,OWNER,RUN USER,AS USER,A,The USER instruction sets the default user for running containers.
Which Docker configuration allows setting security options per container?,#NAME?,#NAME?,#NAME?,#NAME?,C,Use --security-opt to configure container-level security options like AppArmor or seccomp.
