"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"Which pandas function reads a CSV file into a DataFrame?","pandas.load_csv()","pandas.readFile()","pandas.read_csv()","pandas.load_dataframe()","C","pandas.read_csv() is the standard method to read CSV files into a DataFrame."
"In NumPy, which function creates an array of zeros?","np.empty()","np.zeros()","np.ones()","np.fill()","B","np.zeros() creates an array filled with zeros of a specified shape and data type."
"What does the pandas 'dropna()' function do?","Drops columns with empty strings","Drops duplicate rows","Drops rows with missing values","Replaces NaN with zero","C","dropna() removes rows containing missing (NaN) values."
"Which built-in Python module is commonly used for file and directory manipulation?","math","os","random","sys","B","The os module provides functions for interacting with the operating system, including file paths."
"Which file mode is used in Python to open a file for writing and create it if it doesn't exist?","'r'","'w'","'x'","'a'","B","'w' opens a file for writing and creates it if it doesn't exist, truncating existing content."
"Which pandas method returns summary statistics of a DataFrame?","describe()","info()","head()","summary()","A","describe() generates summary statistics like count, mean, std, etc., for numeric columns."
"What does 'axis=1' mean in pandas drop() function?","Drop rows","Drop columns","Drop DataFrame","Drop NaN","B","axis=1 indicates that columns are to be dropped; axis=0 drops rows."
"Which NumPy function is used to compute the mean of an array?","np.average()","np.mean()","np.midpoint()","np.sum()","B","np.mean() calculates the average of the elements in a NumPy array."
"What is the output of 'df.head(3)' in pandas?","Last 3 rows","First 3 rows","Middle 3 rows","All rows","B","head(3) returns the first 3 rows of the DataFrame."
"What Python function is used to open a file for reading?","open(file, 'w')","open(file, 'x')","open(file, 'r')","open(file, 'a')","C","'r' mode in open() is used for reading files."
"In pandas, what does the 'groupby()' function do?","Sort rows","Join DataFrames","Aggregate data by keys","Fill NaN values","C","groupby() splits the data based on some key and applies an aggregation function."
"Which NumPy function is used to generate evenly spaced values between two points?","np.linspace()","np.arange()","np.range()","np.spacing()","A","np.linspace() generates evenly spaced values over a specified interval."
"What is the default delimiter used by pandas.read_csv()?","semicolon","comma","tab","pipe","B","By default, read_csv() uses a comma as the delimiter."
"What is the primary use of Python's 'with' statement when handling files?","Keep file open","Automatically close the file","Delete the file","Rename the file","B","The 'with' statement ensures proper resource management and automatically closes the file."
"How do you check for null values in a pandas DataFrame?","df.empty()","df.isnull()","df.isnan()","df.null()","B","isnull() checks for missing or NaN values in a DataFrame."
"Which pandas function removes duplicate rows?","remove_duplicates()","drop_duplicates()","filter_duplicates()","delete_duplicates()","B","drop_duplicates() removes duplicate rows from a DataFrame."
"Which function writes a DataFrame to a CSV file?","to_txt()","write_csv()","to_csv()","export_csv()","C","to_csv() is used to export pandas DataFrames to CSV files."
"What is the use of 'skiprows' in pandas.read_csv()?","Skips empty lines","Skips duplicate values","Skips column headers","Skips specified number of rows at the start","D","skiprows allows you to ignore a specific number of lines at the top of the file."
"Which NumPy function returns the shape of an array?","shape()","np.size()","np.shape()","np.format()","C","np.shape() returns the dimensions (rows, columns) of a NumPy array."
"What does 'np.array([1,2,3])' create?","A dictionary","A DataFrame","A NumPy array","A list","C","It creates a 1-dimensional NumPy array from the list."
"What is the result of 'np.sum([1, 2, 3])'?","6","1","3","None","A","np.sum() returns the total sum of array elements, in this case 6."
"Which function converts a pandas column of strings to datetime?","pd.to_date()","df.date_format()","pd.to_datetime()","df.str_to_date()","C","pd.to_datetime() converts a string column to datetime objects."
"Which command reads an Excel file into a DataFrame?","read.excel()","pandas.read_excel()","df.read_excel()","pandas.open_excel()","B","read_excel() reads Excel files into pandas DataFrames."
"What is the output of 'df.tail()' by default?","Last 3 rows","First 5 rows","Last 5 rows","Last row only","C","tail() returns the last 5 rows of a DataFrame by default."
"In ETL, which library is commonly used in Python for scheduling workflows?","pandas","airflow","sqlite3","matplotlib","B","Apache Airflow is a Python-based tool to orchestrate and schedule workflows and ETL jobs."
"What is a lambda function in Python?","A function without a name","A function with arguments only","A special loop","A debug command","A","Lambda functions are anonymous functions defined using the 'lambda' keyword."
"Which Python function reads an entire text file line by line into a list?","read()","readlines()","readline()","list()","B","readlines() returns all lines of the file as a list."
"What is the primary use of NumPy in data engineering?","Web APIs","Statistical charts","Efficient array computations","Server communication","C","NumPy provides fast, vectorized operations for numerical data processing."
"Which pandas function is used to merge two DataFrames?","df.append()","df.combine()","pd.merge()","df.concat()","C","pd.merge() is used to combine DataFrames on common keys or columns."
"Which method is used to filter rows in a DataFrame based on a condition?","filter_rows()","df.select()","Boolean indexing","df.match()","C","Boolean indexing allows filtering rows that match a condition."
"Which keyword is used to define a function in Python?","function","fun","define","def","D","Python uses 'def' to define a new function."
"What will 'with open('file.txt', 'r') as f: data = f.read()' do?","Open in binary","Write file","Read the file content into variable data","Create a new file","C","This command reads the contents of file.txt into the variable 'data'."
"What does the method 'df.fillna(0)' do?","Deletes NaN","Fills NaN values with 0","Drops 0s","Renames columns","B","fillna() replaces NaN values with a specified value."
"Which method returns a NumPy array of random values?","np.array_random()","np.generate()","np.random.rand()","np.random.val()","C","np.random.rand() generates an array of random floats between 0 and 1."
"How can you iterate over rows in pandas DataFrame?","df.each()","df.rows()","df.iterrows()","df.loop()","C","iterrows() yields each row in a DataFrame as a Series with the index."
"Which function is used to convert a dictionary into a pandas DataFrame?","dict_to_df()","df.from_dict()","pandas.DataFrame()","convert.dict()","C","pandas.DataFrame() can take a dictionary as input to create a DataFrame."
"What type of join is the default in pd.merge()?","Left","Right","Outer","Inner","D","pd.merge() performs an inner join by default."
"Which library is best suited for handling large datasets and distributed processing in Python?","pandas","NumPy","matplotlib","PySpark","D","PySpark is designed for scalable distributed data processing."
"What does 'df.columns' return in pandas?","Row labels","Column data","Column names/index","Number of rows","C","df.columns returns the column index or names of a DataFrame."
"What does the 'sep' parameter in read_csv() define?","Sheet name","Encoding type","Delimiter character","Compression type","C","The 'sep' parameter specifies the delimiter used in the file, e.g., comma, tab, etc."
"How can you export a DataFrame to Excel?","df.save_excel()","df.write_excel()","df.to_excel()","df.dump_excel()","C","to_excel() is the correct function to write a DataFrame to an Excel file."
"Which function in pandas returns the data types of each column?","df.describe()","df.dtypes","df.types()","df.format()","B","df.dtypes shows the data types of columns in the DataFrame."
"What is the primary benefit of using Python generators for ETL?","Read everything at once","Parallel computing","Memory-efficient data streaming","Storing in RAM","C","Generators yield values one at a time and are efficient for large data processing pipelines."
"Which statement opens a CSV file in write mode using Python?","open('file.csv', 'w')","read('file.csv')","create('file.csv')","export('file.csv')","A","open('file.csv', 'w') opens a file in write mode, creating it if needed."
"Which method in pandas is used to rename columns?","df.rename_column()","df.rename()","df.modify_column()","df.renameIndex()","B","df.rename() with columns= argument is used to rename columns."
"What is the output of type(np.array([1,2,3]))?","list","Series","ndarray","tuple","C","np.array() creates a NumPy ndarray, which stands for n-dimensional array."
"Which tool in Python ecosystem is used for building ETL pipelines with declarative DAGs?","pandas","NumPy","Airflow","Matplotlib","C","Apache Airflow defines ETL workflows as Directed Acyclic Graphs (DAGs)."
"What is chunking in pandas used for?","Combining columns","Efficient plotting","Reading large files in parts","Grouping rows by index","C","Chunking helps process large files in smaller parts to avoid memory overload."
"What does 'np.isnan()' do in NumPy?","Converts to integer","Returns True for NaN elements","Removes outliers","Scales arrays","B","np.isnan() checks for NaN elements in NumPy arrays."
"What type of object is returned by 'df.info()'?","DataFrame","None","List","String","B","df.info() prints information about the DataFrame and returns None."
