QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
What is the primary reason for using encapsulation in object-oriented programming?,Increase code size,Allow multiple inheritance,Control access to data and implementation,Improve performance,C,Encapsulation is used to hide implementation details and control access to an object's data.
Which access modifier is most restrictive among the following in C#?,Protected,Internal,Public,Private,D,The private modifier restricts access to within the class only, making it the most restrictive.
In C#, how can encapsulation be violated unintentionally?,By using private fields,By exposing fields directly as public,By using getter and setter methods,By using properties,B,Exposing fields directly with public modifiers bypasses encapsulation principles.
Which C# feature best supports encapsulation for field access?,Events,Delegates,Fields,Properties,D,Properties in C# allow controlled access to fields via getters and setters, supporting encapsulation.
What is the typical combination used for full encapsulation?,Public fields and public methods,Protected fields and private methods,Private fields and internal methods,Private fields and public methods,D,Encapsulation is best achieved with private fields and public accessors (methods or properties).
How can encapsulation help in code maintenance?,By exposing internal logic to all classes,By making all fields public,By using static fields for all variables,By isolating changes inside classes,D,Encapsulation localizes changes by hiding internal logic, improving maintainability.
What access modifier combination allows a method to be accessed only within the same class and derived classes?,Public,Internal,Private,Protected,D,protected allows access within the class and its derived classes, ideal for partial encapsulation.
Which is true about automatic properties in C#?,They expose internal fields directly,They violate encapsulation,They allow no access control,They simplify encapsulation with automatic getters/setters,D,Automatic properties simplify encapsulation without needing explicit backing fields.
Which situation shows strong encapsulation?,All fields declared public,Use of global variables,Fields accessed through properties,Direct data sharing between classes,C,Accessing fields via properties allows data validation and encapsulation enforcement.
Which design principle does encapsulation directly support?,Open/Closed Principle,Don’t Repeat Yourself,Encapsulate what varies,Use composition over inheritance,C,"Encapsulate what varies" is a key OOP principle, directly supported by encapsulation mechanisms.
How does encapsulation promote abstraction?,By exposing internal implementation,By using global variables,By hiding data and exposing essential features,By using static methods,C,Encapsulation hides internal details and allows abstraction by exposing only necessary functionalities.
Which of the following C# statements breaks encapsulation?,Using properties for data access,Using private fields,Using public fields,Using getters and setters,C,Declaring fields as public exposes data and breaks the encapsulation principle.
What happens if encapsulation is not used properly?,Improved performance,Faster access to data,Increased data security,Tight coupling and reduced maintainability,D,Poor encapsulation can lead to tight coupling and makes code harder to maintain.
How does encapsulation support security?,By allowing unlimited access,By using public variables,By restricting direct access to data,By exposing all members,C,Encapsulation enhances security by preventing unauthorized or unintended access to internal data.
What can you do to improve encapsulation if a class exposes multiple public fields?,Convert fields to private and use properties,Make the class static,Use inheritance,Use public fields directly,A,Switching from public fields to private fields with controlled properties is a best practice in encapsulation.
Which is a benefit of encapsulating class members?,Direct access to class fields,More memory usage,Better control and validation of data,Faster execution,C,Encapsulation allows you to validate and control access to internal data effectively.
Encapsulation in C# is implemented primarily through:,Constructors,Access modifiers and properties,Interfaces,Events,B,Encapsulation relies on access modifiers (like private) and properties (getters/setters) in C#.
Which one is the most suitable case to use encapsulation?,When you want to expose all class logic,When you want to share all fields freely,When you want to protect class data,When you use global variables,C,Encapsulation is ideal when you want to protect and restrict access to internal class data.
Can encapsulation be applied to methods?,No, only fields are encapsulated,Yes, using access modifiers,Only if methods are static,Only in structs,B,Methods can also be encapsulated using access modifiers to control their visibility.
Which design pattern heavily relies on encapsulation?,Strategy,Factory,Decorator,Singleton,D,The Singleton pattern uses private constructors and controlled access, heavily relying on encapsulation.
