"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is the purpose of React Context API?","To fetch data from API","To manage global state and avoid prop drilling","To style components","To manage component lifecycle","B","React Context API provides a way to share values between components without passing props manually."
"Which function is used to create a Context?","React.makeContext()","createReactContext()","React.createContext()","new Context()","C","React.createContext() is used to create a Context object."
"Which component is used to wrap parts of an app that need access to context?","ContextConsumer","ContextWrapper","ContextProvider","React.Fragment","C","The Provider component allows components within it to access the context value."
"What prop does a Context Provider accept?","value","data","context","ref","A","The 'value' prop specifies the data provided by the context to consumers."
"Which hook is used to access context in functional components?","useEffect","useContext","useState","useReducer","B","useContext hook allows you to consume context values in functional components."
"What happens if you use useContext outside of a Provider?","Returns undefined","Crashes the app","Returns default value","Ignores state changes","C","If no Provider is found, the context returns the default value."
"Which part of an application is best suited for Context usage?","Global theme toggles","One-time API fetch","CSS styles","Keyboard events","A","Context is ideal for global data like themes, language, or auth tokens."
"What does Context API help avoid?","Re-renders","Global state","Prop drilling","useEffect","C","Context provides a way to share data without passing props manually at every level."
"Can multiple Providers be nested?","Yes","No","Only in useEffect","Only in class components","A","You can nest multiple Context Providers to provide separate context values."
"What is the default value of context?","undefined","false","null","Set during context creation","D","The default value is set using React.createContext(defaultValue)."
"How do you pass dynamic values in context?","Using global variable","By updating the 'value' prop of Provider","Using useState in useEffect","You cannot","B","Wrap the Provider and change its value using state or props."
"Which of the following is NOT a limitation of Context?","Triggers re-renders on all consumers","Not suitable for frequent updates","Cannot share between apps","Works with both function and class components","D","Context works in both class and function components."
"Which hook provides the most efficient access to context?","useState","useContext","useMemo","useReducer","B","useContext is specifically designed to access values from Context."
"Which structure defines a Context file?","App.js only","Component and Wrapper","Context + Provider + Consumer","useEffect with props","C","A typical Context setup includes the context object, Provider, and optional Consumer."
"When does a context consumer re-render?","Only when props change","On componentDidMount","When context value changes","When page reloads","C","Consumers re-render when the context value updates."
"Can useContext trigger a re-render?","Yes, when context value changes","No, it's static","Only on page reload","Only with useEffect","A","useContext triggers re-renders when the context value it reads changes."
"What is the role of Context.Consumer?","Render UI elements","Provide context to DOM","Read context value (prior to hooks)","Add routing","C","Before hooks, class components used Context.Consumer to access values."
"What’s the best way to organize context logic?","Inline in component","Inside useEffect","In a separate context file","Inside index.html","C","It's best practice to isolate context logic in a dedicated file for reuse."
"Which is more scalable for app-wide state: Context or Redux?","Context for all use cases","Redux for deeply nested and dynamic state","Context is always faster","Redux is always better","B","Redux is preferred for complex, dynamic, and deeply nested state scenarios."
"Is Context suitable for large state updates?","No, it may cause performance issues","Yes, always","Only if class component is used","Only with memoization","A","Context is ideal for static or rarely updated global state like themes or language."
