"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is Azure SQL Database?","A serverless container","A managed relational database service in the cloud","A file storage service","A NoSQL data store","B","Azure SQL Database is a fully managed relational database-as-a-service (DBaaS)."
"What language is used to query Azure SQL?","Python","HTML","T-SQL","JavaScript","C","T-SQL (Transact-SQL) is the query language used in Azure SQL for data manipulation."
"Which command retrieves all records from a table?","GET ALL","FETCH *","SELECT *","SHOW *","C","SELECT * retrieves all records from a table in SQL."
"What does WHERE clause do in a query?","Creates new tables","Sorts the result","Filters rows based on conditions","Deletes columns","C","The WHERE clause is used to filter results that meet specific criteria."
"Which T-SQL command is used to create a new table?","INSERT","CREATE TABLE","NEW TABLE","MAKE TABLE","B","CREATE TABLE is the correct syntax to create a new table in SQL."
"Which function is used to count rows in a result set?","TOTAL()","COUNT()","NUMBER()","SUMROWS()","B","COUNT() returns the number of rows that match a specified condition."
"What is a primary key?","A table name","A SQL function","A unique identifier for table records","A type of data format","C","A primary key uniquely identifies each row in a table and cannot be null."
"What does ORDER BY do in SQL?","Sorts rows by columns","Groups rows","Deletes rows","Renames tables","A","ORDER BY sorts the result set by one or more columns."
"Which clause groups rows that have the same values?","FILTER","GROUP BY","SORT BY","MERGE","B","GROUP BY groups rows that share a common value into summary rows."
"What does PARTITION BY do in T-SQL?","Splits tables","Creates temp tables","Divides result sets into partitions for functions","Deletes partitions","C","PARTITION BY divides a result set into partitions to perform operations over each partition."
"What is a foreign key?","A reference to a table in another database","A constraint to enforce relationships between tables","A password field","An alias name","B","A foreign key links two tables and enforces referential integrity."
"How do you remove a table in T-SQL?","DELETE TABLE","DROP TABLE","REMOVE TABLE","CLEAR TABLE","B","DROP TABLE is used to delete the table structure and data permanently."
"What is Azure Data Studio used for?","Building websites","Writing C# code","Managing and querying databases","Visualizing Azure pipelines","C","Azure Data Studio is a cross-platform database tool used for working with Azure SQL and other databases."
"Which datatype is used for storing text in SQL?","INT","FLOAT","VARCHAR","BOOL","C","VARCHAR stores variable-length character strings in SQL."
"What does the SELECT DISTINCT statement do?","Selects only numeric data","Deletes duplicate rows","Returns unique values from a column","Sorts data","C","SELECT DISTINCT returns only distinct (unique) values from a column."
"What is a JOIN operation?","A loop in SQL","Combining rows from two or more tables","A type of constraint","An index setup","B","JOIN is used to combine rows from two or more tables based on related columns."
"Which JOIN returns all rows from both tables with matched records?","INNER JOIN","LEFT JOIN","FULL OUTER JOIN","CROSS JOIN","C","FULL OUTER JOIN returns all records from both tables, with nulls where there's no match."
"What is NULL in SQL?","Zero value","A unique ID","Unknown or missing value","A boolean type","C","NULL represents missing or unknown data in SQL."
"Which aggregate function returns the average value?","COUNT()","MAX()","AVG()","SUM()","C","AVG() returns the average value of a numeric column."
"How can you limit the number of results returned in T-SQL?","LIMIT","SET MAX","SELECT TOP N","MAXROWS","C","SELECT TOP N limits the result set to the top 'N' rows in SQL Server and Azure SQL."
