"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What is Azure SQL Database?","A NoSQL service","A managed relational database service","A file storage system","A DevOps tool","B","Azure SQL Database is a managed cloud database service built on SQL Server."
"What is Azure Cosmos DB?","A messaging service","A relational database","A globally distributed NoSQL database","An Azure VM","C","Cosmos DB is a globally distributed, multi-model NoSQL database service."
"Which database service provides distributed ledger technology in Azure?","Cosmos DB","Azure SQL","Azure Blockchain Service","Azure Data Lake","C","Azure Blockchain Service provides ledger technology for building decentralized applications."
"What is the purpose of Azure Synapse Analytics?","Managing virtual machines","Performing big data analytics and warehousing","Web hosting","Security auditing","B","Azure Synapse combines enterprise data warehousing with big data analytics."
"Which storage option is best for hierarchical big data file structures?","Azure Table Storage","Azure Queue Storage","Azure Data Lake Storage","Blob Hot Tier","C","Azure Data Lake Storage is optimized for large-scale analytic workloads with file hierarchy."
"What language is commonly used to query Azure SQL Database?","KQL","JSON","SQL","YAML","C","SQL (Structured Query Language) is used to query relational data in Azure SQL."
"What is the primary benefit of Azure Cosmos DB's multi-region writes?","Cheaper data storage","Higher latency","Improved write availability and speed","Reduced security","C","Multi-region writes reduce latency and improve write availability for global apps."
"Which of the following supports massively parallel processing (MPP)?","Azure Database for PostgreSQL","Azure SQL Database","Azure Synapse Analytics","Cosmos DB","C","Azure Synapse supports MPP for high-performance queries on large datasets."
"Which Azure service is best for ETL workloads?","Azure DevOps","Azure Data Factory","Azure Backup","Azure Monitor","B","Azure Data Factory is designed to build ETL and data movement workflows."
"What is the benefit of using Azure SQL Managed Instance?","No support for SQL Server features","Access to underlying OS","Broad SQL Server compatibility in a PaaS model","Only for Linux workloads","C","Azure SQL Managed Instance provides near 100% SQL Server compatibility in a managed platform."
"Which tool can visually design data pipelines in Azure?","Azure Monitor","Azure Data Factory","Azure CLI","Azure DNS","B","Azure Data Factory offers a visual designer for building and orchestrating data pipelines."
"Which Azure service provides data storage for analytical workloads?","Azure Kubernetes Service","Azure File Storage","Azure Data Lake","Azure DevTest Labs","C","Azure Data Lake is optimized for storing large volumes of analytic data."
"Which consistency level is NOT supported by Azure Cosmos DB?","Strong","Eventual","Bounded staleness","Ultra-strong","D","Azure Cosmos DB supports five consistency levels, and 'Ultra-strong' is not one of them."
"Which storage option supports ACID transactions?","Azure Table Storage","Azure Blob Storage","Azure SQL Database","Azure File Storage","C","Azure SQL Database supports ACID-compliant transactions for data consistency."
"What is the use of Azure Database Migration Service?","To migrate VMs","To migrate on-premises databases to Azure","To monitor networks","To create subscriptions","B","It helps in seamless migration of databases to Azure with minimal downtime."
"What is PolyBase used for in Azure Synapse?","To compress data","To schedule pipelines","To query external data using T-SQL","To track user activity","C","PolyBase allows querying external data in Synapse using familiar T-SQL syntax."
"Which data model does Cosmos DB support?","Only relational","Key-value, document, graph, and column-family","XML","Fixed-schema JSON","B","Cosmos DB is multi-model and supports multiple data formats and models."
"What is the default backup retention in Azure SQL Database?","7 days","14 days","30 days","35 days","D","Azure SQL Database has a default backup retention period of 35 days."
"What is the purpose of indexing in Azure SQL?","Storing raw files","Speeding up data retrieval","Monitoring resources","User authentication","B","Indexes improve the performance of data retrieval operations in Azure SQL."
"Which feature ensures high availability in Azure SQL Database?","Static IP","Geo-replication","Blob Access Tier","ExpressRoute","B","Geo-replication provides high availability by creating readable secondaries across regions."
