"QuestionText","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","Explanation"
"What does polymorphism mean in C#?","Using the same method name for different tasks","Running multiple applications at once","Storing different types of data in arrays","Accessing private members","A","Polymorphism allows objects to take on many forms, especially using the same method name with different behavior."
"Which keyword enables a method to be overridden?","static","override","virtual","new","C","The virtual keyword allows a method to be overridden in derived classes."
"What keyword is used to override a base class method?","base","override","new","virtual","B","The override keyword replaces the implementation of a virtual base method."
"What is method overloading?","Same method name with different parameters","Same method name with different return types","Methods calling each other","Recursive method","A","Method overloading allows multiple methods with the same name but different parameter lists."
"Which type of polymorphism is resolved at compile time?","Run-time polymorphism","Inheritance","Compile-time polymorphism","Dynamic binding","C","Compile-time polymorphism includes method overloading and operator overloading."
"What is required for runtime polymorphism?","Method overloading","Private methods","Virtual and override keywords","Sealed class","C","Runtime polymorphism uses virtual and override methods to determine behavior at runtime."
"What happens if you do not override a virtual method?","Compiler error","Base method is called","Application crashes","Warning only","B","If not overridden, the base class implementation is used."
"What is the output of calling an overridden method from a base reference pointing to a derived object?","Derived method","Base method","Compiler error","Random behavior","A","The overridden method in the derived class will execute."
"Which polymorphism is achieved through interfaces?","Runtime only","Compile-time","Dynamic","Runtime polymorphism","D","Interfaces support runtime polymorphism through implementation in different classes."
"Which statement about method overloading is TRUE?","Return type must differ","Parameter types must differ","Only one method allowed","All overloads must be virtual","B","Method overloading requires different parameter lists."
"Can constructors be overloaded in C#?","No","Only static constructors","Yes","Only parameterless constructors","C","Constructors can be overloaded with different parameter sets."
"What happens if a method is declared with the 'new' keyword in derived class?","It overrides base method","It hides base method","Throws error","Declares new class","B","'new' keyword hides the base class method rather than overriding it."
"Which keyword is used to prevent a method from being overridden?","abstract","readonly","sealed","final","C","sealed prevents a method from being overridden further."
"Which of the following best demonstrates polymorphism?","Single class with private members","Base reference calling derived class method","Looping over collections","Declaring constants","B","Polymorphism allows base class references to execute derived class implementations."
"What is function overriding?","Defining method with same name and different signature","Replacing base class method in derived class","Returning base object","Nested method definition","B","Function overriding redefines base class virtual method in the derived class."
"What is the role of abstract methods in polymorphism?","Enforce static binding","Require implementation in child classes","Used only in interfaces","Cannot be inherited","B","Abstract methods require all derived non-abstract classes to implement them."
"What happens if override keyword is missing in method override?","Error","Compiler warning","Base method is hidden using new","Code does not compile","C","Without override keyword, C# treats it as method hiding with new."
"Can you override a static method?","Yes","Only with virtual","No","Only in interfaces","C","Static methods cannot be overridden because they belong to the class not the instance."
"Which principle does polymorphism support in OOP?","Tight coupling","Low cohesion","Code duplication","Code reusability and flexibility","D","Polymorphism enables code reuse and simplifies method calls with flexibility."
"Which class design prevents polymorphism?","Abstract","Static","Sealed","Partial","C","Sealed classes cannot be inherited and thus cannot participate in polymorphism."
