QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
What is Databricks SQL primarily used for?,Managing clusters,Writing low-level Python code,Running SQL queries and building dashboards,Uploading notebooks,C,Databricks SQL allows querying data using SQL and creating visualizations and dashboards.
Which object stores query results in Databricks SQL?,Repos,Query history,Results cache,SQL notebook,C,Databricks SQL uses a results cache to store the output of queries for faster retrieval.
Which clause filters records in SQL?,ORDER BY,GROUP BY,WHERE,JOIN,C,The WHERE clause filters rows based on a condition.
Which visualization type is supported in Databricks SQL?,3D map,Pie chart,Circuit diagram,Python widget,B,"Databricks SQL supports several visualizations including bar, pie, and line charts."
What is the default SQL dialect used in Databricks SQL?,MySQL,Databricks SQL (ANSI),PostgreSQL,Oracle SQL,B,Databricks SQL uses ANSI SQL-based syntax for compatibility.
What are SQL endpoints in Databricks?,Data transfer protocols,Virtual network peers,Compute clusters for running SQL queries,Row indexes,C,SQL endpoints are compute resources specifically for running SQL queries.
Which keyword is used to sort query results?,SORT,ARRANGE,ORDER BY,FILTER,C,ORDER BY sorts the result set based on one or more columns.
Can you schedule SQL queries in Databricks?,No,"Yes, using dashboards","Yes, with built-in scheduling tools",Only via external tools,C,Databricks SQL includes built-in scheduling for query execution and alerts.
How can users access saved queries?,Job history,Query Editor > Query History,Notebook UI,Cluster logs,B,The Query Editor provides access to saved and past query history.
What does the 'LIMIT' clause do in SQL?,Joins tables,Restricts result rows,Aggregates values,Filters NULLs,B,LIMIT restricts the number of rows returned by a query.
What does the 'AS' keyword do in a SQL SELECT statement?,Deletes rows,Renames columns or tables temporarily,Sorts records,Validates types,B,The AS keyword is used to assign an alias to a column or table.
Which function returns the current date in SQL?,NOW(),SYSDATE(),CURRENT_DATE(),GETDATE(),C,CURRENT_DATE() returns the current date in ANSI SQL.
What does the COUNT() function do in SQL?,Calculates average,Counts non-null values,Removes duplicates,Shows metadata,B,COUNT() returns the number of non-null rows matching the criteria.
Which clause is used to group rows with the same values?,GROUP BY,JOIN,ORDER BY,WHERE,A,GROUP BY groups rows sharing the same values into summary rows.
How can you eliminate duplicate rows in a SQL query?,GROUP BY,LIMIT,DISTINCT,PARTITION,C,DISTINCT removes duplicate rows from the result set.
What does the HAVING clause do?,Sorts data,Filters after aggregation,Groups data,Limits results,B,HAVING is used to filter grouped records based on aggregate functions.
What is the purpose of the CAST function in SQL?,Sorts data alphabetically,Converts data types,Joins tables,Creates views,B,CAST is used to convert data from one type to another.
Which Databricks SQL feature helps create visual dashboards?,SQL Notebook,Dashboard Editor,Query Visualization,Cluster Logs,C,Query Visualization lets you create and save visual insights from SQL results.
What happens if a scheduled SQL query fails?,It auto-corrects the syntax,The system retries silently,An alert can be triggered,It is deleted,C,Alerts can be configured to notify on query failures.
What is the role of data lineage in Databricks SQL?,Optimizes performance,Shows data file size,Tracks source and transformations of query data,Manages job logs,C,Data lineage helps users trace the source and transformation of query results.
